Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
STAN.L,False,False,False,False,False,True,False,False,False,1.09,84958,,True,True,True,True,True,True,True,True,True,True,False,False,False,False,83.0,103.989814769742,,2.11911773544082,84958,,11.5,0.120199531221828,100,False,False,44.8,42.31899,35.5,100,True,True,,,0.67681,0.67681,,,115,,,,3,1,,,,,,,,True,38.0,3228404.0,62019340,730.0,True,True,False,False,,,,,,,True,,,9.7,1.8,,,,,,,,,,,,,,,
CCEPC.L,False,True,True,False,False,True,True,True,True,6.84,33000,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,190.192757427712,,0.0,33298,75.1,9.8,0.0,,False,False,23.8,37.0613,37.2,,True,True,,,4.35,,,4.35,,,290.0,,2,0,,,,3.05,,,,False,,,18026648,584.609657260606,False,True,False,False,,,,,,,True,,97.08,7.9,1.9,100.0,,,,,,,,,,,,,,
CRDA.L,False,False,False,True,False,True,False,True,False,,5825,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,68.0,60.8392430324725,,-5.05297473512633,5825,40.0,8.5,0.0,,False,False,40.0,,38.0,,True,False,,,3.7,3.7,0.9,4.0,,,47.0,,0,0,,,,,,,,False,26.1,145000.0,,,False,True,True,False,,,,,,,False,,92.8,8.5,,100.0,,,,,,,,,,,,,,
ANTO.L,False,False,True,False,False,False,False,False,True,75.0,29000,,False,True,True,False,True,True,True,True,True,True,True,False,False,False,,236.060654944346,668000000,-6.45161290322581,7753,79.0,11.05719,0.0,,False,False,23.7,52.0,13.0,,True,False,1.4,,1.81,1.81,1.78,1.94,124,95,29.0,0.8,0,0,,0.61,0.58,0.8,,,,False,54.0,410749.0,307512000,10603.8620689655,False,True,True,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
EZJ.L,False,False,False,True,False,True,False,False,False,4.6,15937,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,30.8884964664311,,14.235538671063,16697,85.0,10.1,0.0,,False,True,45.1,,38.9,,True,False,,,,,,,,,,,0,,,3.125,,3.125,,,,False,23.38995,390542.0,,,True,True,False,True,2,,,,,,False,,48.4,7.6,2.5,,,,,,,,,,,,,,,
BNZL.L,False,True,True,True,True,True,True,True,True,,22451,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,85.0,93.4144501889227,,6.80272108843538,22451,,17.1,0.0,,False,False,37.0,,21.0,,False,False,,,,,,,,,,,0,,0.00117168,4.8,,4.8,6576.34692,6576.34692,,False,,,,,True,True,False,False,,,,,,,False,,86.52,17.1,,,,,,,,,,,,,,,,
SGE.L,False,True,False,True,False,True,False,False,False,5.75206,11565,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,76.0,41.3035714285714,,3.0014250089063,11335,23.0,14.0,0.0,,False,False,42.382,42.0,37.662,,True,False,,,1.70723,1.70723,17.24138,1.588,39,3,36.0,,0,,,,,,,,,False,12.1,137153.5,,,True,True,True,False,,,,,,,True,,,,,,,9.044,3.931,2.285,,90.956,2.828,11.96,5.0,3.35,,88.04,3.61,97.9
SVT.L,True,False,True,True,True,True,True,True,False,2.82,7118,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,82.0,76.004314324693,,1.20858808474336,7557,91.0,10.1,0.0,,False,False,29.0,,,,True,True,,,9.68139,9.68139,2.31789,11.08003,157,6,151.0,0.0,0,0,,1.54,2.3,1.4,,,,False,30.64,222688.0,,,True,True,True,False,,,,,,,True,,97.1,,,,,10.0,,,,,,8.0,,,,,,94.3
LMPL.L,False,False,False,False,False,False,False,False,True,,35,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,8.498,,12.9032258064516,35,,6.0,0.0,,False,False,48.57143,,25.0,,True,True,,,1.2,,,1.2,,,0.0,,0,,0.008057142857143,,,0.14,,70.5,,False,5.0,175.0,,,True,True,False,False,,,,,,,False,,,6.0,,,,,,,,,,,,,,,,
ICAG.L,False,False,False,False,False,False,False,False,False,5.0,66044,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,,44.9815493867011,,16.5660630449363,66044,89.0,9.0,0.0,,False,True,44.0,,34.0,,False,False,1.1,,,,,,,,,0.1817,0,,0.000191839985464,15.05,,15.05,3167.47,3167.47024,,False,53.3,3520145.2,,,False,True,False,True,2,,,,,,True,,,8.0,1.0,,,,,,,,,,,,,,,
