Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
PSHP.L,,,,,,,,,,,,,False,,False,False,,False,False,False,False,False,False,False,False,False,,,,,,,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
HLN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTB.L,,,,,,,,,,,32503,,False,True,True,True,True,True,True,True,True,True,True,True,False,False,,,,-9.7990786479436,28335,,30.6,0.0,,False,False,63.4,,34.0,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,True,False,,,,,,,True,,78.47,20.3,10.3,,,13.0,,,,,,,,,,,,
PRU.L,True,False,False,False,False,True,False,False,False,,14486,,True,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-22.4808690533526,13869,,,0.0,,False,False,57.29324,,35.0,,True,False,,,,,,,,,,,0,,2.4299323485e-05,0.8291,,0.829,88.0,88.0,,False,,,,,True,True,False,False,,1,,,,,True,,,,,,,,,,,,,,,,,,,
MKS.L,,,,,,,,,,,75505,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,81.0,62.4438673769036,,-3.93399239156711,85000,,,0.0,,True,False,70.484,,52.0,,True,False,,,,,,,,,,,2,,,,,,,,,False,,,,,False,True,True,False,,,,,,,True,,87.1,,,,,,,,,,,,,,,,,
IMB.L,,,,,,,,,,,30300,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,66.0,98.5326045627376,,-6.76923076923077,,56.0,10.2,0.0,,False,False,40.0,41.0,33.0,,True,False,,,11.8,11.8,,,573.0,,,,1,0,,1.35,,,,,,False,,,,,False,True,False,False,,,,,,,True,,76.1,,,74.0,,,,,,,,,,,,,,
EXPN.L,,,,,,,,,,,17088,472,False,True,True,False,True,True,True,True,False,True,True,False,False,False,76.0,120.471175098712,,3.79008746355685,17324,,18.8,0.0,,False,False,44.0,,35.0,100,True,False,,,1.41422,1.41422,,1.41422,49.0,,49.0,,,,8.824906367e-05,0.49,,0.49,377.0,377.0,,False,,,,,True,True,False,False,,,,,,,True,,75.23,11.6,7.2,,,36.5,19.3,6.4,8.9,63.5,1.9,,,,,,,
GSK.L,False,True,False,False,True,True,False,True,False,,90096,,True,True,True,True,True,True,True,True,True,True,True,True,True,False,78.0,147.02775625,,-4.22044096698063,90096,,15.2,0.0,,False,False,47.0,,50.0,100,True,True,,,1.25828,1.25828,,,190.0,,,,0,0,,0.9,,,,,,True,,,,,True,True,True,False,,1,,,,,True,,,7.8,7.4,,,19.8,13.8,2.6,,80.2,3.4,23.7,17.4,2.7,,76.3,3.6,
LAND.L,,,,,,,,,,,568,9,False,True,True,True,True,True,True,True,True,True,True,True,False,True,75.0,15.3442881355932,,-1.73010380622838,569,,29.5,0.0,,False,False,52.4,59.341,52.6,,True,True,3.0,,12.302,,,12.302,119.0,105,14.0,0.0,0,0,,,,,,,,False,20.8,11835.2,,,True,True,False,False,,,,,,,True,,62.3,12.0,17.5,,,,,,,,,,,,,,,
BEZG.L,,,,,,,,,,,1550,,False,True,True,False,True,True,True,True,True,False,True,False,False,False,70.0,,,1.24101894186806,1550,,,0.0,,False,False,48.839,,,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,False,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
BP.L,False,True,False,False,False,True,True,True,True,,65900,,True,True,True,True,True,True,True,True,True,True,True,False,False,True,64.0,44.864975951225,8857000000,3.61635220125787,65900,,24.0,0.0,,False,False,39.0,50.68278,33.0,100,True,True,,,0.82,0.82,1.02,0.585,181.0,121,60.0,,1,0,3.39908953e-06,0.255,0.32,0.175,56.0,18.0,38,False,,,,,True,True,False,False,,,,,,,True,,83.8,,,,,17.0,,,,,,17.0,,,,,,
JD.L,False,False,False,True,False,True,True,True,False,,32265,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,117.999828030954,,0.435797665369653,49597,,,0.0,,False,False,48.0,,29.0,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,85.06,,,,,,,,,,,,,,,,,
ABF.L,,,,,,,,,,,127912,,False,True,True,True,True,True,True,True,False,True,True,True,False,False,,164.312876089428,,-4.13190931234776,127912,,,0.0,,False,False,53.0,,35.0,,True,False,,,,,,,,,250.0,,2,0,,1.35249,,,,,,False,,,,,False,True,True,False,,,,,,,False,,65.9,,,,,,,,,,,,,,,,,
AAL.L,True,True,True,False,False,True,False,False,True,41.71,62000,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,,184.61973939562,3700000000,-3.125,63600,71.0,10.4,0.0,,False,False,23.0,,31.0,,False,False,,,2.24,2.24,1.93,2.73,554.0,,,0.12579,0,0,,1.52,1.27,1.89,,,,True,,,65000000,1048.38709677419,False,True,False,False,,,1,,,,True,,,3.5,6.9,,,,,,,,,,,,,,,
ADML.L,,,,,,,,,,,10725,,False,True,True,False,True,True,True,True,True,True,True,False,False,False,,344.621724537037,,-1.03349635507982,11403,,,0.0,,False,False,49.06,48.82384,42.85714,,True,False,7.3,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,85.6,,,,,6.9,,,,,,,,,,,,
RTO.L,False,True,True,True,True,True,True,True,False,,46000,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,80.0,181.547583457897,1224800000,3.37078651685394,46031,,19.6,0.0,,False,False,24.0,,29.0,,True,False,,,,,,,,,,,,,0.000697269582609,3.8,,3.8,8018.6002,8018.6,,False,,,,,True,True,False,False,,,,,,,False,,108.0,15.6,4.0,,,,,,,,,20.0,,,,,,
RMV.L,False,False,False,False,False,False,False,False,False,,600,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,89.0,26.444462000316,,7.14285714285714,614,,,0.0,,False,False,50.0,,40.0,,True,True,,,,,,,,,,,0,,,,,,,,,False,25.0,15350.0,455588,1027.27500866667,True,True,False,False,,,,,,,False,,76.2,,,,,18.2,,,,,,,,,,,,
SBRY.L,,,,,,,,,,,111900,145500,True,True,True,True,True,True,True,True,False,True,True,True,False,True,75.0,,,-3.8659793814433,172000,,,0.0,0,True,False,54.6,,35.0,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,True,False,,,,,,,False,,90.3,,,,,,,,,,,,,,,,,100.4
PHNX.L,,,,,,,,,,,7653,,False,True,True,True,True,True,True,True,True,False,True,True,True,False,,30.1524665127021,,73.2623952909214,7653,,6.8,0.0,,False,False,52.0,,20.0,,True,True,,,,,,,,,,,0,,0.0,0.0,,0.0,0.0,0.0,,False,,,,,True,True,True,False,,,,,,,True,,75.9,6.8,,,,,,,,,,,,,,,,
IHG.L,False,False,False,True,False,True,False,True,True,,11149,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,85.0,33.4155758795014,,-13.0275372493954,11161,0.0,,0.0,,False,False,58.07723,,38.0,100,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,True,False,,,,,,,True,,72.0,,,,,,,,,,,,,,,,,
BT.L,False,False,False,False,True,True,False,True,False,8.66,105300,,False,True,True,False,True,True,True,True,True,True,True,False,False,False,79.0,71.5810799497698,,-1.31208997188379,108412,,11.2,0.0,,False,False,24.65,,29.35,,True,False,5.53,,,,,,,,,,0,,,1.1,,1.1,,,,True,24.0,2601888.0,,,False,True,True,False,,,,,,,True,,95.3,,,,,8.2,,,,,,8.6,,,,,,
MNDI.L,,,,,,,,,,,21200,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,76.405566034327,,-17.5097276264591,26822,69.0,,0.0,,False,False,21.0,26.0,20.0,,True,True,,330045,3.1,3.1,3.55,3.7,240.0,64,176.0,,0,0,,,,,,,,True,28.0,741700.0,,,False,True,True,False,,,,,,,False,1,,,,77.23,,,,,,,,,,,,,,
