Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,True,True,False,False,False,True,True,True,True,False,False,True,False,True,True,,,,270,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,9,100.0,99.57,3,13,True,38.4615384615385,73.3333333333333,5.5,86.6666666666667,80.0,73.3333333333333,False,True,False,1.66666666666667,True,999,1,True,False,69981368.91,9975717.3,True,False,True,True,4755554.4,0,False,,,30.7692307692308,46.6666666666667,,15.3846153846154,3647.90288313178,31.0,30.8,0.0,,69.2,0.0
CCEPC.L,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,57.1428571428571,True,100.0,83.3333333333333,True,16.6666666666667,83.3333333333333,True,6,97.06,97.59,7,17,True,29.4117647058824,52.9411764705882,4.88235294117647,88.2352941176471,52.9411764705882,52.9411764705882,False,True,False,0.705882352941176,True,999,1,True,False,48112194.729957,14297444.3,True,False,True,True,2946829.2,0,False,,,41.1764705882353,25.0,,,2777.84034237627,17.64,,,,,
CRDA.L,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7143,False,87.5,88.8888888888889,True,0.0,88.8888888888889,True,7,100.0,99.27,0,10,True,50.0,40.0,6.25,80.0,70.0,70.0,False,True,False,1.4,True,999,1,True,False,15649158.0,4941438.2062,True,False,True,True,1029263.5674,0,False,,,30.0,11.1111111111111,,,7490.14406739099,,,,,,
ANTO.L,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,,,,100,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,80.0,True,True,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,True,10,97.17,96.92,1,11,True,36.3636363636364,18.1818181818182,11.0681818181818,100.0,63.6363636363636,54.5454545454545,False,False,False,0.545454545454545,True,999,1,True,False,21975000.0,5046000.0,True,False,False,False,5125000.0,0,False,,,36.3636363636364,12.5,,,3474.58297098585,,,,,,
EZJ.L,True,True,True,True,False,True,True,True,True,True,False,True,True,False,False,233.0,40,,200,2023,2025,57.0,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,10,100.0,95.77,0,10,True,40.0,50.0,3.1875,83.3333333333333,83.3333333333333,66.6666666666667,False,True,False,2.5,True,999,1,True,False,15118000.0,2676021.8,True,False,True,True,1075775.4,0,False,,,40.0,30.0,,12.5,1850.20193366785,10.0,,,,,
BNZL.L,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,0.0,,,180,,,163.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333,False,85.7142857142857,87.5,True,0.0,87.5,True,7,100.0,100.0,0,8,True,37.5,33.3333333333333,4.22222222222222,77.7777777777778,66.6666666666667,55.5555555555556,False,True,False,2.77777777777778,True,999,1,True,False,10203700.0,5461674.53,True,False,True,True,963284.11,0,False,,,25.0,18.1818181818182,,,847.518584658831,,,,,,
SGE.L,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,,,,175,,,68.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,83.3333,False,True,83.3333,60.0,False,66.6667,80.0,True,0.0,80.0,True,5,100.0,100.0,1,11,True,36.3636363636364,36.3636363636364,4.84090909090909,81.8181818181818,72.7272727272727,72.7272727272727,False,True,False,0.818181818181818,True,999,1,True,False,15995000.0,4878800.0,True,False,True,True,1225798.5,0,False,,,18.1818181818182,40.0,,,7323.71794871795,18.0,18.0,,,82.0,
SVT.L,True,True,True,False,False,True,True,True,True,True,False,True,True,True,False,3.2,,,120,,,73.1,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,90.0,True,0.0,90.0,False,7,98.36,95.08,0,10,True,50.0,63.6363636363636,5.04545454545455,81.8181818181818,81.8181818181818,72.7272727272727,False,True,False,0.909090909090909,True,999,1,True,False,12256400.0,5139468.22,True,False,True,True,976569.88,0,False,,,10.0,50.0,,,6307.00355066125,10.0,,,,,
LMPL.L,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333,True,83.3333,100.0,True,0.0,100.0,True,6,100.0,100.0,0,9,True,33.3333333333333,44.4444444444444,7.03125,77.7777777777778,66.6666666666667,55.5555555555556,True,True,True,0.222222222222222,True,999,1,True,False,10219000.0,3985865.5,True,False,True,False,763027.3,0,False,,,,20.0,,,76719.2192192192,,,,,,
ICAG.L,True,True,False,True,False,True,False,True,True,True,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,12,95.62,94.94,1,11,True,45.4545454545455,16.6666666666667,3.47916666666667,91.6666666666667,75.0,,False,True,False,1.08333333333333,True,999,1,True,False,17152000.0,3387183.0,True,False,True,True,2079398.6,0,False,,,,25.0,,,743.605306511749,,,,,,
REL.L,True,True,False,True,False,True,True,True,True,False,False,True,True,True,False,,,,200,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,83.3333,True,100.0,100.0,True,0.0,100.0,True,7,98.67,96.15,0,10,True,40.0,54.5454545454545,7.02272727272727,81.8181818181818,72.7272727272727,63.6363636363636,False,True,False,2.09090909090909,True,999,1,True,False,20691000.0,17359810.2,True,False,True,True,1992755.4996,0,False,,,50.0,27.2727272727273,,,2258.59622311975,10.0,10.0,,,90.0,
SMIN.L,True,False,True,False,False,True,True,True,True,True,False,False,False,True,True,299.0,,,,,,19.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,85.7142857142857,True,True,87.5,90.9091,True,90.0,90.0,True,0.0,90.0,True,7,97.22,95.2,0,10,True,40.0,63.6363636363636,5.45454545454545,81.8181818181818,81.8181818181818,63.6363636363636,False,True,False,2.45454545454545,True,999,1,True,False,16371000.0,5500654.5,True,False,True,False,157766730000.0,0,False,,,10.0,25.0,,,5390.51695752387,,,,,,
BAB.L,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,,,,,,,48.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,94.67,92.75,0,9,True,33.3333333333333,45.4545454545455,2.95454545454545,81.8181818181818,72.7272727272727,72.7272727272727,False,True,False,1.18181818181818,True,999,1,True,False,8437000.0,2593767.5,True,False,True,True,1002047.9,0,False,,,22.2222222222222,0.0,,,2056.90184796918,,,,,,
AZN.L,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,,,,250,,,182.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,94.12,94.89,3,13,True,46.1538461538462,50.0,6.73214285714286,85.7142857142857,78.5714285714286,71.4285714285714,False,True,False,2.0,True,999,1,True,False,27065672.7,21452183.7,True,False,True,True,2645086.2,0,False,,,30.7692307692308,41.6666666666667,,,590.811654406147,31.0,23.0,,,69.0,8.0
HSBA.L,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,,40,200,320,2023,2025,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,12,95.54,96.49,5,15,True,46.6666666666667,68.75,3.140625,87.5,87.5,87.5,False,True,False,2.875,True,999,1,True,False,93118872.21,13546201.8,True,False,True,True,6262668.0,0,True,1,,6.66666666666667,23.8095238095238,,10.5263157894737,1125.07245895103,33.0,,,,,
CTEC.L,True,True,False,True,False,False,False,True,True,True,True,True,True,True,False,,,,200,,,80.0,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,98.7,98.08,0,9,True,44.4444444444444,70.0,3.65,80.0,70.0,70.0,False,True,False,0.6,True,999,1,True,False,28207464.0,5427645.6,True,False,True,True,1196526.0,0,False,,,11.1111111111111,33.3333333333333,,,13166.2920089619,22.0,,,,78.0,22.0
WPP.L,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,,,,,,,70.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7142857142857,True,100.0,100.0,True,0.0,100.0,True,6,98.65,97.98,2,12,True,41.6666666666667,46.6666666666667,5.26666666666667,73.3333333333333,66.6666666666667,66.6666666666667,False,True,False,1.53333333333333,True,999,1,True,False,57717000.0,5725504.2,True,False,True,True,2269580.7,0,False,,,100.0,43.4782608695652,,10.0,3888.02813106273,11.5,,,,,
FRES.L,True,True,True,True,False,True,True,True,True,False,False,False,True,False,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,80.0,True,True,100.0,66.6667,True,100.0,100.0,True,12.5,100.0,False,4,100.0,100.0,2,12,True,33.3333333333333,23.0769230769231,9.35416666666667,100.0,53.8461538461538,,False,False,False,1.07692307692308,True,999,1,True,False,2672000.0,916000.0,True,False,True,False,680000.0,0,False,,,,0.0,,,1098.23714852918,,,,,,
AAF.L,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,74.0,,,150,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,9,99.02,98.6,3,13,True,30.7692307692308,71.4285714285714,2.55357142857143,78.5714285714286,50.0,42.8571428571429,False,True,False,0.714285714285714,True,999,1,True,False,16687000.0,3485000.0,True,False,True,True,1313000.0,,False,,,69.2307692307692,5.0,,,3532.38780694327,,,,,,
HWDN.L,True,True,False,True,False,False,False,True,False,True,False,True,True,False,False,,40,,270,2022,2025,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,96.43,95.88,0,8,True,37.5,66.6666666666667,4.83333333333333,77.7777777777778,77.7777777777778,77.7777777777778,False,True,False,1.22222222222222,True,999,1,True,False,12319000.0,3203889.3,True,False,True,False,866844.9,0,False,,,,11.1111111111111,,,5330.82348868406,,,,,,
SGRO.L,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,,,,,,,34.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,88.8888888888889,True,0.0,88.8888888888889,True,7,100.0,97.67,0,10,True,40.0,54.5454545454545,5.95454545454545,72.7272727272727,72.7272727272727,72.7272727272727,False,True,False,0.363636363636364,True,999,3,True,False,9214000.0,4675490.5,True,False,True,True,945985.4,0,False,,,,14.2857142857143,,,13772.7952167414,40.0,40.0,,,60.0,
SJP.L,True,True,False,False,False,True,False,True,True,True,False,True,False,True,False,,,,200,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,6,100.0,96.63,0,8,True,37.5,100.0,5.77272727272727,72.7272727272727,72.7272727272727,72.7272727272727,False,True,False,0.636363636363636,True,999,1,True,False,5700000.0,1015553.9883,True,False,True,True,1608030.3849,0,False,,,,0.0,,,301.158668350337,,,,,,
TW.L,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,,40,,300,2022,2025,42.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,75.0,100.0,True,80.0,85.7143,True,0.0,85.7143,True,9,97.53,98.41,0,9,True,44.4444444444444,44.4444444444444,4.02777777777778,66.6666666666667,77.7777777777778,66.6666666666667,False,True,False,0.777777777777778,True,999,1,True,False,4012000.0,2781286.5,True,False,True,True,1003045.2,0,False,,,,30.0,,,1141.55640916204,11.1,,,,,
AHT.L,True,True,True,False,False,True,True,True,False,True,False,False,False,True,False,,,,,,,115.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,87.5,True,0.0,87.5,True,6,94.44,93.94,0,9,True,44.4444444444444,44.4444444444444,5.41666666666667,77.7777777777778,77.7777777777778,77.7777777777778,False,True,False,0.888888888888889,True,999,1,True,False,12371500.0,8142000.0,True,False,True,True,1311260.0,0,True,1,,44.4444444444444,0.0,,,1279.72650067754,11.0,,,,89.0,11.0
