Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
BT.L,True,True,False,False,False,False,False,True,False,False,False,True,True,False,False,,,,,,,63.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,9,100.0,96.35,2,12,True,33.3333333333333,42.8571428571429,3.85714285714286,85.7142857142857,64.2857142857143,57.1428571428571,False,True,False,1.71428571428571,True,999,1,True,False,14236000.0,3621121.2,True,False,True,False,1466085.6,0,False,,,,33.3333333333333,,10.0,666.16752456715,17.0,,,,,
MNDI.L,True,False,False,True,False,True,True,True,True,True,False,True,False,False,True,,,,250,,,35.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,12,97.22,96.94,0,9,True,33.3333333333333,40.0,4.325,80.0,80.0,80.0,False,True,False,1.2,True,999,3,True,False,17889106.2213605,6483004.8848,True,False,False,False,1299008.5219,0,False,,,33.3333333333333,33.3333333333333,,,2009.56034838918,,,,,,
BATS.L,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,117.0,40,,250,,,108.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,90.0,True,True,100.0,90.0,True,100.0,100.0,True,0.0,100.0,True,9,98.95,97.46,1,11,True,36.3636363636364,50.0,4.625,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,1.33333333333333,True,9,1,True,False,35166000.0,11633684.9,True,False,True,True,2218589.8,0,False,,,63.6363636363636,7.14285714285714,,66.6666666666667,1271.59645633701,27.0,,,,73.0,27.0
PSON.L,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,,40,,300,2022,2025,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,False,83.3333333333333,100.0,True,0.0,100.0,True,6,100.0,97.72,0,10,True,50.0,36.3636363636364,4.31818181818182,81.8181818181818,72.7272727272727,72.7272727272727,False,True,False,1.54545454545455,True,999,1,True,False,21000000.0,10260675.4,True,False,True,True,1666966.6,0,False,,,,46.1538461538462,,,5467.32621713095,30.0,10.0,,,70.0,20.0
PCT.L,,,,,False,,,False,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,6,100.0,100.0,3,5,True,40.0,50.0,6.04166666666667,100.0,100.0,100.0,False,,False,1.33333333333333,True,999,1,False,False,,,False,False,False,False,251942.4948,0,False,,,,100.0,,,,,,,,,
SPX.L,,,,,True,,,True,,True,,,,,,,,,,,,83.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,90.0,True,0.0,90.0,False,8,100.0,97.92,1,11,True,36.3636363636364,41.6666666666667,4.58333333333333,75.0,75.0,75.0,False,True,False,0.666666666666667,True,999,1,True,False,5895690.0,4498798.37,True,False,True,True,904808.6968,0,False,,,18.1818181818182,0.0,,,4385.04276682782,30.0,,,,,
PSN.L,True,True,True,False,False,True,False,True,True,True,False,False,True,False,False,,,,,,,57.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,100.0,,0,9,True,33.3333333333333,50.0,5.25,70.0,70.0,70.0,False,True,False,0.5,True,999,1,True,False,6619000.0,3650775.4046,True,False,True,False,944775.7,0,False,,,,33.3333333333333,,,1734.62969757325,11.0,,,,,
RIO.L,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,870.0,,,200,,,52.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,85.7142857142857,True,True,100.0,85.7142857142857,True,100.0,100.0,True,0.0,100.0,True,7,100.0,99.17,0,10,True,30.0,41.6666666666667,4.0,83.3333333333333,66.6666666666667,66.6666666666667,False,True,False,1.66666666666667,True,9,1,True,False,22499000.0,5235000.0,True,False,True,True,2779000.0,0,False,,,40.0,23.0769230769231,,,404.993339813515,,,,,,
CCH.L,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,121.0,,,,,,37.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,7,100.0,100.0,3,13,True,30.7692307692308,38.4615384615385,6.46153846153846,92.3076923076923,46.1538461538462,46.1538461538462,False,True,False,1.0,True,999,1,True,False,4117082.09200899,4595438.8,True,False,True,True,1358098.22587624,0,False,,,84.6153846153846,23.0769230769231,,66.6666666666667,447.586764220842,,,,,,
ALWA.L,,,,,False,,,False,,True,,,,,,,,,,,,,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,4,96.43,96.15,1,7,True,42.8571428571429,62.5,4.5,100.0,100.0,100.0,False,,False,2.0,True,999,1,True,True,,,False,False,False,False,464044.7,0,False,,,,,,,,,,,,,
