Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
FCIT.L,False,False,False,,,1,-535316000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,True,,,,False,False,0.4,True,999,1,False,True,,,False,False,False,False,478920.23,0,False,,,,,,,,,,,,,
UTG.L,,,,,,1,361089010.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,True,False,,,False,False,1.0,True,999,1,True,False,2529460.0,1880260.42,True,False,True,False,771880.8602,0,False,,,,0.0,,,9477.18246534282,,,,,,
DPLM.L,,,,,,1,1060785280.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,0.25,True,999,1,True,False,7019000.0,11763750.4,True,False,True,True,513283.2,0,False,,,,33.3333333333333,,,8914.14782829566,,,,,,
ICGIN.L,,,,,,1,1155506940.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,True,,False,,,False,False,0.545454545454545,False,999,3,True,True,11300000.0,8482490.19,True,False,False,False,1304733.51,0,False,,,,20.0,,,13474.83901741,,,,,,
BAES.L,False,True,True,,,1,25715802600.0,True,True,True,False,False,True,True,False,100,False,True,True,False,True,False,3,,,,False,False,False,True,True,,,False,False,1.3125,True,999,1,True,False,33252000.0,12935322.1,True,False,True,True,2039554.2,0,False,,,28.5714285714286,0.0,,100.0,1564.21112051933,,,,,,
DCC.L,,,,,,1,18481014855.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,True,True,True,True,,False,False,1.84615384615385,False,999,3,True,False,4424279.26554902,5139567.0,True,False,True,True,1216193.6,0,False,,,45.4545454545455,9.09090909090909,,,329.863616680697,,,,,,
ULVR.L,True,True,True,,,1,64290124600.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,5,,,,False,False,False,True,False,True,,False,False,2.0,True,9,1,True,False,9203000.0,5773729.0,True,False,True,True,138117871.6,0,False,,,69.2307692307692,26.6666666666667,,53.8461538461538,153.196943718476,31.0,23.0,8.0,,69.0,
EDV.L,,,,,,1,2642100000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,True,False,,,False,0.857142857142857,True,999,1,True,False,26787300.0,18123500.0,True,False,True,True,2828950.0,0,False,,,27.2727272727273,14.2857142857143,,33.3333333333333,10138.6397184058,,,,,,
LSEG.L,True,True,True,,,1,9366707100.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,True,False,1.92857142857143,True,999,1,True,False,23426000.0,5871883.8,True,False,True,False,1904067.8,1,False,,,15.3846153846154,30.7692307692308,,,3025.44233501227,15.0,,,,,
TSCO.L,False,True,True,,,1,74472662000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,True,True,,False,False,2.07692307692308,True,999,1,True,False,37186000.0,8236850.0,True,True,False,True,,3,False,,,,28.5714285714286,,,640.133583515519,,,,,,
LGEN.L,False,True,True,,,1,37412391900.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,2.07692307692308,True,999,1,True,False,15082798.0,4792831.4,True,False,True,True,2319239.2594,0,False,,,,30.0,,,487.690302971514,25.0,17.0,8.0,,75.0,
