Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,False,True,True,,,1,19184000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,,False,False,True,False,,,False,False,1.66666666666667,True,999,1,True,False,69981368.91,9975717.3,True,False,True,True,4755554.4,0,False,,,30.7692307692308,46.6666666666667,,15.3846153846154,3647.90288313178,31.0,30.8,0.0,,69.2,0.0
CCEPC.L,True,True,True,,,1,18535864000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,,,False,False,0.705882352941176,True,999,1,True,False,48112194.729957,14297444.3,True,False,True,True,2946829.2,0,False,,,41.1764705882353,25.0,,,2777.84034237627,17.64,,,,,
CRDA.L,False,True,True,,,1,2527426210.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,True,,False,False,1.4,True,999,1,True,False,15649158.0,4941438.2062,True,False,True,True,1029263.5674,0,False,,,30.0,11.1111111111111,,,7490.14406739099,,,,,,
ANTO.L,True,True,True,,,1,6324500000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,4,,,,True,False,False,True,False,True,,False,False,0.545454545454545,True,999,1,True,False,21975000.0,5046000.0,True,False,False,False,5125000.0,0,False,,,36.3636363636364,12.5,,,3474.58297098585,,,,,,
EZJ.L,True,True,True,,,1,9966168700.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,0,,,,False,False,False,True,False,,,False,False,2.5,True,999,1,True,False,15118000.0,2676021.8,True,False,True,True,1075775.4,0,False,,,40.0,30.0,,12.5,1850.20193366785,10.0,,,,,
BNZL.L,False,True,True,,,1,14564183150.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,False,,True,False,2.77777777777778,True,999,1,True,False,10203700.0,5461674.53,True,False,True,True,963284.11,0,False,,,25.0,18.1818181818182,,,847.518584658831,,,,,,
SGE.L,False,True,True,,,1,2663824800.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,0.818181818181818,True,999,1,True,False,15995000.0,4878800.0,True,False,True,True,1225798.5,0,False,,,18.1818181818182,40.0,,,7323.71794871795,18.0,18.0,,,82.0,
SVT.L,False,True,True,,,1,2552135890.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,False,False,,True,False,0.909090909090909,True,999,1,True,False,12256400.0,5139468.22,True,False,True,True,976569.88,0,False,,,10.0,50.0,,,6307.00355066125,10.0,,,,,
LMPL.L,False,False,True,,,1,174931560.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,1,,,,False,False,False,True,True,,,,True,0.222222222222222,True,999,1,True,False,10219000.0,3985865.5,True,False,True,False,763027.3,0,False,,,,20.0,,,76719.2192192192,,,,,,
ICAG.L,False,True,True,,,1,24685233200.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,1,,,,False,False,False,True,False,False,,False,False,1.08333333333333,True,999,1,True,False,17152000.0,3387183.0,True,False,True,True,2079398.6,0,False,,,,25.0,,,743.605306511749,,,,,,
