Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
REL.L,True,True,True,True,False,True,True,True,True,False,True,True,True,True,False,,,,200,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,75.0,True,100.0,100.0,True,0.0,100.0,True,7,100.0,100.0,0,10,True,40.0,63.6363636363636,7.0,81.8181818181818,72.7272727272727,72.7272727272727,False,True,False,1.72727272727273,True,999,1,True,False,20499000.0,16913620.9,True,False,True,True,2227841.2766,0,False,,,50.0,27.2727272727273,,,2172.88530845877,10.0,10.0,,,90.0,
SMIN.L,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,283.0,,,250,,,19.0,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,85.7142857142857,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,6,98.39,98.81,0,10,True,40.0,69.2307692307692,4.63461538461539,76.9230769230769,76.9230769230769,,False,True,False,2.46153846153846,True,999,1,True,False,15482000.0,2128953.6,True,False,True,False,1565860.8,0,False,,,20.0,20.0,,,4943.16730523627,20.0,20.0,,,80.0,
BAB.L,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,3.0,,,,,,84.0,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,95.45,98.36,0,8,True,37.5,50.0,2.85,80.0,70.0,70.0,False,True,False,1.3,True,999,1,True,False,15705000.0,1006372.8,True,False,True,True,857143.5,0,False,,,12.5,0.0,,,3538.27783535349,0.0,,,,,
AZN.L,True,True,False,False,False,False,False,True,False,True,True,True,True,True,False,,,,250,,,153.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,10,93.85,94.55,3,13,True,46.1538461538462,53.8461538461538,7.34615384615385,84.6153846153846,76.9230769230769,76.9230769230769,False,True,False,2.07692307692308,True,999,1,True,False,87736697.9106,18426200.8,True,False,True,True,3050181.8,0,False,,,30.7692307692308,45.4545454545455,,,1622.5602039946,31.0,23.0,,,69.0,8.0
HSBA.L,True,True,False,False,False,True,False,True,True,True,False,True,True,True,True,,40,200,300,2023,2025,165.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,11,98.71,97.54,3,13,True,53.8461538461538,66.6666666666667,3.86666666666667,86.6666666666667,86.6666666666667,86.6666666666667,False,True,False,3.06666666666667,True,999,1,True,False,94156534.9,11463829.3,True,False,True,True,6983640.2,0,False,,,7.69230769230769,20.0,,5.26315789473684,1240.12558314126,38.0,,,,,
CTEC.L,True,True,False,True,False,False,False,True,True,True,False,True,True,True,False,,,,200,,,87.0,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,8,100.0,92.86,0,9,True,44.4444444444444,66.6666666666667,4.44444444444444,77.7777777777778,77.7777777777778,77.7777777777778,False,True,False,0.555555555555556,True,999,1,True,False,34728033.8,6329314.9,True,False,False,True,1178536.2,0,False,,,11.1111111111111,33.3333333333333,,,15170.379958064,22.0,,,,78.0,22.0
WPP.L,True,True,True,False,False,False,True,True,True,False,False,False,True,False,False,,,,,,,53.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7142857142857,True,100.0,100.0,True,0.0,100.0,True,6,100.0,100.0,3,13,True,38.4615384615385,53.8461538461538,5.38461538461539,76.9230769230769,61.5384615384615,61.5384615384615,False,True,False,1.61538461538462,True,999,1,True,False,45276000.0,4755431.1,True,False,True,True,2156896.4,0,False,,,100.0,44.4444444444444,,6.66666666666667,3071.4334170002,8.5,,,,,
FRES.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF.L,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,34.0,,,200,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,6,100.0,100.0,3,13,True,30.7692307692308,69.2307692307692,3.46153846153846,84.6153846153846,53.8461538461538,53.8461538461538,False,True,False,0.923076923076923,True,999,1,True,False,16626000.0,2433000.0,True,False,True,True,1374000.0,,False,,,69.2307692307692,6.66666666666667,,,3156.03644646925,62.0,,,,,
HWDN.L,True,True,False,True,False,False,False,True,False,True,False,True,True,False,False,,40,,285,2022,2025,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,6,98.0,97.73,0,9,True,44.4444444444444,54.5454545454545,4.09090909090909,81.8181818181818,81.8181818181818,,False,True,False,1.27272727272727,True,999,1,True,False,11744000.0,3968674.5,True,False,True,False,950972.4,0,False,,,,12.5,,,5057.49106412299,19.0,,,,,
