Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
STAN.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,83.3333333333333,True,0.0,83.3333333333333,True,8,100.0,100.0,3,13,True,30.7692307692308,71.4285714285714,4.91071428571429,78.5714285714286,78.5714285714286,78.5714285714286,False,True,False,1.35714285714286,True,999,1,True,False,79980213.5,5212147.6,True,False,False,True,4792386.5,0,False,,,,33.3333333333333,,,5111.20996293456,,,,,,
CCEPC.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,60.0,True,100.0,87.5,True,12.5,87.5,True,6,97.06,95.97,7,17,True,23.5294117647059,21.0526315789474,2.88157894736842,89.4736842105263,57.8947368421053,57.8947368421053,False,True,False,0.68421052631579,True,999,1,True,False,50491800.0,10393732.64,True,False,True,True,3064152.61,1,False,,,47.0588235294118,21.4285714285714,,,4201.69759507365,,,,,,
CRDA.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,71.4285714285714,False,85.7142857142857,87.5,True,0.0,87.5,True,6,100.0,100.0,0,8,True,37.5,44.4444444444444,6.02777777777778,77.7777777777778,55.5555555555556,44.4444444444444,False,True,False,1.11111111111111,True,999,1,True,False,3708730.0,2386706.1835,True,False,True,True,916554.893,0,False,,,12.5,22.2222222222222,,,2691.97212745881,,,,,,
ANTO.L,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,,,,,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,85.7142857142857,True,True,100.0,83.3333333333333,True,100.0,100.0,True,0.0,100.0,True,10,98.06,99.19,0,10,True,20.0,18.1818181818182,10.0227272727273,100.0,63.6363636363636,,False,False,False,0.909090909090909,True,999,1,True,False,14271000.0,3940000.0,True,False,True,False,4329000.0,0,False,,,30.0,12.5,,,2782.25098941376,,,,,,
EZJ.L,True,True,False,True,False,True,False,True,True,False,False,False,True,False,False,,,,,,,23,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,34,96.49,97.72,1,11,True,45.4545454545455,41.6666666666667,4.14583333333333,83.3333333333333,75.0,50.0,False,True,False,1.75,True,999,1,True,False,5150000.0,975082.5,True,False,True,True,1097775.0,,False,,,36.3636363636364,33.3333333333333,,57.1428571428571,1711.5320704553,,,,,,
BNZL.L,True,True,True,False,False,False,False,True,False,False,False,True,True,False,False,0,,,150,,,,False,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,100.0,True,True,100.0,80.0,False,80.0,85.7142857142857,True,0.0,85.7142857142857,True,7,100.0,,0,8,True,25.0,50.0,4.82142857142857,75.0,50.0,50.0,False,True,False,2.875,True,999,1,True,False,8468000.0,3620369.95,True,False,True,True,1103148.8,0,False,,,25.0,8.33333333333333,,,907.93099381346,,,,,,
SGE.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,100.0,False,True,75.0,85.7142857142857,False,66.6666666666667,80.0,True,0.0,80.0,True,6,98.28,97.29,0,9,True,33.3333333333333,33.3333333333333,3.66666666666667,66.6666666666667,66.6666666666667,,False,True,False,0.916666666666667,True,999,1,True,False,3344000.0,2109019.5,True,False,False,True,1092609.0,0,False,,,,33.3333333333333,,,1757.22543352601,,,,,,
SVT.L,True,True,True,True,False,True,True,True,True,False,False,True,True,True,False,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,75.0,True,100.0,85.7142857142857,True,0.0,85.7142857142857,False,7,100.0,100.0,0,8,True,37.5,66.6666666666667,4.61111111111111,66.6666666666667,55.5555555555556,55.5555555555556,False,True,False,1.66666666666667,True,999,1,True,False,8768900.0,3230124.28,True,False,False,False,822386.41,0,False,,,12.5,36.3636363636364,,,4961.46882426163,,,,,,
LMPL.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,85.7142857142857,False,85.7142857142857,100.0,True,0.0,100.0,True,6,97.06,100.0,2,12,True,16.6666666666667,58.3333333333333,5.09090909090909,66.6666666666667,58.3333333333333,41.6666666666667,True,True,True,0.166666666666667,True,999,1,True,False,7130000.0,3522279.3,True,False,True,False,788375.5,0,False,,,,20.0,,,82126.772406326,,,,,,
ICAG.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,88.8888888888889,True,0.0,88.8888888888889,True,10,96.0,94.77,2,12,True,33.3333333333333,46.6666666666667,4.75,73.3333333333333,73.3333333333333,,False,True,False,1.06666666666667,True,999,1,True,False,5486000.0,4077077.0,True,False,True,True,2240879.0,0,False,,,16.6666666666667,20.0,,,215.086646279307,,,,,,
REL.L,True,True,False,True,False,True,True,True,True,False,False,True,True,True,False,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,80.0,True,100.0,100.0,True,0.0,100.0,True,8,98.82,99.12,1,11,True,45.4545454545455,58.3333333333333,6.33333333333333,83.3333333333333,75.0,58.3333333333333,False,True,False,2.41666666666667,True,999,1,True,False,6443351.0,5400835.0,True,False,True,True,2128406.1777,0,False,,,63.6363636363636,20.0,,,906.237834036568,,,,,,
SMIN.L,,,,,False,,,True,,True,,,,,,,,,,,,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,88.8889,True,True,88.8889,100.0,True,90.9091,90.9091,True,0.0,90.9091,True,9,100.0,100.0,2,12,True,33.3333333333333,33.3333333333333,4.22916666666667,83.3333333333333,83.3333333333333,83.3333333333333,False,True,False,2.58333333333333,True,999,1,True,False,12869000.0,2874124.8,True,False,True,False,1611132.8,0,False,,,33.3333333333333,23.0769230769231,,,5050.62794348509,,,,,,
BAB.L,,,,,False,,,True,,False,,,,,,,,,,,,,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,12,98.48,96.8,1,11,True,27.2727272727273,50.0,7.72916666666667,66.6666666666667,58.3333333333333,50.0,False,True,False,1.0,True,999,1,True,False,9731000.0,2565803.9,True,False,True,True,1002083.9,0,False,,,27.2727272727273,0.0,,,2174.62232948959,,,,,,
