Instrument,Life Cycle Analysis,Roundtable for Sustainable Palm Oil(RSPO) Support,Target Sustainable Palm Oil Production,"Pollution, Waste and Resource Use Research and Development",Certified Palm Oil Percent,REIT Green Building Certified Percent,Sustainable Palm Oil Production Target Year,Sustainable Palm Oil Production-Year in which Target was set,Environmental Products,Eco-Design Products,Env R&D Expenditures To Revenues in million,Environmental R&D Expenditures,Noise Reduction,Fleet Fuel Consumption,Hybrid Vehicles,Environmental Assets Under Mgt,Equator Principles,Equator Principles or Env Project Financing,Environmental Project Financing,Nuclear,Nuclear Production,Labeled Wood Percentage,Labeled Wood,Organic Products Initiatives,Product Impact Minimization,Take-back and Recycling Initiatives,Product Environmental Responsible Use,GMO Products,Agrochemical Products,Agrochemical 5 % Revenue,Animal Testing Reduction,Renewable/Clean Energy Products,Water Technologies,Sustainable Building Products,Real Estate Sustainability Certifications,Revenue from Environmental Products,Products Recovered to Recycle,Percentage of Green Products,ESG Assets Under Management
ABF.L,False,True,True,False,100.0,,2025,2023,True,False,,,False,,False,False,False,,False,False,,,False,True,True,False,True,False,,False,True,False,False,False,,,,,
AAL.L,True,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
ADML.L,False,False,False,False,,,,,True,True,,,False,,False,True,False,False,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,5.90146,
RTO.L,False,False,False,False,,,,,True,True,,,,,,,False,,,False,,,,,,,True,False,,False,,,True,,,,,,
RMV.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,False,True,False,,False,False,False,False,False,,,,,
SBRY.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,92.1,True,True,,False,True,False,,False,False,False,False,False,,,,,
PHNX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHG.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,True,,False,False,False,,False,False,False,False,False,,,,,
BT.L,False,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,False,,,1592,,
MNDI.L,False,False,False,False,,,,,True,True,,31000000,False,,False,False,False,,False,False,,100.0,True,False,,False,True,False,,False,False,False,False,False,,,,,
BATS.L,True,False,False,False,,,,,True,True,,,False,,False,False,False,,False,False,,,False,True,True,True,True,False,,False,True,False,False,False,,,,,
PSON.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,False,False,False,,,,,
PCT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
SPX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSN.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,True,False,True,False,True,False,,False,False,True,False,True,,,,,
RIO.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,True,,,False,False,,False,False,False,True,False,False,False,False,False,,,,,
CCH.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,,False,False,True,True,True,False,,False,False,False,False,False,,,,,
ALWA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RR.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE.L,False,False,False,False,,,,,True,False,864.643294611191,10800000,False,,False,False,False,,False,False,,,False,False,,False,True,False,,False,False,True,False,False,,,,34.5,
SMT.L,False,False,False,False,,,,,False,False,,,False,,False,False,False,,False,False,,,False,False,,False,False,False,,False,False,False,False,False,,,,,
KGF.L,False,False,False,False,,,,,True,False,,,False,,False,False,False,,False,False,,94.5,True,False,True,True,True,False,,False,False,True,True,True,,,,,
LLOY.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
