Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
STAN.L,,,,,,,,,,,,True,True,True,True,True,True,True,False,4601.22699386503,72000000,0.0,,True,True,True,False,True,,True,True,,1,3,1,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,730.799533993509,8782018,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,False,False,True,8792.62277503753,45100000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,False,False,False,,,0.0,,False,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
BNZL.L,True,True,False,False,True,True,True,False,,,,False,True,True,True,False,True,False,False,71.7295506449227,669000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGE.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
SVT.L,False,False,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,37.3067783184339,65936,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
LMPL.L,,,,,,,,,,,,False,False,False,True,False,,False,False,287.962035085294,25000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,True,,True,False,,1,,,,,,,,,,,,,,
REL.L,False,False,True,False,True,False,True,False,,,,True,True,True,True,True,True,True,False,1293.95218002813,9200000,107031.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMIN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,31326.41,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAB.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,,,0.0,,True,True,False,False,True,,True,False,,1,,,,,,,,,,,,,,
AZN.L,True,True,True,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,63583.4241274373,1692400000,1020000.0,,True,True,True,True,True,,True,True,,,,1,,,,,,,,,,,,
HSBA.L,False,True,True,True,True,True,True,False,,,,False,True,True,True,False,True,True,False,2324.14904987048,128300000,100750.0,,True,True,False,False,True,,True,True,,,4,2,,,,,,,,,,,,
CTEC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,369.529641556248,700000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WPP.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,6348.51867897491,76200000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FRES.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1674.81191390429,3550000,0.0,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWDN.L,,,,,,,,,,,,False,False,False,True,False,,False,False,710.823909531502,1100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGRO.L,False,False,True,False,True,True,True,False,0,,,False,True,True,True,False,True,False,False,2027.23699421965,876780,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SJP.L,,,,,,,,,,,,False,True,False,True,False,True,False,False,890.315623158238,7100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TW.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,244.426922801233,682000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
AHT.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,407.595377578131,2059824,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLMA.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
III.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HIK.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,2406.51157512483,5301545,0.0,,True,False,False,False,False,,True,False,,,,,,SD,,,,,,,,,,
CNA.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,195.999732423573,2930000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MNG.L,,,,,,,,,,,,False,False,False,True,False,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
BKGH.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NG.L,False,False,True,True,False,True,True,False,,,,True,True,True,True,True,True,True,False,3616.15214625326,54000000,46106.159,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RKT.L,True,True,False,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,3787.60808975917,53000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WEIR.L,True,True,True,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,236.581157428615,464811,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMI.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MRON.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,88.9261076836792,634221,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HSX.L,False,False,True,False,True,True,True,False,,,,False,False,False,True,False,False,False,False,343.430180644275,1000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CPG.L,False,False,True,False,True,True,True,True,0,,,True,True,True,True,True,True,False,False,556.67001003009,11100000,0.0,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AUTOA.L,,,,,,,,,,,,False,False,True,True,False,True,False,False,597.014925373134,212000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AV.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,178.185826676532,11800000,0.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,1008.32536821218,3607889,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
DGE.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1608.23689584752,18900000,380000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GAW.L,,,,,,,,,,,,False,False,False,False,False,True,False,False,0.0,0,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
INF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,392.280828516378,651500,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
UU.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,2103.35292084342,3651000,21662.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSHP.L,,,,,,,,,,,,False,False,False,False,False,,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
HLN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTB.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PRU.L,True,False,True,True,True,True,True,False,,,,True,True,True,True,False,True,False,False,915.937870720335,33200000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MKS.L,,,,,,,,,,,,False,True,True,True,True,True,True,False,1426.18985670647,14800000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMB.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,91.3641668202199,2975000,0.0,,True,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
EXPN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,2200.37029417815,10696000,0.0,,True,True,False,False,True,,True,True,,,,3,,,,,,,,,,,,
GSK.L,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,10265.2541676932,250000000,5422843.44,,True,False,True,True,True,1,True,True,,,,1,,,,,,,,,,,,
LAND.L,,,,,,,,,,,,False,False,False,True,False,True,False,False,1585.20475561427,1200000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BEZG.L,,,,,,,,,,,,False,False,False,True,False,True,False,False,132.751754219609,350000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BP.L,True,False,False,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,726.799063656271,77000000,0.0,,True,True,False,False,True,,True,True,,2,,2,,,,,,,,,,,,
JD.L,,,,,,,,,,,,False,True,False,True,False,True,False,False,,,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ABF.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,6321.30300638588,88100000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAL.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,4912.1703933666,125000000,0.0,,True,False,False,False,False,,False,False,1,,,,,,,,,,,,,,,
ADML.L,,,,,,,,,,,,False,True,False,True,False,False,False,False,99.5939630736229,130000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
RTO.L,True,True,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,65.636927906396,184000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
RMV.L,False,False,True,False,False,True,False,False,0,,,False,True,True,True,False,True,False,False,646.519247315487,133000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SBRY.L,,,,,,,,,,,,False,False,False,True,False,,False,False,,,0.0,,True,True,False,False,True,,True,True,,,,7,,,,,,,,,,,,
PHNX.L,,,,,,,,,,,,False,True,False,True,False,,False,False,,,0.0,,True,True,False,False,True,,False,False,,1,,,,,,,,,,,,,,
IHG.L,True,False,True,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,375.93984962406,900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BT.L,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,1223.41105758984,28700000,4616.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MNDI.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,1727.90034518985,11513000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BATS.L,True,False,True,False,False,False,False,False,,,,True,True,True,True,True,True,True,False,841.868404717567,21700000,4851616.0,,True,True,False,False,True,,True,True,,1,,1,1,CU,,,,,,,,,,
PSON.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,True,False,False,,True,False,,,,,,,,,,,,,,,,
PCT.L,,,,,,,,,,,,False,True,False,False,False,,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SPX.L,,,,,,,,,,,,True,True,True,True,False,True,False,False,354.394719896974,440300,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSN.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,600.907370128895,2000000,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
RIO.L,,,,,,,,,,,,True,True,True,True,True,True,True,True,1340.47656407612,59800000,0.0,,True,True,False,False,True,,True,False,1,1,,,,,,,,,,,,,,
CCH.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1304.6739945856,8000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ALWA.L,,,,,,,,,,,,False,False,False,True,False,,False,False,86.295070694916,50200,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
RR.L,True,False,True,True,False,False,False,False,,,,True,True,True,True,True,True,False,False,422.017242418762,7000000,61743.72,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,2609.9649669132,13410000,0.0,,True,True,True,False,False,,True,False,,,,,,,,,,,,,,,,
SSE.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1164.14435389988,8500000,0.0,,True,False,False,False,True,,True,True,,,,3,,,,,,,,,,,,
SMT.L,,,,,,,,,,,,False,False,False,False,False,,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
KGF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,136.842105263158,1599000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
LLOY.L,True,True,False,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1574.04585292372,68965245,,,True,True,False,False,True,,True,False,,6,1,,,,,,,,,,,,,
NWG.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,True,True,False,False,2643.28485885372,30900000,0.0,,True,True,False,False,True,,True,True,,,1,2,,,,,,,,,,,,
SDR.L,False,False,False,False,False,False,True,False,,,,False,False,False,True,False,True,False,False,827.749310208908,2100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NXT.L,,,,,,,,,,,,False,False,True,True,False,False,False,False,874.886020060469,3646000,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ITRK.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BTRW.L,False,True,True,True,False,True,True,False,,,,False,True,True,True,True,True,False,False,1286.85072531586,4400000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SHEL.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,True,1129.92472707333,204000000,0.0,,True,True,False,False,True,,True,True,,4,,5,,,,,,,,,,,,
GLEN.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,True,418.388645861904,90000000,0.0,,True,False,False,False,True,,False,True,1,6,2,2,,,,,,,,,,,,
VOD.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1145.05564970458,50000000,0.0,,True,False,False,False,True,,True,True,,1,,6,,,,,,,,,,,,
BARC.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,5570.74221338635,134500000,113500.0,,True,True,False,False,True,,True,True,,,2,4,,,,,,,,,,,,
FCIT.L,,,,,,,,,,,,False,False,False,True,False,False,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
UTG.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,4250.26248399488,663891,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DPLM.L,,,,,,,,,,,,False,False,False,True,False,False,False,False,85.2597760234992,46441,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
