Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
NG.L,False,False,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,1002.19058050383,18300000,58796.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
RKT.L,True,True,False,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,2122.27014445129,31000000,0.0,,True,False,False,True,False,,True,False,,,,,,,,,,,,,,,,
WEIR.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,184.641502276176,486715,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMI.L,True,True,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,87.8477306002928,180000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MRON.L,True,True,True,True,True,True,False,False,,,,True,True,True,True,True,False,True,False,328.358208955224,1100000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HSX.L,False,False,True,True,True,True,True,False,,,,False,False,False,True,False,False,False,False,472.019719934966,1800000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CPG.L,True,True,True,False,True,True,True,True,0,,,True,True,True,True,True,True,True,False,228.825576898285,7100000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AUTOA.L,False,False,False,False,False,True,True,False,,,,False,True,True,True,False,True,False,False,822.74092905015,356000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AV.L,True,True,True,False,True,True,True,False,0,,,False,True,True,True,True,True,False,False,2343.2067862606,33700000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ENT.L,True,False,True,False,False,True,True,False,,,,True,True,True,True,True,False,False,False,4258.88431194582,18300000,0.0,,True,False,False,False,True,,True,False,,,2,,,,,,,,,,,,,
DGE.L,True,False,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1328.19996723383,22700000,830000.0,,True,True,False,False,True,,True,False,,1,,,,,,,,,,,,,,
GAW.L,False,False,False,False,False,True,False,False,,,,False,True,False,True,False,True,False,False,0.0,0,0.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
INF.L,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,1101.1650363682,3512276,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
UU.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,1091.02046460177,1972565,5801.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSHP.L,False,False,False,False,False,False,True,False,,,,False,False,False,True,False,,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLN.L,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,990.975048663953,11200000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WTB.L,True,False,False,False,False,True,True,True,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PRU.L,True,False,True,True,True,True,True,False,0,,,True,True,True,True,False,True,False,False,1219.51219512195,13000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MKS.L,True,False,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,477.717246511286,5200000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMB.L,True,True,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,61.5858352578907,2000000,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
EXPN.L,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,2525.28625954198,15879000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GSK.L,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,10023.7404378792,304000000,6125800.0,,True,False,True,True,False,1,True,False,,,,,,,,,,,,,,,,
