Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
STAN.L,False,True,True,False,True,False,True,False,0,,,True,True,True,True,True,True,False,False,3749.88103169316,78800000,0,,True,False,True,False,True,,True,False,,,,,2,,,,,,,1,,,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,True,True,True,7257.99135089364,48000000,0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EZJ.L,False,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,True,False,False,False,False,True,True,False,0,,,True,True,True,True,True,True,False,False,206.756003430532,482155,0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SVT.L,False,False,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,2615.3789663295,5662557,0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LMPL.L,True,True,True,False,True,True,True,False,0,,,False,True,False,True,False,,False,False,708.289025221541,103906,0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,True,False,True,True,True,True,True,False,0,,,True,True,True,True,True,True,True,False,1271.99491202035,12000000,198000,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMIN.L,True,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,28000,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAB.L,True,True,True,True,True,True,True,False,0,,,False,True,True,True,False,True,False,False,,,0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AZN.L,True,True,False,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,87756.9383611044,4745280928,1156800,,True,True,True,True,True,1,True,True,,1,,,,,,,,,,,,2,,1
HSBA.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,True,True,True,False,1247.28350345736,94700000,124450,,True,True,False,False,True,,True,True,,2,1,1,,,,,,,,,,1,,
CTEC.L,True,False,True,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,786.30089114101,1800000,0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WPP.L,True,False,True,True,True,True,True,False,,,,False,True,True,True,False,True,False,False,1824.84227664338,26900000,,,True,True,False,False,True,,True,True,,,,,,,,,,,,,,1,,
FRES.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
