Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,0,0,,,,,,,,,,29300.0,,0,,,,,,,,0,,No,,0,0,,,,,,,1,,,0,1,,,,0
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,0.0,,,,,,,,,32271.0,,0,,,,,,,0.0,0,,No,,0,0,,0.0,,,,0.0,0,,,0,1,,,,0
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,41574.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
CNP.N,,,,,,,,,,,,,3.34371301851821,,,0.149863653821564,,,,,,,,,,,,,,0.00246772773631,,0.127073462374465,,,,,Reported,,4377.0,0,0,0.010177203065134,115088.0,,,,,,,,7096090.0,,0,5162.0,,,0.076389431550798,,,85.0,1,,No,,0,0,,0.0,,0.524066091954023,,0.0,1,,,0,1,,0.618055555555556,,0
AMCR.N,0,0,0,1,1,,,,,,,,16.3374673559209,,,,0,0,1,0,0,0,1,,,,,,,1.12860946998587,,,2.05494681812515,,,,Reported,,,1,0,1.95771452145215,383695.0,,,,,,,,1883380.0,,0,,,,0.76,,,28473.0,0,,ISO 14000,100.0,0,0,,69000.0,,,3.56456270627063,,0,,,0,1,,,,0
WM.N,,,,,,,,,,,,,0.053698452380284,,,0.008675382103058,,,,,,,,,,,,,,,,0.053818610027141,0.001153513409825,,,,Reported,,4479.0,1,1,,,,,,,,,,17232500.0,,1,722.0,,,0.265159991049452,,,,0,,ISO 14000,,0,1,,,,0.249790864982433,,,1,,,1,1,,0.040265462048965,,0
BA.N,0,0,0,1,1,,,,,,,,0.358026745200495,,,,0,0,0,1,1,0,1,,,,,,,,,,,7.249225e-09,,,Reported,,,0,0,,,,,,,,,,1365000.0,,0,,,,0.55,,,,0,,ISO 14000,76.0,1,1,605000000,16450.0,,,,0.264104293099573,1,0.00128,59000000,0,1,,,,0
FOX.OQ,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,66378.0,,0,,,,,,,,0,,No,,1,,,,,,,,0,,,1,1,,,,0
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,,0,,,,,,,,,,9153.87,,0,,,,,,,,0,,No,,0,,,,,,,,0,,,0,0,,,,0
WY.N,0,0,0,1,1,,,,,,,,180.734896136438,,,0.006613058768256,0,0,1,0,1,0,1,,,,,,,,,0.07770344061669,0.254602762757221,,,,Reported,,2166.09429,,0,,,,,,,,,,900000.0,,0,184.34845,,,0.991858763264805,,,,0,,EMS,100.0,0,1,64000000,725000.0,,,,71.1901021209741,1,,5000000,0,1,,,,0
MCD.N,0,0,0,1,1,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,635006.0,,0,,,,,,,,0,,No,,0,0,,,,,,,1,,,0,1,,,,0
HD.N,0,0,0,1,1,,,,,,,,3.59892436683296,,,,0,0,1,0,0,0,0,,,,,,,0.794487156751226,,,,,,,Reported,,,,0,1.97736567466505,922107.43392,,,,,,,,1821000.0,,0,,,,0.221687439390671,,,261229.77928,1,,No,,0,,,,,,,,1,,,0,1,,,,0
SPG.N,0,0,0,1,1,,,,,,,,4.7143693965412,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,0.0,371983.84516,,,,,,,,196822.0,,0,,,,0.3343291662747,,,0.0,0,,No,,0,1,,,,,,,0,,,1,0,,,,0
HBAN.OQ,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,60166.0,,0,,,,,,,,1,,No,,1,0,,,,,,,0,,,0,1,,,,0
LVS.N,0,0,0,1,1,,,,,,,,0.953521888217096,,,,0,0,0,0,0,0,1,,,,,,,9.5262641938e-05,,,,,,,Reported,,,,0,0.001216545012165,50042.0,,,,,,,,501405.0,,0,,,,0.280796051711391,,,5.0,0,,No,,0,0,,0.0,,,,,1,,,0,1,,,,0
CTRA.N,,,,,1,,,,,,,,,,,5.3607876736e-05,,,,,,,1,,,,,,,,7.81291917129611,0.060576900711975,0.003216472604176,,,,Reported,,1130.0,1,0,,,,,,,,,,1611730.0,145742,0,1.0,,,,,,,0,,No,,0,0,,,42.2563061757031,0.327631197448536,0.017396346767179,,0,0.0,,0,1,,0.000289939112786,0.0,0
