Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,0,0,,,,,,,,,,33690.0,,0,,,,,,,,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,0.0,,,,,,,,,33630.0,,0,,,,,,,0.0,0,,No,,0,0,,0,,,,0.0,0,,,0,1,,,,0
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,42534.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
CNP.N,,,,,,,,,,,,,,,,0.141775452500264,,,,,,,,,,,,,,0.014351502860456,,0.153408867697755,,,,,Reported,,4233.0,0,0,0.053383661364249,,,,,,,,,5295840.0,,0,3912.0,,,,,,396.0,1,,No,,0,0,,0,,0.570638986249663,,0.0,1,,,0,1,,0.527365866810461,,0
AMCR.N,,,,,0,,,,,,,,17.1675164154975,,,,,,,,,,0,,,,,,,1.20172614908483,,,1.91014369710584,,,,Reported,,,1,0,2.2439460384107,383417.61,,,,,,,,1961270.0,,0,,,,0.76,,,28859.39,0,,ISO 14000,100.0,0,0,,,,,3.56675219656325,,0,,,0,1,,,,0
WM.N,,,,,,,,,,,,,0.056370823337648,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,16319371.0,,1,,,,0.251950947603122,,,,0,,ISO 14000,,0,1,,,,,,,1,,2500000000,1,1,,,,0
BA.N,0,0,0,1,1,,,,,,,,0.216691353027519,,,,0,0,0,1,1,0,1,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,1316000.0,,0,,,,0.59,,,,0,,ISO 14000,,1,1,565000000,17410,,,,0.296815330060011,1,0.0,42000000,0,1,,,,0
FOX.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,62822.0,,0,,,,,,,,0,,No,,1,,,,,,,,0,,,1,1,,,,0
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,,0,,,,,,,,,,4414.92,,0,,,,,,,,0,,No,,0,,,,,,,,0,,,0,0,,,,0
WY.N,,,,,,,,,,,,,155.103255228146,,,0.005126532977298,,,,,,,,,,,,,,,,0.060236762552772,0.197371519765011,,,,Reported,,2166.09429,,0,,,,,,,,,,900000.0,,1,184.34845,,,0.992232688811767,,,,0,,Both,100.0,0,1,63000000,5000,,,,0.49014802470346,1,,8000000,0,1,,,,0
MCD.N,0,0,0,1,1,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,571519.0,,0,,,,,,,,0,,No,,0,1,,,,,,,1,,,1,1,,,,0
HD.N,0,0,0,1,0,,,,,,,,3.93830968477089,,,,0,0,0,0,0,0,0,,,,,,,0.892553538595708,,,,,,,Reported,,,,0,2.26975863352234,853730.18594,,,,,,,,1946000.0,,0,,,,0.227834699581496,,,250184.14538,1,,No,,0,,,,,,,,1,,,0,1,,,,0
SPG.N,0,0,0,1,1,,,,,,,,6.24708264126153,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,0.0,346080.999,,,,,,,,174553.0,,0,,,,0.330150000000433,,,0.0,0,,No,,0,1,,,,,,,0,,,1,1,,,,0
HBAN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,60201.0,,0,,,,,,,,1,,No,,1,0,,,,,,,0,,,0,1,,,,0
LVS.N,,,,,1,,,,,,,,2.50089180706039,,,,,,,,,,1,,,,,,,6.3921724356e-05,,,,,,,Reported,,,,0,0.000661313179027,109545.2,,,,,,,,641404.0,,0,,,,0.207872348194399,,,2.8,0,,No,,0,0,,0,,,,,1,,,0,1,,,,0
CTRA.N,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,37.7545773949664,,,,,,Reported,,,1,0,,,,,,,,,,1970880.0,287975,0,,,,,,,,0,,No,,0,0,,,196.352302976087,,,,0,0.0,,0,1,,,0.0,0
