Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
STAN.L,False,False,False,False,False,False,False,False,False,1.13,83195,,False,True,True,True,True,True,True,True,True,True,False,False,False,False,80.0,85.542840367688,,1.57623559288924,83195,,17.6,0.0,,False,False,45.3,43.26478,36.1,100,True,True,,,0.49883,0.49883,,,83,,,,1,,,,,,,,,True,36.6,3047535.6,60854672,731.470304705812,False,True,False,False,,,,,,,True,,,15.5,2.1,,,,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,33000,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,,149.456116071429,,50.0,33059,84.9,10.086,0.0,,False,False,23.88457,20.67423,36.2,,True,False,,,4.85,,,4.85,,,321,,4,,,,,4.0,,,,False,13.4,442990.6,,,False,True,False,False,,,,,,,True,,,6.556,3.53,100.0,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,6135,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,65.8138182699297,,7.93455313159748,6135,40.0,8.1,0.0,,False,False,37.0,,36.0,,True,True,,,3.6,3.6,2.8,3.8,,,47,,,,,,,,,,,True,15.4,93000.0,,,False,True,True,False,,,,,,,False,,82.3,8.1,,100.0,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,False,False,False,False,True,77.0,31000,,True,True,True,False,True,True,True,True,True,True,True,False,False,False,78.0,312.731850608477,503000000,418.134715025907,7494,77.0,9.0,0.0,,False,False,20.4,45.0,7.0,,True,False,1.3,,2.04,2.04,2.03,2.09,143,113,30,2.09,0,0,,0.84,0.85,0.84,,,,False,45.0,326269.0,2275000,73.3870967741936,False,True,True,False,,,,,,,False,,,4.0,5.0,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,False,4.2,13951,,False,True,True,False,True,True,True,True,False,True,True,False,False,True,,43.5453681434599,,12.6079586730164,14443,86.0,11.0,0.0,,True,True,42.6,,,,False,False,,,,,,,,,,,,,,,,,,,,False,25.32715,365800.0,,,True,True,False,True,2,,,,,,False,,49.7,7.5,3.5,,,,,,,,,,,,,,,
BNZL.L,False,False,True,True,True,True,True,True,False,,21021,,False,True,True,False,True,True,True,True,False,True,True,False,False,False,69.0,91.5767227214377,,9.26243567753002,21000,,17.3,0.0,,False,False,37.0,,19.0,,False,False,,,,,,,,,,,0,,0.001253946053946,5.16,,5.16,6589.8,6589.8,,False,,,,,True,True,False,False,,,,,,,False,,90.0,17.3,,,,,,,,,,,,,,,,
SGE.L,False,False,False,True,False,True,False,False,False,2.82341,11228,,False,True,True,True,True,True,True,True,True,False,True,False,False,False,79.0,29.3977925311203,,-4.72634705133644,11574,23.0,20.0,0.0,,False,False,42.0,33.86442,40.65,,True,False,,,,,,,,,,,,,,,,,,,,False,36.8,425923.2,,,True,True,False,False,,,,,,,True,,,,,,,13.0,,,,87.0,13.0,2.0,,,,98.0,2.0,99.4
SVT.L,True,False,True,True,True,True,True,True,False,4.61,7033,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,83.0,56.3081191901911,,3.48734549735139,7022,,6.39,0.0,,False,False,28.6,,,,True,True,,,10.14624,10.14624,3.9,12.09935,175,16,159,0.15,0,0,,1.719,2.1,1.6,,,,False,8.19,57510.18,,,True,True,True,False,,,,,,,True,,96.2,,,,,9.0,,,,,,7.7,,,,,,
LMPL.L,,,,,,,,,,,31,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,7.26,,-6.06060606060606,31,,6.0,0.0,,False,False,45.161,,22.222,,True,True,,,0.0,,,0.0,,,0,,0,,0.0,,,0.0,,0.0,,False,7.6,235.6,,,True,True,False,False,,,,,,,False,,,6.0,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,56658,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,,28.4131177829099,,-2.19237674354371,56658,91.0,6.0,0.0,,False,,42.0,,33.0,,False,False,1.1,,,,,,,,,0.34417,0,,0.000243760033888,10.95,,10.95,3452.739,3452.73852,,False,29.6,1677076.8,,,False,True,False,False,,,,,,,True,,,5.0,1.0,,,,,,,,,,,,,,,
