Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
STAN.L,False,False,False,True,False,True,False,False,False,0.84,81097,,True,True,True,True,True,True,True,True,True,True,False,False,False,False,81.0,129.884986376165,,-4.54459850749782,81097,,12.7,0.023541043809883,20,True,False,45.0,46.7353,36.2,100,True,True,,,0.75219,0.75219,,,122,,,,0,1,,0.13,,,,,,True,34.8,2822175.6,56930094.0,702.0,True,True,False,False,,,,,,,True,,,9.1,3.6,,,,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,False,False,True,False,False,False,False,False,True,73.0,29000,,False,True,True,False,True,True,True,True,True,True,True,False,False,True,88.0,276.806604602143,559000000,0.0,8095,76.0,14.0,0.0,,False,False,27.0,47.0,31.0,,True,False,2.0,,1.62,1.62,1.6,1.7,116,89,27,0.13,0,0,,0.57,0.54,0.69,,,,False,72.0,570246.0,4696000.0,161.931034482759,False,True,True,False,,,,,,,False,,,5.0,9.0,,,,,,,,,,,,,,,
EZJ.L,False,True,False,True,False,True,True,True,False,6.7,17639,,True,True,True,True,True,True,True,True,False,True,True,False,False,True,73.0,38.5276413949962,,10.6795507310033,17797,83.9,8.3,0.0,,True,False,45.6,,38.6,,True,False,,,,,,,,,,,0,,,3.05,,3.05,,,,False,24.16138,430000.0,,,True,True,True,True,,,,3,1,,True,,50.1,6.4,1.9,,,,,,,,,,,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,False,True,False,True,False,True,False,True,False,3.36676,10996,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,76.0,45.3585,,-4.92001729355815,10789,23.0,13.5,0.0,,False,False,42.20039,46.67,37.459,,True,False,,,0.91988,0.91988,0.0,0.92687,20,0,20,,0,0,,,0.0,,,,0,False,11.3,121915.7,,,True,True,True,False,,,,,,,True,,,,,,,9.556,4.245,2.336,,90.444,2.975,10.637,5.913,1.365,,89.363,3.359,94.6
SVT.L,True,True,False,True,True,True,False,True,False,1.38,7651,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,84.0,64.2279735809574,,7.48805844338298,8045,86.4,14.7,0.0,,False,False,29.0,18.99,,,True,True,,,10.39465,10.39465,,,157,,,0.0,0,,,1.05933,,,,,,False,28.14,215158.44,,,True,True,True,False,,,,,,,True,,98.0,,,,,11.0,,,,,,6.0,,,,,,92.8
LMPL.L,False,False,False,False,False,False,False,False,True,,35,,False,True,True,True,True,True,True,True,False,True,True,False,True,False,,6.7032,,0.0,35,,6.0,0.0,,False,False,46.0,,25.0,,True,True,,,0.0,,,0.0,,,0,,0,,0.0,,,0.0,,0.0,,False,8.7,304.5,,,False,True,False,False,,,,,,,False,,,6.0,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
