Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
REL.L,True,True,False,False,True,True,False,True,False,,33200,,False,True,True,True,True,True,True,True,True,True,True,True,False,False,,51.3268101761253,,0.0,33200,,11.3,0.0,,False,False,51.0,,42.0,,True,False,,,0.05,0.05,,0.05,3,,4,,,,,0.055,,0.055,23.24,23.24,,True,14.301,474800.0,8296200.0,341.668501807229,True,True,True,False,,,,,,,True,,19.7,6.7,4.6,,7.6,,,,,,,17.0,,,,,,
SMIN.L,,,,,,,,,,,15050,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,73.0,40.4526315789474,,5.61403508771929,,,,0.0,,False,False,,,17.91,,False,False,,,1.5,1.5,,1.5,45,,45,,0,,,0.7,,0.7,,,,False,,,,,False,True,True,False,,,,,,,False,,88.8,,,,,,,,,,,,,,,,,
BAB.L,,,,,,,,,,,35289,,True,True,True,True,True,True,True,True,False,True,True,True,False,True,,43.114942293373,,-0.389533406723686,34578,,,0.43917435221783,150,True,False,18.2,,21.4,,False,False,,,14.7,14.7,,14.7,1452,,1452,,4,,,1.8,,1.8,,,,True,,,,,False,True,True,False,,,,,,,False,,85.9,,,,,,,,,,,,,,,,,
AZN.L,False,False,False,False,False,False,False,False,False,,76100,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,87.0,194.893327270523,,7.79036827195467,76100,75.0,9.7,0.0,,False,False,50.5,,42.5,100,True,False,,,0.63,,,0.63,,,96,0.69,0,0,0.00037128,,1.48,0.42,,7063.602,,True,,,,,True,True,True,False,,,,,,,True,,,9.7,,,,30.6,,,,,,,,,,,,
HSBA.L,False,False,False,False,False,False,False,False,False,5.0,226059,,False,True,True,True,True,True,True,True,True,False,True,False,False,True,72.0,71.0313020185771,,-3.94814553581672,231040,,11.3,0.0,0,False,False,51.8,49.1,37.6,100,True,False,4.2,,0.44,,,0.44,,,203,,,,7.944828562e-06,,,0.03246,,449.0,,False,23.0,5313920.0,124530560.0,550.876364135027,True,True,False,False,,,,,,,True,,,7.7,3.6,,,20.3,,,,,,13.9,,,,,,97.8
CTEC.L,,,,,,,,,,,9689,,False,True,True,True,True,True,True,True,True,True,True,False,False,True,86.0,63.6679082011385,579700000,1.18003341687551,9914,,14.0,0.0,,False,False,63.0,60.70423,36.0,,True,True,,,1.7,1.7,,,24,,,,0,0,,1.15,,,,,,False,,,,,True,True,False,False,,,,,,,True,,91.37,,,,,,,,,,,,,,,,,
WPP.L,,,,,,,,,,,99830,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,66.7664988942271,4800000000,-6.51396250444814,98366,4.0,,0.0,,False,False,55.0,,51.0,85,True,True,,,,,,,,,,,0,,,,,,,,,False,,,19700000.0,269.816788540519,True,True,True,False,,,,,,,True,,75.4,,,,,30.9,,,,,,23.5,,,,,,
FRES.L,,,,,,,,,,,5482,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,,46.8158560832276,100700000,6.67445028215605,5482,75.97592,10.31,0.0,,False,False,9.73,,4.58,,False,False,,219280,18.67,18.67,,,705,,,0.547,,,,7.63,,,,,,False,81.0,444042.0,,,True,True,True,False,,,,,,,False,,102.98,5.71,4.6,60.0,,,,,,,,,,,,,,
AAF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWDN.L,,,,,,,,,,,10004,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,17.6808836907083,460000000,1.01989296172877,10000,,,0.0,,False,False,29.664,,18.841,,False,False,,,,,,,,,,,,,,0.81,,0.81,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
