Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
FRES.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF.L,False,True,True,,,1,5268000000.0,True,True,True,False,False,True,True,False,100,False,True,True,True,True,False,5,,,,False,False,False,True,True,True,,False,False,0.923076923076923,True,999,1,True,False,16626000.0,2433000.0,True,False,True,True,1374000.0,,False,,,69.2307692307692,6.66666666666667,,,3156.03644646925,62.0,,,,,
HWDN.L,False,False,True,,,1,2920969590.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,0,,,,False,False,False,True,False,,,False,False,1.27272727272727,True,999,1,True,False,11744000.0,3968674.5,True,False,True,False,950972.4,0,False,,,,12.5,,,5057.49106412299,19.0,,,,,
SGRO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJP.L,True,False,True,,,1,32420004520.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,3,,,,False,False,False,True,False,True,,False,False,0.5,True,999,1,True,False,10100000.0,4241176.4538,True,False,True,True,1612223.7595,0,False,,,,33.3333333333333,,,389.762746399518,,,,,,
TW.L,False,False,True,,,1,4255241320.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,0.7,True,999,1,True,False,5300000.0,3835872.6,True,False,True,True,1014642.1,0,False,,,,33.3333333333333,,,1558.27355051158,11.1,,,,,
AHT.L,False,True,True,,,1,10858700000.0,True,True,True,False,False,True,True,False,100,False,True,True,False,False,False,0,,,,False,False,False,True,False,,,False,False,1.0,True,999,1,True,False,11500070.078,9067740.0,True,False,True,True,1302707.0,0,False,,,44.4444444444444,0.0,,,1059.0650886386,11.0,,,,89.0,11.0
HLMA.L,True,True,False,,,1,2285058240.0,True,True,False,False,False,True,True,False,100,False,True,True,True,False,False,4,,,,False,False,False,True,True,,,False,False,0.909090909090909,True,999,1,True,False,16581000.0,4444813.2,True,False,True,True,1133402.7,0,False,,,,50.0,,,8949.15803108808,18.0,18.0,,,82.0,
III.L,False,True,True,,,1,5891474100.0,True,True,True,False,False,True,True,False,100,False,True,True,True,False,False,2,,,,False,False,False,True,False,,,False,False,1.33333333333333,True,999,1,True,False,54125000.0,10534848.6,True,False,True,True,1079137.5,0,False,,,20.0,10.0,,,11330.3328448817,,,,,,
HIK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
