Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
HSBA.L,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,True,PricewaterhouseCoopers,92.0,2025-05-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CTEC.L,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,Deloitte LLP,100.0,2025-06-20,False,False,True,True,False,False,False,True,False,True,False,True,True,False,False,False,False
WPP.L,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,"PricewaterhouseCoopers LLP, UK",99.0,2025-06-20,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,True
FRES.L,,,,,,,,,,,True,True,True,True,True,,True,,,100.0,2025-02-28,False,False,True,True,True,True,False,True,False,False,False,False,True,False,True,False,False
AAF.L,,,,,,,,,,,True,True,False,True,True,True,True,,,100.0,2025-05-30,False,False,False,True,True,True,False,True,True,True,False,True,False,False,False,False,False
HWDN.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,,,100.0,2025-05-02,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False
SGRO.L,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,Corporate Citizenship,100.0,2025-05-09,False,False,True,False,True,False,True,True,False,True,True,True,True,False,False,False,False
SJP.L,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,,True,,,100.0,2025-04-25,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,False,False
TW.L,True,True,False,True,False,True,True,True,True,False,True,True,False,True,True,,True,True,Carbon Trust,97.18546,2025-05-09,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False
AHT.L,False,True,True,True,False,False,False,True,True,True,True,True,False,True,True,,True,,,75.87205,2025-07-25,False,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False
HLMA.L,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,,True,,,100.0,2024-11-22,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False,False,False
III.L,,,,,,,,,,,True,True,False,True,True,True,True,True,Carbon Intelligence Pty Limited,100.0,2025-06-06,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HIK.L,,,,,,,,,,,True,True,True,True,True,True,True,True,EcoAct,100.0,2025-01-23,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False
CNA.L,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,,True,True,DNV GL Business Assurance Services UK Limited,100.0,2025-06-20,False,False,False,True,True,False,True,True,True,True,True,False,True,False,False,False,False
MNG.L,,,,,,,,,,,True,True,False,True,True,,True,True,KPMG,100.0,2025-03-14,True,False,True,True,True,True,False,False,False,False,False,False,False,True,True,True,False
BKGH.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,,,100.0,2025-02-28,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False
NG.L,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,PricewaterhouseCoopers LLP,100.0,2024-11-14,False,False,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False
RKT.L,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,2025-06-20,False,True,True,False,True,True,False,False,False,False,False,True,True,False,True,False,False
WEIR.L,False,True,False,False,False,False,False,True,True,True,True,True,False,True,True,,True,False,,100.0,2025-07-25,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,False,True
IMI.L,,,,,,,,,,,True,True,True,True,True,True,True,,,100.0,2024-12-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MRON.L,False,False,False,False,False,True,False,True,True,True,True,True,False,True,True,,True,,,100.0,2025-07-11,False,False,True,False,True,True,True,True,True,False,False,False,True,False,False,False,False
HSX.L,False,True,False,False,False,True,False,True,True,True,True,,False,True,True,,True,,,100.0,2025-01-23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CPG.L,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,EcoAct,100.0,2025-05-30,True,True,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True
AUTOA.L,,,,,,,,,,,True,True,False,True,True,,True,,,100.0,2024-11-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AV.L,,,,,,,,,,,True,True,True,True,True,True,True,True,"PricewaterhouseCoopers LLP, UK",100.0,2025-07-25,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ENT.L,,,,,,,,,,,True,True,False,True,True,,True,True,Carbon Trust,64.4,2024-11-29,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True
DGE.L,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,PricewaterhouseCoopers LLP,100.0,2025-07-18,False,True,True,True,True,True,True,True,False,True,False,True,True,False,True,False,True
GAW.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,,,100.0,2025-05-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
INF.L,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,Bureau Veritas UK Limited,100.0,2025-07-04,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,False,True
UU.L,,,,,,,,,,,True,True,False,True,True,,True,True,,100.0,2024-11-22,False,False,False,False,False,True,False,True,True,False,True,False,True,False,False,True,False
PSHP.L,,,,,,,,,,,True,,False,False,False,,,,,,2025-03-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HLN.L,True,False,False,False,False,False,True,False,True,False,True,True,True,True,True,,True,True,DNV Business Assurance Services UK Limited,100.0,2025-07-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WTB.L,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,Corporate Citizenship,100.0,2025-06-20,False,False,True,True,True,False,False,True,False,True,True,True,True,True,True,True,False
PRU.L,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,,True,True,Ernst & Young LLP (EY),100.0,2025-07-04,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False
MKS.L,,,,,,,,,,,True,True,True,True,True,True,True,True,DNV GL Business Assurance Services UK Limited,100.0,2025-07-25,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False
IMB.L,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,Ernst & Young LLP,51.0,2025-02-28,False,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True
EXPN.L,,,,,,,,,,,True,True,False,True,True,,True,True,PricewaterhouseCoopers LLP,100.0,2025-01-23,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
