Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
ABF.L,B,B,65.1997460280081,65.1997460280081,100.0,B,B-,A,59.0242421882409,52.4463665902047,86.4936348814028,A,A-,A,C+,B-,B+,B+,B,D+,B,91.4251207729469,81.9377990430622,84.6153846153846,46.0919540229885,53.2345013477089,68.778801843318,68.4914841849148,58.4365325077399,25.0,63.6650868878357
AAL.L,A-,A-,78.4396747747468,78.4396747747468,100.0,A,B+,A-,83.4457618318741,71.5869440816985,77.4966354061271,A,A-,D-,A,A,A+,D+,B+,B-,A+,88.0497131931166,82.703213610586,0.0,86.4601769911504,89.6103896103896,96.0176991150443,20.7198443579767,73.4520123839009,50.8513931888545,93.3649289099526
ADML.L,B-,B-,55.635174290884,55.635174290884,100.0,C,B+,B+,35.599861866299,73.8571139772114,71.0929487179487,A,A-,B,B-,C-,D+,C-,A+,D,C+,84.7916666666667,81.25,63.1410256410256,58.1911262798635,28.5377358490566,16.8941979522184,33.2155477031802,97.1362229102167,16.640866873065,43.2859399684044
RTO.L,A-,A-,80.6914710929534,80.6914710929534,100.0,A-,A,B+,82.4919107373524,85.6424596944457,70.3321134224745,A,A-,C,A,B+,A,A+,A,A+,C+,83.7171052631579,81.5217391304348,39.4308943089431,88.623595505618,69.1379310344828,84.4101123595506,94.2028985507246,90.9442724458204,96.2074303405573,43.2859399684044
RMV.L,B,B,65.9705489147925,65.9705489147925,100.0,B-,A-,B+,51.3546486027059,76.787970530359,71.8655240550043,A,A,B-,A+,B-,C+,C-,A-,A+,C+,84.9013657056146,91.2393162393162,52.4017467248908,93.4859154929577,52.7049180327869,45.3638497652582,32.9341317365269,77.4767801857585,96.8266253869969,43.2859399684044
SBRY.L,A-,A-,77.9308252850278,77.9308252850278,83.3333333333333,B+,A-,A+,70.8372723262117,77.9508156081115,92.0436825143692,A,A+,A-,A,B+,D+,A,A+,D+,B+,91.6,98.8188976377953,77.8481012658228,87.3188405797101,68.5185185185185,22.1014492753623,90.6976744186047,97.3644578313253,19.578313253012,68.4413580246914
PHNX.L,B+,B+,73.2613981104079,73.2613981104079,100.0,A,B-,A,84.6043338386883,55.682544994794,86.2976824082678,B+,A,A+,A+,B,A-,A+,B-,D+,A+,67.1428571428571,84.0823970037453,93.4210526315789,96.2295081967213,62.3188405797101,76.8852459016394,94.9826989619377,57.4548192771084,21.3102409638554,98.3796296296296
IHG.L,A-,A-,78.0241259490427,78.0241259490427,100.0,A,B,A,83.3841204102498,64.610679891812,83.9946307995093,A+,B+,B+,A-,A+,A,A-,B-,B+,A+,94.7080291970803,74.290780141844,72.5806451612903,79.2604501607717,94.3231441048035,91.4790996784566,76.0869565217391,57.5077399380805,69.1176470588235,93.3649289099526
BT.L,B+,B,70.6008931176238,58.7379465588119,46.875,B+,B-,A-,72.500029797365,57.8789850761069,82.2266547559319,A,A+,B,A-,B+,B,A-,C+,A,A+,85.8288770053476,97.6315789473684,60.5042016806723,80.9859154929577,67.7142857142857,60.093896713615,76.2019230769231,42.0933734939759,86.0692771084337,94.5216049382716
MNDI.L,A,A,87.8082259497948,87.8082259497948,100.0,A,A,A,85.2553462338474,89.2030431529059,89.7196796338673,A-,A+,A+,A+,A,B+,A+,A,A,A+,81.6666666666667,95.0,94.7368421052632,92.9347826086956,84.6590909090909,71.195652173913,92.1348314606742,88.312693498452,89.3962848297214,93.3649289099526
