Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
STAN.L,A,B-,87.1713059726886,56.4803898284496,25.7894736842105,A+,A-,A-,92.5187793392217,81.3747210350841,83.2436933875304,A-,B,A,A,A+,A+,A+,A-,A+,A+,78.657616892911,63.6929460580913,89.2778993435449,88.6506276150627,94.4206008583691,93.8807531380753,97.0264317180617,75.4786450662739,91.6789396170839,95.398773006135
CCEPC.L,A-,A-,78.537235380877,78.537235380877,100.0,A-,B+,A,77.3912065308221,70.6168944970207,86.8937025496841,A-,A+,A+,A,A,B,B,B+,B-,A+,75.5952380952381,97.1910112359551,92.156862745098,87.7659574468085,88.8888888888889,62.2340425531915,64.7727272727273,70.2681388012618,54.9684542586751,95.8333333333333
CRDA.L,A-,A-,80.128447188826,80.128447188826,100.0,A-,B,A,78.0642034522007,63.6820890290922,91.4175629385834,A+,A-,A+,A+,B+,A-,A-,B,C,A+,98.2758620689655,80.9782608695652,94.4186046511628,95.6445993031359,67.2897196261682,78.5714285714286,78.9473684210526,63.9589905362776,41.3249211356467,95.8333333333333
ANTO.L,B+,B+,73.7204609622354,73.7204609622354,76.5625,A-,A-,B,80.2075706214689,76.7661453298035,64.1781333047309,B+,B+,D-,A,A,A-,D-,A,C,A,67.9775280898876,73.6899563318777,0.0,89.7,90.6944444444444,82.9,0.0,85.9351988217968,40.4270986745214,85.4294478527607
EZJ.L,C+,C+,46.5807394894399,46.5807394894399,55.3571428571429,C-,A-,C+,28.934308989388,77.2816544238339,42.288514208242,D+,B,C+,C-,C+,D,C-,A+,D,B+,20.1030927835052,62.621359223301,50.0,29.4392523364486,49.4505494505495,9.34579439252336,26.9607843137255,97.1281296023564,14.9484536082474,71.5490797546012
BNZL.L,C+,C+,46.8221617134318,46.8221617134318,100.0,B-,B,D+,52.0767195767196,63.9656852436032,20.5722639933166,C-,B-,D-,C-,A-,C-,D,B+,B-,C+,30.5555555555556,55.2631578947369,0.0,32.5,80.5555555555556,32.5,11.1111111111111,69.794952681388,58.1230283911672,43.5833333333333
SGE.L,C+,C+,44.1825743984037,44.1825743984037,100.0,B-,C,C+,55.4950578322182,33.7198785655556,46.5872099108369,A,A-,D-,A-,B-,B,C,C,D+,B-,89.0684410646388,76.0397830018083,0.0,75.3255208333333,51.9354838709677,63.5416666666667,34.2953020134228,34.0942562592047,20.5449189985272,51.6104294478528
SVT.L,B+,B+,69.3816504869856,69.3816504869856,100.0,A-,A-,B,76.8296855909265,75.4539081668419,60.5279576767593,A,B,D+,A,B,A+,C-,A,C-,A+,89.0625,66.1290322580645,19.5652173913043,83.8235294117647,65.2173913043478,95.5882352941177,28.3333333333333,84.6214511041009,31.3091482649842,95.8333333333333
LMPL.L,B-,B-,54.1446561022583,54.1446561022583,100.0,B-,C-,B+,58.2128393151047,29.988643533123,71.575890861655,B,A-,A-,A,D+,D+,A,C,D+,D+,65.5228758169935,75.3067484662577,81.7972350230415,91.41689373297,23.5436893203883,16.7574931880109,83.4808259587021,34.4637223974763,22.397476340694,19.0
ICAG.L,B+,B-,74.3047763256783,50.0834226455978,25.8620689655172,B,A,B+,66.3530456520694,88.7071297197879,71.8541956063178,A-,B+,C+,A-,A+,B+,D,A+,B-,A,79.0322580645161,74.2105263157895,50.0,77.7227722772277,92.4050632911392,69.8019801980198,11.9791666666667,99.367088607595,56.3291139240506,83.974358974359
