Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
STAN.L,A,C+,88.4128171894671,49.4389667342684,10.4651162790698,A+,A,A,93.3475550120387,83.550683491062,83.5707211577331,A-,B,A,A,A+,A+,A+,A-,A+,A-,76.0338345864662,65.1754385964912,90.0537634408602,87.9930394431555,94.8648648648649,98.0858468677494,96.9135802469136,82.5709779179811,92.3501577287066,75.25
CCEPC.L,A-,A-,79.0289701987812,79.0289701987812,100.0,A-,B+,A,76.1459284760767,72.1282515348309,89.1975635771439,A-,A+,A+,A,A,B+,B,B+,C+,A+,79.6052631578947,98.1012658227848,93.1818181818182,84.3023255813953,85.8333333333333,66.8604651162791,63.6363636363636,74.5544554455445,48.6138613861386,95.2688172043011
CRDA.L,A-,A-,82.0837485419905,82.0837485419905,100.0,A-,A-,A,76.5293015791551,75.9072358848788,90.9072661581694,A+,A-,A+,A,B+,A-,A-,B+,A-,A,97.5,80.2127659574468,94.4148936170213,90.5622489959839,67.379679144385,75.9036144578313,79.5154185022026,73.960396039604,75.9405940594059,85.5913978494624
ANTO.L,B+,C+,71.0662244737167,45.9876576914038,20.9090909090909,A-,B+,B,78.6573601180343,70.9346652646337,62.478223088295,B,B+,D-,A+,A+,B,D-,A,D,A,64.3603133159269,73.6503856041131,0.0,96.0674157303371,91.7508417508417,63.9325842696629,0.0,84.9369085173502,13.3280757097792,87.3333333333333
EZJ.L,C+,C,49.7596286568361,34.3625729491077,18.9655172413793,C,A-,C,39.027396798672,78.3876971608833,38.09795750373,D+,B-,C+,C+,C,D,B,A+,D,A-,20.9677419354839,51.0526315789474,50.0,45.049504950495,38.6075949367089,8.41584158415842,64.0625,99.2902208201893,10.8044164037855,75.25
BNZL.L,C+,C+,41.7668343447248,41.7668343447248,100.0,C+,B-,D+,46.875,56.7505589268604,18.0505952380952,D+,B-,D-,C-,B+,C-,D-,B-,B,C+,23.3333333333333,53.125,0.0,28.125,75.0,28.125,0.0,58.3168316831683,59.9009900990099,44.1935483870968
SGE.L,C+,C+,44.3112348958991,44.3112348958991,100.0,B-,C,C,57.581285715155,34.7323168594462,38.1510009991738,B+,B+,D-,A-,C+,B+,C,C,C-,C-,68.639798488665,68.719806763285,0.0,80.5433186490455,46.100278551532,68.8693098384728,34.3605546995378,37.6182965299685,26.6561514195584,32.4166666666667
SVT.L,B-,B-,57.8744461377437,57.8744461377437,100.0,A-,C+,B-,79.7993840836584,43.3649881117144,50.8613445378151,A-,B-,D,A+,B+,B+,C+,C,C-,A,78.3333333333333,55.3571428571429,12.5,95.3125,75.0,73.4375,48.0769230769231,38.3168316831683,29.6039603960396,89.247311827957
LMPL.L,B,B,58.7674484996498,58.7674484996498,100.0,B-,C,A-,58.2559289615754,37.2831541218638,77.5942094041073,A-,A-,A-,A+,D+,D,A,C-,B+,D+,75.5597014925373,79.1228070175438,80.0,93.9093484419263,23.9130434782609,13.1728045325779,85.377358490566,28.8118811881188,73.960396039604,24.6236559139785
ICAG.L,B+,C+,71.9160995114335,44.9580497557167,18.0,B,A,B+,63.225007975572,84.655701754386,71.9666593764428,A-,A-,C+,A-,A+,B-,D,A+,B-,B-,76.1627906976744,77.5862068965517,50.0,77.6041666666667,92.7536231884058,54.1666666666667,13.8888888888889,99.375,55.625,54.6052631578947
REL.L,A,A,87.0409723113524,87.0409723113524,100.0,A-,A+,A-,79.5217809011654,95.9954433929197,78.7755996057386,A+,A+,B-,A+,A+,A+,C,A+,A,A+,99.3702770780857,99.8792270531401,52.7777777777778,99.1923641703377,96.5181058495822,96.9897209985316,34.3605546995378,98.6593059936909,87.2239747634069,95.8333333333333
SMIN.L,B,B,63.1555169713055,63.1555169713055,100.0,B+,A,C,73.1209695224603,83.8878023133544,37.9597254597254,B+,C,D+,B-,A+,B,B,A-,A+,A-,67.5925925925926,34.2592592592593,19.2307692307692,50.8928571428571,96.875,65.1785714285714,63.2075471698113,80.5205047318612,97.8706624605678,79.75
BAB.L,C+,C+,46.0737817156152,46.0737817156152,67.5,C,B+,C,33.8054109740831,66.9619929734909,40.2677547043745,B-,C-,C,B-,C,D+,D,B+,B+,C,56.0810810810811,33.0985915492958,35.5769230769231,58.1521739130435,36.0294117647059,21.7391304347826,10.7142857142857,73.3663366336634,67.029702970297,34.8387096774194
AZN.L,A+,A+,94.1071368908823,94.1071368908823,99.0,A+,A,A+,97.1485973367246,90.494041359972,92.8359576153693,A+,A+,B,A+,A+,A+,A+,A+,A,A,99.7685185185185,95.0,63.2352941176471,98.2666666666667,94.9438202247191,98.8,97.3087818696884,92.5078864353312,83.8328075709779,90.4166666666667
HSBA.L,A-,C+,81.6807191962115,43.4566386678732,5.23255813953488,B+,A+,A,71.9900500755227,93.3512793550648,85.8832902147844,A+,A+,A-,A+,A+,B-,C-,A+,A,A+,99.5300751879699,95.8771929824562,79.9731182795699,92.8654292343387,94.8648648648649,51.2180974477958,29.8148148148148,93.9274447949527,87.7760252365931,98.8333333333333
CTEC.L,B+,B+,74.3473716529827,74.3473716529827,100.0,A+,B,C+,93.2158699735165,63.0564318261479,45.3061224489796,A+,B-,D-,A+,A+,A,A+,B+,D+,A+,93.1547619047619,52.3333333333333,0.0,98.4320557491289,92.3312883435583,91.4634146341463,92.1532846715328,69.9526813880126,18.217665615142,95.8333333333333
WPP.L,A-,A-,80.3430775271725,80.3430775271725,100.0,A-,A,B,79.4342145570737,87.7555555555555,61.695652173913,A-,A+,D-,A+,A-,B,A-,A,A-,A+,82.1739130434783,92.6086956521739,0.0,98.1081081081081,82.7777777777778,60.8108108108108,77.9411764705882,88.3333333333333,81.6666666666667,94.0
FRES.L,B-,B-,57.6198259181065,57.6198259181065,100.0,A-,C+,C+,75.0661994633378,42.5132900386813,48.2108967028092,B-,B-,D-,A,B+,A,D+,C,C,B+,55.4380664652568,50.7530120481928,0.0,90.1985111662531,71.6216216216216,84.7394540942928,22.0820189274448,37.7227722772277,41.0891089108911,68.6021505376344
AAF.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWDN.L,B-,B-,51.1525265918316,51.1525265918316,100.0,C,B-,B,39.9211426871002,52.5293725902559,63.6286718115662,B+,B,B,B-,D+,C-,B+,B,D+,C-,68.9516129032258,60.2272727272727,62.3853211009174,50.6993006993007,20.0,28.3216783216783,71.5384615384615,66.3249211356467,19.9526813880126,32.4166666666667
SGRO.L,A-,A-,76.4107790299587,76.4107790299587,100.0,A,B,A-,85.568892686414,61.5508002413144,81.7778027157446,A,A-,A-,A+,B+,A-,A,C+,A,A,83.3955223880597,80.5263157894737,80.0,93.342776203966,74.8447204968944,78.0453257790368,88.9937106918239,47.8217821782178,91.2871287128713,85.5913978494624
SJP.L,B+,B+,67.6993066695034,67.6993066695034,100.0,B-,A,C+,55.9977047495056,84.2885033298282,45.3398269098961,B,A-,D+,B+,B+,C+,C+,A,B+,B+,63.6563876651982,78.9823008849557,24.5562130177515,68.9814814814815,66.875,49.8456790123457,43.978102189781,91.5615141955836,68.8485804416404,71.0833333333333
TW.L,B+,B,72.9803926934484,61.4901963467242,50.0,A-,A-,B-,80.4267222139563,80.6484752891693,58.108085889974,A,A,D,A+,A+,A-,C+,A+,C,A-,89.9193548387097,91.2878787878788,16.0550458715596,94.0559440559441,96.0,75.1748251748252,45.7692307692308,93.4542586750789,41.5615141955836,75.25
AHT.L,C+,C+,44.905242849839,44.905242849839,100.0,B-,C,C-,56.869500972846,40.125341745531,29.8941542028856,C,D+,C,B+,C,B-,A-,C,C,B-,35.4771784232365,17.2222222222222,37.2340425531915,70.1238390092879,36.3636363636364,51.5479876160991,81.4144736842105,36.98738170347,39.6687697160883,56.5
HLMA.L,B-,B-,55.2842001429598,55.2842001429598,100.0,B,B,C,66.1034407188253,64.6781645906526,39.0420398315135,D+,B,C-,A+,B,B+,D-,B,A-,B-,23.7373737373737,64.7368421052632,29.5454545454545,91.8803418803419,62.2222222222222,71.3675213675214,7.87037037037037,61.4851485148515,81.8811881188119,54.8387096774194
III.L,B,B,64.1148703239241,64.1148703239241,100.0,B,B-,A,65.1021402349315,56.9796657085063,85.119903736925,A-,A,A,A+,B+,B-,C+,B-,C+,A+,77.1978021978022,86.436170212766,87.7622377622378,92.5087108013937,73.0496453900709,52.2648083623693,45.0819672131148,53.1683168316832,42.0792079207921,98.3870967741936
HIK.L,B+,B+,68.312536565067,68.312536565067,100.0,A-,A-,C,76.8682153585803,76.5107349444622,39.6977388094139,B-,C,D-,B+,A-,A-,B+,B+,A,A,55.5837563451777,35.2791878172589,0.0,68.1952662721893,82.258064516129,82.1005917159763,73.8636363636363,69.2079207920792,91.2871287128713,90.8602150537634
CNA.L,B,B-,65.2934130465241,52.0911509677065,38.8888888888889,B,A-,B,61.6804863897888,79.2216964598668,60.4324379324379,B-,A+,C-,B-,A,D+,A-,A,B-,A,54.1666666666667,96.1538461538462,27.1428571428571,52.5641025641026,90.625,24.3589743589744,79.7297297297297,85.7255520504732,50.0788643533123,90.4166666666667
MNG.L,B-,B-,57.5819597589468,57.5819597589468,100.0,C,B+,B+,41.2117077794836,71.3624330174953,73.5364219114219,C,A+,A-,B-,B,D+,C,B,A+,A,36.0795454545455,94.1025641025641,79.1666666666667,51.844262295082,65.6716417910448,19.2622950819672,35.6837606837607,61.0891089108911,92.1782178217822,91.505376344086
BKGH.L,B,B,59.824791164159,59.824791164159,100.0,B-,C,A-,58.2937062937063,35.0990536277602,80.6897428309088,A+,B+,B+,A,C,A,C,C,C-,B-,98.7903225806452,73.8636363636363,73.394495412844,89.1608391608391,34.0,84.965034965035,36.5384615384615,33.5173501577287,26.1041009463722,56.5
NG.L,B+,B+,68.3143328521988,68.3143328521988,100.0,B+,A,B-,71.4908708380103,83.998651478051,57.0713570713571,B-,A,D+,B,A-,A+,C+,A,B+,A,55.4054054054054,90.5405405405405,21.4285714285714,61.8421052631579,77.4193548387097,98.6842105263158,44.2857142857143,87.6237623762376,68.4158415841584,89.247311827957
RKT.L,A,A,89.5869781118644,89.5869781118644,100.0,A+,A-,A,93.5901318758461,82.3857693655801,89.0042767615177,A+,A-,A,A+,A,A+,A+,A-,A-,A,94.53125,82.5757575757576,90.2439024390244,94.1558441558442,87.5,99.3506493506494,95.2702702702703,81.1514195583596,83.2018927444795,87.3333333333333
WEIR.L,A-,A-,77.038414308357,77.038414308357,100.0,A-,A-,A-,77.7916334331471,76.2031545741325,76.9115024505327,B+,B-,A,B+,A+,B+,B+,A-,A-,B-,71.7183770883055,51.6949152542373,91.0427807486631,69.4154488517745,91.9736842105263,73.1732776617954,71.685393258427,78.4700315457413,81.782334384858,56.5
IMI.L,B+,B+,67.8570973137786,67.8570973137786,100.0,B+,B,B+,70.9265077196972,62.3696369636964,69.0763658657139,C+,C,A+,B+,A-,B,B+,B,C+,A-,49.8554913294798,36.1027190332326,92.7884615384615,72.0959595959596,80.1302931596091,58.459595959596,71.448087431694,65.049504950495,41.6831683168317,80.0
MRON.L,B,B,66.1533233266471,66.1533233266471,100.0,B+,B+,C+,70.7318158482217,73.4691903259727,47.7138669998078,C-,C,B+,B,A-,B,B+,A-,B,B-,30.1136363636364,36.6279069767442,72.0,63.6792452830189,81.1688311688312,64.622641509434,68.5567010309278,80.993690851735,59.7003154574132,56.5
HSX.L,B-,B-,55.9386176786791,55.9386176786791,56.0,C,A,D+,40.2798780074288,85.6419118515893,21.634324009324,C+,B,D-,C+,D+,D+,A-,A+,A+,D-,41.7613636363636,66.4102564102564,0.0,46.5163934426229,19.4029850746269,17.827868852459,75.4273504273504,97.1774193548387,98.7903225806452,8.24175824175824
CPG.L,A-,A-,80.4738699369018,80.4738699369018,100.0,A,A-,B+,87.6616911942999,78.9980722046968,70.1339430992441,B+,B+,B,A-,A+,A+,A,A-,B+,A+,73.019801980198,67.6605504587156,66.2162162162162,76.6409266409266,96.2732919254658,92.8571428571429,86.4583333333333,76.1041009463722,74.9211356466877,99.5833333333333
AUTOA.L,C+,C+,43.3115031817302,43.3115031817302,100.0,C,B-,D+,40.2349423382315,52.3722630327549,21.9398394328016,D,A-,D-,A,C,C-,C,B,C-,D+,15.5797101449275,75.3597122302158,0.0,86.7760617760618,34.7826086956522,25.1930501930502,35.1612903225806,65.6435643564356,26.6336633663366,24.6236559139785
AV.L,B+,B+,74.4006665719283,74.4006665719283,90.0,B,A,A,61.5458683583225,86.2538060257639,83.833041958042,A,A+,A-,B-,A,B+,C,A+,C,A+,85.5113636363637,96.1538461538462,79.1666666666667,56.3524590163934,90.2985074626866,70.6967213114754,35.6837606837607,98.3168316831683,37.5247524752475,99.0322580645161
ENT.L,B+,C+,68.6898245889728,41.8449122944864,15.0,B+,A,B-,69.2634665515358,84.4444444444444,50.2286214786214,B-,B-,D-,A,A+,B-,B-,A+,B-,A,52.6785714285714,55.9459459459459,0.0,89.7826086956522,93.5714285714286,51.5217391304348,58.0568720379147,92.8571428571429,57.1428571428571,83.3333333333333
DGE.L,A,C+,88.7678857097626,45.8545310901754,2.94117647058824,A+,A-,A,94.1971459793019,79.1657903960743,88.4497931507185,A+,A,B,A+,A,A+,A+,A,C+,A+,95.8333333333333,90.4494382022472,58.8235294117647,98.4042553191489,88.8888888888889,94.1489361702128,97.1590909090909,86.8296529968454,42.5078864353312,95.8333333333333
GAW.L,C,C,35.7415822792544,35.7415822792544,100.0,C-,B-,D,26.933651246484,57.53463021381,9.53591862682773,D,D+,D-,C,D,D-,C+,B-,A,C-,10.6060606060606,24.3589743589744,0.0,37.5,15.7142857142857,1.13636363636364,43.0232558139535,54.3375394321767,84.9369085173502,32.4166666666667
INF.L,B,B,65.3886774365621,65.1943387182811,65.0,B,B,B,65.0115487218395,65.0461268839818,66.5664449274408,A+,A,D-,A,B,B+,C-,B,C+,A,96.4730290456432,89.4444444444444,0.0,91.4860681114551,60.2272727272727,74.4582043343653,27.4671052631579,65.6940063091483,48.0283911671924,87.3333333333333
UU.L,B+,B,71.7746458307099,60.8873229153549,50.0,A-,C+,A-,80.7170764518991,46.1087729143285,80.5306905370844,A-,A-,A,A,A+,B,A+,C,B,B+,76.0869565217391,77.0833333333333,90.0,83.9285714285714,92.8571428571429,62.5,93.4782608695652,36.7045454545455,58.9772727272727,73.8271604938272
PSHP.L,C,C,38.7146607134751,38.7146607134751,100.0,C-,B-,D-,30.1869538711644,52.7586206896552,0.0,D-,D-,D-,C,D-,D+,C+,A-,D-,D-,0.0,0.0,0.0,33.7837837837838,0.0,25.0,50.0,77.5862068965517,5.17241379310345,0.0
HLN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTB.L,A-,A-,77.3493610097491,77.3493610097491,100.0,A,B+,B+,85.2432479062914,68.3216263582194,74.2236991283226,A+,B,D-,A,A-,A,A,B-,A+,A,96.7821782178218,62.1559633027523,0.0,85.5212355212355,81.3664596273292,85.9073359073359,86.4583333333333,56.3880126182965,95.4258675078864,87.3333333333333
