Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
RKT.L,True,True,False,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,2214.07320279527,32000000,0.0,,True,False,False,True,False,,True,False,,,,,,,,,,,,,,,,
WEIR.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,271.743052465515,671776,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMI.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MRON.L,True,True,True,True,True,True,False,False,,,,True,True,True,True,True,False,False,False,352.792823290454,1042150,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HSX.L,False,False,True,True,True,True,True,False,,,,False,False,False,True,False,False,False,False,496.113775425831,1500000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CPG.L,True,True,True,False,True,True,True,True,0,,,True,True,True,True,True,True,False,False,274.380683599875,7000000,,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AUTOA.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,1000.76103500761,263000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AV.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,974.32440713279,31800000,0.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,3368.14621409922,12900000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
DGE.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1423.76391405643,22000000,640000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GAW.L,False,False,False,False,False,False,False,False,,,,False,False,False,True,False,True,False,False,0.0,0,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
INF.L,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,1280.11315417256,2896128,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
UU.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,1270.57387188727,2362378,23627.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSHP.L,,,,,,,,,,,,False,False,False,True,False,,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLN.L,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,156.566586848407,1700000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WTB.L,True,False,False,False,False,True,True,True,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PRU.L,True,False,True,True,True,True,True,False,0,,,True,True,True,True,False,True,False,False,1760.46176046176,12200000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MKS.L,,,,,,,,,,,,True,True,True,True,True,True,True,False,4221.71072009076,38700000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMB.L,True,True,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,30.7210223956253,1000000,0.0,,False,False,False,False,True,,True,True,,,,1,,,,,,,,,,,,
EXPN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,2242.1816827997,12045000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GSK.L,True,True,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,10503.3419724458,308000000,6040500.0,,True,False,True,True,False,,True,False,,,,,1,,,,,,,,,,,
LAND.L,,,,,,,,,,,,True,False,False,True,False,True,False,False,10301.1093502377,6500000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BEZG.L,,,,,,,,,,,,False,False,False,True,False,True,False,False,115.357251351844,379733,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BP.L,True,False,False,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,385.265460330085,93000000,,,True,False,False,False,False,,True,False,1,,,,,,,,,,,,,,,
JD.L,False,False,True,False,True,False,True,False,,,,False,True,False,True,False,True,False,False,,,0.0,,True,False,False,False,True,,True,True,,,,2,,,,,,,,,,,,
ABF.L,True,True,True,True,True,True,True,True,,,,False,True,True,True,False,True,True,False,5295.052068012,90000000,0.0,,True,False,False,False,False,,True,False,,,,,1,,,,,,,,,,,
AAL.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,True,4983.19949883251,175000000,0.0,,True,False,False,False,False,,False,False,1,,,,,,,,,,,,,,,
ADML.L,False,False,True,False,False,True,True,False,,,,False,True,False,True,False,False,False,False,43.1140675043114,140000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RTO.L,True,True,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,268.712977921379,998000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RMV.L,False,True,True,False,False,True,True,False,0,,,False,True,True,True,False,True,False,False,694.482024640583,231000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SBRY.L,,,,,,,,,,,,False,False,False,True,False,,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PHNX.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,26.2621528498485,632629,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IHG.L,False,False,True,False,False,False,True,True,,,,True,True,True,True,True,True,True,False,488.180883864337,1900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
