Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
STAN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1803.87641527538,28200000,0.0,,True,True,True,False,True,,True,False,,1,,,,,,,,,,,,,,
CCEPC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,857.603149160852,9095739,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,17.9817305617493,25000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ANTO.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,False,False,True,6398.84338897739,47800000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EZJ.L,False,False,False,False,False,False,False,False,,,,False,True,False,True,False,False,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BNZL.L,True,True,False,False,True,True,True,False,,,,False,True,True,True,False,True,False,False,224.604642422684,2271000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGE.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
SVT.L,False,False,True,True,True,True,True,False,0,,,True,True,True,True,True,True,False,False,1908.58150257662,3518470,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LMPL.L,,,,,,,,,,,,False,False,False,True,False,,False,False,1322.38095238095,149958,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ICAG.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,235.612608032537,1853800,,,True,False,False,False,True,,True,True,,,,2,,,,,,,,,,,,
REL.L,False,False,True,False,True,False,True,False,,,,True,True,True,True,True,True,True,False,1435.67090005522,10400000,112967.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMIN.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,30500.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BAB.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AZN.L,True,True,True,False,True,True,True,True,,,,True,True,True,True,True,True,False,False,65863.1429564102,2464401220,1140000.0,,True,True,True,True,True,,True,True,,,,1,,,,,,,,,,,,
HSBA.L,True,True,True,True,True,True,True,False,,,,False,True,True,True,False,True,True,False,2277.27506153601,128600000,15500.0,,True,True,False,False,True,,True,True,,,1,2,,,,,,,,,,,,
CTEC.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,735.907373791885,1500000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
WPP.L,,,,,,,,,,,,False,True,True,True,False,True,False,False,3202.84975509917,41000000,,,True,True,False,False,True,,True,False,,1,,,,,,,,,,,,,,
FRES.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1432.06635240766,3480000,0.0,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AAF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,1453.91102064554,5000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HWDN.L,,,,,,,,,,,,False,False,False,True,False,,False,False,955.246692458327,2000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SGRO.L,True,False,True,False,True,True,True,False,0,,,False,True,True,True,False,True,False,False,3493.16655084549,1508000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SJP.L,,,,,,,,,,,,False,True,False,True,False,True,False,False,345.380810196533,6200000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TW.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,220.592779294733,945218,0.0,,True,True,False,False,True,,False,True,,,,2,,,,,,,,,,,,
AHT.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,319.401667172652,1609679,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLMA.L,True,True,True,False,True,True,True,False,,,,False,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
III.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HIK.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,2904.5194361384,6799480,0.0,,True,False,False,False,False,1,True,False,,,,,,SD,,,,,,,,,,
CNA.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,54.6448087431694,1000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MNG.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
BKGH.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NG.L,False,False,True,False,True,True,True,False,0,,,True,True,True,True,True,True,True,False,3232.46217331499,47000000,36978.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RKT.L,True,True,False,True,True,True,True,True,,,,True,True,True,True,True,True,True,False,2871.39186942723,38000000,0.0,,True,True,False,True,False,,True,False,,,,,,,,,,,,,,,,
WEIR.L,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,249.635395117915,482695,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
IMI.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
MRON.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,105.775639097744,703408,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HSX.L,False,False,True,True,True,True,True,False,,,,False,False,False,True,False,False,False,False,3000.10000333344,9000000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CPG.L,False,False,True,False,True,True,True,True,0,,,True,True,True,True,True,True,False,False,614.250614250614,11000000,,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AUTOA.L,,,,,,,,,,,,False,False,True,True,False,True,False,False,707.508809975603,261000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
AV.L,,,,,,,,,,,,False,True,True,True,True,True,False,False,1420.61373150071,43100000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,True,True,True,True,True,False,False,False,2723.49505840072,9700000,0.0,,True,False,False,False,True,,True,True,,,1,1,,,,,,,,,,,,
DGE.L,True,True,True,True,True,True,True,False,,,,True,True,True,True,True,True,False,False,1645.3310296081,20950000,380000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GAW.L,,,,,,,,,,,,False,False,False,False,False,True,False,False,0.0,0,0.0,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
INF.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,477.396452993829,858693,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
UU.L,,,,,,,,,,,,False,True,True,True,False,False,False,False,1699.76574099533,3091024,9338.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PSHP.L,,,,,,,,,,,,False,False,False,False,False,,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
HLN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTB.L,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
