Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
DHI.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TTD.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TRV.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,"Apex Companies, LLC",51.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MOS.N,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False
WDC.OQ,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,True,False,True,True,True,True,True,False,False,True,True,False,False,False,False
VTR.N,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,"DNV Business Assurance USA, Inc.",100.0,,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False
IVZ.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,,100.0,,True,False,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False
ZBRA.OQ,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,,True,True,"Apex Companies, LLC",100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMAT.OQ,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,,False,False,False,False,True,False,True,True,True,True,False,True,True,False,False,False,False
STX.OQ,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True
FDS.N,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,True,SRI Quality System Registrar,100.0,,True,False,True,False,True,False,True,True,False,True,False,True,True,False,False,True,False
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DELL.N,False,False,False,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,PricewaterhouseCoopers LLP,100.0,,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True
VRSN.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TECH.OQ,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NVR.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JBL.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,SGS North America Inc.’s,100.0,,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True
XYZ.N,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,True,,Watershed,100.0,,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,False
LOW.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,"Apex Companies, LLC",99.0,,False,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False
BSX.N,False,False,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,,,67.0,,False,False,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False
SYY.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,EY Limited,100.0,,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False
FCX.N,True,False,True,True,False,False,False,True,False,False,True,False,True,True,True,True,True,True,Ernst & Young LLP(US),100.0,,False,False,True,True,True,True,False,True,False,False,True,True,True,False,True,False,True
MAS.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,,48.0,,False,False,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False
BEN.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,,False,,,,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True
META.OQ,True,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,True,False,True,False,True,True,True,False,True,True,True,False,False,True,True
PAYC.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,,,45.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EXPE.OQ,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RJF.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,True,"Cameron-Cole, LLC",100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CL.N,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
VICI.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
UNH.N,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,,False,True,GRANT THORNTON LLP (US),20.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ARE.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,"DNV Business Assurance USA, Inc.",74.2,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GEN.OQ,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,True,True,False,False,True,False,True,False,True,True,False,False,True,False
LLY.N,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,,True,True,Bureau Veritas UK Limited,51.0,,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
DAY.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,,True,True,WSP USA,100.0,,False,False,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False
GRMN.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
PODD.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ISRG.OQ,True,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AVB.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,"Lloyd's Register Quality Assurance, Inc.",100.0,,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False
TPR.N,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,SGS North America Inc.’s,100.0,,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True
CBRE.N,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,True
CINF.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
WMB.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False
EA.OQ,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TMUS.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CB.N,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,,True,True,PricewaterhouseCoopers LLP (USA),100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TXN.OQ,True,True,False,False,False,False,False,True,True,True,True,False,False,True,True,True,True,True,ERM Certification and Verification Services (ERM CVS),100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MDLZ.OQ,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,,True,True,SGS United Kingdom Limited,100.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BRO.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BALL.N,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,,100.0,,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True
PFG.OQ,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,,,61.1671,,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True
KEYS.N,False,True,False,False,False,False,False,True,True,False,True,False,True,True,True,True,True,True,"Apex Companies, LLC",100.0,,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False
PCG.N,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,Third party validation,100.0,,False,False,True,False,False,False,True,False,True,True,True,False,True,False,False,False,False
RL.N,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
JPM.N,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,,,100.0,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TTWO.OQ,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
