Instrument,Audit Oversight of Tax,Named Position for Tax Oversight,Tax Breakdown by Country,Tax Breakdown by Domestic or International,Tax Data Verification,Tax Fairness Commitment,Tax in Audit Tor,Tax Oversight by Board,Policy Tax Transparency,Taxes Align to Revenues,CSR Sustainability Committee,Integrated Strategy in MD&A,Global Compact Signatory,Stakeholder Engagement,CSR Sustainability Reporting,GRI Report Guidelines,CSR Sustainability Report Global Activities,CSR Sustainability External Audit,CSR Sustainability External Auditor Name,ESG Reporting Scope,ESG Period Last Update Date,UNPRI Signatory,SDG 2 Zero Hunger,SDG 3 Good Health and Well-being,SDG 4 Quality Education,SDG 5 Gender Equality,SDG 6 Clean Water and Sanitation,SDG 7 Affordable and Clean Energy,SDG 8 Decent Work and Economic Growth,"SDG 9 Industry, Innovation and Infrastructure",SDG 10 Reduced Inequality,SDG 11 Sustainable Cities and Communities,SDG 12 Responsible Consumption and Production,SDG 13 Climate Action,SDG 14 Life Below Water,SDG 15 Life on Land,SDG 16 Peace and Justice Strong Institutions,SDG 17 Partnerships to achieve the Goal
POOL.OQ,,,,,,,,,,,False,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CHRW.OQ,,,,,,,,,,,False,False,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AJG.N,,,,,,,,,,,False,False,True,False,True,True,True,False,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CNP.N,,,,,,,,,,,True,True,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMCR.N,,,,,,,,,,,True,True,False,True,True,True,True,True,Ernst & Young,100.0,,False,True,True,False,False,False,False,False,True,False,False,True,True,True,False,False,False
WM.N,,,,,,,,,,,True,False,False,True,True,True,True,True,ASTER GLOBAL ENVIRONMENTAL SOLUTIONS,100.0,,False,False,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False
BA.N,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FOX.OQ,,,,,,,,,,,True,False,False,False,True,,True,,,92.51111,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TKO.N,,,,,,,,,,,False,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,
WY.N,,,,,,,,,,,True,True,False,True,True,True,True,False,,100.0,,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,False
MCD.N,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HD.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SPG.N,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,True,Andrew Shepherd,100.0,,True,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False
HBAN.OQ,,,,,,,,,,,True,False,False,True,True,True,True,True,Energent Solutions,100.0,,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False
LVS.N,,,,,,,,,,,True,False,False,True,True,True,True,True,"Lloyd's Register Quality Assurance Inc,Lloyd’s Register International (Thailand) Limited",100.0,,False,True,True,False,False,True,True,True,False,True,True,True,False,False,False,False,True
CTRA.N,,,,,,,,,,,True,False,False,False,False,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ON.OQ,,,,,,,,,,,True,False,True,True,True,True,True,False,,100.0,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AIG.N,,,,,,,,,,,False,False,False,False,True,,True,,,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
