Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR.N,False,True,True,,,1,13640000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,1,,,,False,False,False,,,False,,,False,1.90909090909091,True,999,1,True,False,39395924,8977329,True,False,True,True,3125830,0,False,,,33.3333333333333,25.0,,,2888.2642228739,,,,,,
WM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX.OQ,False,True,True,,,1,13980000000,True,False,True,True,True,False,False,False,100.0,False,True,True,True,False,False,6,,,,False,False,False,True,True,True,,False,True,0.5,True,999,1,True,False,101689647,27329545,True,False,True,True,1868405,,False,,,,0.0,,,7273.93755364807,14.29,,,,85.71,14.29
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,False,True,True,,,1,7124000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,2,,,,False,False,False,False,False,False,True,False,False,1.4,True,999,1,True,False,31546698,12952945,True,False,True,True,2904855,1,False,,,30.0,28.5714285714286,,,4428.22824256036,,,,,,
MCD.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD.N,False,True,True,,,1,157403000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,2,,,,False,False,False,False,True,True,,,True,0.857142857142857,True,999,1,True,False,41203500,14619800,True,False,False,True,3615000,,False,,,,18.1818181818182,,,261.770741345464,30.8,0.0,15.4,15.4,69.2,0.0
SPG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVS.N,False,True,True,,,1,11298000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,True,False,6,,,,True,False,False,True,True,True,True,False,True,0.222222222222222,True,999,1,True,True,49701489,21851773,True,True,True,True,2369011,5,False,,,,0.0,,,4399.14046733935,79.0,5.0,1.0,2.0,21.0,71.0
CTRA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMCI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST.OQ,False,True,True,,,1,254453000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,True,True,True,True,False,False,0.75,True,999,1,True,False,70189500,16049870,True,True,True,True,2731666,3,False,,,,15.3846153846154,,8.33333333333333,275.84465500505,11.11,,11.11,,88.89,
MCO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LULU.OQ,False,True,True,,,1,8110520000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,,,False,True,True,True,False,False,0.666666666666667,False,999,3,True,False,34854500,15663800,True,False,False,True,2585360,1,False,,,,66.6666666666667,,,4297.44332052692,10.0,,10.0,,90.0,
PAYX.OQ,False,True,True,,,1,5278300000,True,True,False,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,False,True,True,True,False,True,0.833333333333333,True,999,1,True,False,20028042,7534855,True,False,False,True,3645636,1,False,,,,25.0,,,3794.41145823466,9.1,,9.1,,90.9,
WSM.N,False,True,True,,,1,8674420000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,False,True,True,True,,False,1.77777777777778,True,10,1,True,False,45304400,17322300,True,False,True,True,1954750,1,False,,,,50.0,,,5222.75840920776,27.4,18.5,3.2,4.4,72.6,1.3
AMD.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHI.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTD.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
