Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
POOL.OQ,,,,,,1,5295580000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,,,,True,False,False,False,True,True,,False,False,0.4,True,999,1,True,False,15485900,5575380.0,True,False,True,True,1626290,1,False,,,,28.5714285714286,,,2924.30668595319,11.11,,,11.11,88.89,
CHRW.OQ,,,,,,1,23102100000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,9,True,,,True,False,False,True,True,True,True,False,True,0.9,True,999,1,True,False,23549000,10233300.0,True,False,False,True,2372500,0,False,,,,8.33333333333333,,,1019.3445617498,8.0,,8.0,,92.0,
AJG.N,,,,,,1,8209400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,0.2,True,999,1,True,False,34198900,13882300.0,True,False,False,True,2607730,1,False,,,,8.33333333333333,,,4165.82210636587,20.0,,,,,
CNP.N,,,,,,1,8352000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,True,True,True,True,,False,0.461538461538462,True,999,1,True,False,79404200,37809800.0,True,False,True,True,2487350,0,False,,,11.1111111111111,36.3636363636364,,,9507.20785440613,,,,,,
AMCR.N,False,True,True,,,1,14544000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,1,,,,False,False,False,,,False,,,False,1.66666666666667,True,999,1,True,False,29886402,9872758.0,True,False,True,True,3106134,0,False,,,45.4545454545455,15.3846153846154,,,2054.89562706271,,,,,,
WM.N,,,,,,1,17931000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,True,False,False,1.1,True,999,1,True,False,27606900,13057400.0,True,False,False,True,2555550,0,False,,,11.1111111111111,36.3636363636364,,,1539.61853772796,11.0,,,,89.0,11.0
BA.N,False,True,True,,,1,62286000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,True,True,True,False,False,1.1875,True,999,1,True,False,57817100,21093600.0,True,False,True,True,4497130,,False,,,,17.6470588235294,,6.25,928.251934624153,25.0,,,,,
FOX.OQ,False,True,True,,,1,13974000000,True,False,True,True,True,False,False,False,100.0,False,True,True,True,False,False,6,,,,False,False,False,True,True,True,,False,True,0.75,True,999,1,True,False,67734500,21748681.0,True,False,True,True,1979916,,False,,,12.5,0.0,,33.3333333333333,4847.18047803063,,,,,,
TKO.N,,,,,,1,974207000,True,False,True,True,True,False,False,False,100.0,True,False,True,True,True,False,6,,,,True,False,False,,True,True,True,False,True,0.125,True,999,1,True,False,23354539,12964600.0,True,False,False,True,2532539,,False,,,,30.7692307692308,,,23972.8712686318,,,,,,
WY.N,False,True,True,,,1,10184000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,False,True,True,True,False,False,1.22222222222222,True,999,1,True,False,31272007,12969306.0,True,False,True,True,2364904,1,False,,,22.2222222222222,28.5714285714286,,,3070.69982325216,11.1,,,,,
MCD.N,False,True,False,,,1,23222900000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,True,False,True,True,True,False,False,1.33333333333333,False,999,1,True,False,52147500,20028100.0,True,False,False,True,4041600,1,False,,,8.33333333333333,45.4545454545455,,,2245.52058528435,25.0,,16.67,8.33,75.0,
HD.N,False,True,True,,,1,132110000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,2,,,,False,False,False,False,True,True,,,True,1.5,True,999,1,True,False,35040162,13995092.0,True,False,False,True,3312000,,False,,,,20.0,,,265.234743774128,25.0,0.0,16.7,8.3,75.0,0.0
SPG.N,False,True,False,,,1,5116790000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,False,True,True,True,False,True,0.571428571428571,True,999,1,True,False,20524200,10475200.0,True,False,True,True,3195250,1,False,,,,0.0,,,4011.14761403145,18.0,,,,,
HBAN.OQ,,,,,,1,5991000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,True,True,True,True,False,True,0.5,True,999,1,True,False,29562300,9619180.0,True,False,False,True,7192120,0,False,,,,28.5714285714286,,,4934.45167751627,26.667,6.667,13.333,6.667,73.333,
LVS.N,False,True,True,,,1,4110000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,True,False,6,,,,True,False,False,True,True,True,True,False,True,0.181818181818182,True,999,1,True,True,28313415,11623680.0,True,True,True,True,2835362,5,False,,,,0.0,,,6888.90875912409,79.0,5.0,1.0,1.0,21.0,72.0
CTRA.N,,,,,,1,3449000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,True,,,True,False,False,False,True,True,True,False,True,0.857142857142857,True,999,1,True,False,59749600,14554700.0,True,False,False,True,2430160,0,False,,,,7.14285714285714,,,17323.7460133372,10.0,,,,,
