Instrument,Audit Rotation,Disclosure of Voting Results,Shareholder Director Votes,AGM Date,AGM Notice Filing Date,Exchange Rate to USD,Sales in USD,Shareholder Rights Policy,Policy Equal Voting Right,Policy Shareholder Engagement,Dual Class Stock,Different Voting Right Share,Equal Voting Rights,Equal Shareholder Rights,Voting Cap,Voting Cap Percentage,Minimum Number of Shares to Vote,Director Election Majority Requirement,Shareholders Vote on Executive Pay,Public Availability Corporate Statutes,Veto Power or Golden share,State Owned Enterprise SOE,Anti Takeover Devices Above Two,Poison Pill,Poison Pill Adoption Date,Poison Pill Expiration Date,Unlimited Authorized Capital or Blank Check,Classified Board Structure,Staggered Board Structure,Supermajority Vote Requirement,Golden Parachute,Limited Shareholder Rights to Call Meetings,Elimination of Cumulative Voting Rights,Pre-emptive Rights,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
ON.OQ,,,,,,1,5517900000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,False,True,True,True,True,False,False,2.0,True,999,1,True,False,20413651.0,8894933.0,True,False,False,True,2816331.0,0,False,,,,0.0,,,3699.53261204444,,,,,,
AIG.N,,,,,,1,49920000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,False,,,True,False,False,False,True,True,True,False,False,1.13333333333333,True,999,1,True,False,64353553.0,19369637.0,True,False,False,True,3987055.0,0,False,,,,30.7692307692308,,8.33333333333333,1289.13367387821,,,,,,
AIZ.N,,,,,,1,10089400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,False,True,True,True,True,False,False,0.625,True,999,1,True,False,24874729.0,10155682.0,True,True,False,True,2965117.0,3,False,,,,33.3333333333333,,,2465.43193847008,,,,,,
CARR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,1,5147800000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,True,True,True,,False,False,0.6,True,999,1,True,False,14095094.0,5793976.0,True,False,False,True,3286182.0,,False,,,,18.1818181818182,,,2738.08112203271,,,,,,
SMCI.OQ,,,,,,1,3500360000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,8,,,,True,False,True,True,False,True,True,False,True,0.444444444444444,False,999,3,True,False,2835177.0,831529.0,True,False,False,True,788753.0,1,False,,,,14.2857142857143,,,809.967260510348,,,,,,
COST.OQ,False,True,True,,,1,166761000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,7,,,,True,False,True,True,True,True,True,False,False,1.18181818181818,False,999,1,True,False,26804741.0,8279552.0,True,True,False,True,2653764.0,3,False,,,,0.0,True,,160.737468592777,10.0,,,,90.0,10.0
MCO.N,,,,,,1,4829000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,,False,False,1.1,False,999,1,True,False,31186220.0,13751632.0,True,False,True,True,2770023.0,1,False,,,10.0,25.0,,,6458.11141022986,,,,,,
DIS.N,False,True,True,,,1,69607000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,1.16666666666667,True,15,1,True,False,92795450.0,47517762.0,True,False,False,True,3328950.0,0,False,,,,60.0,,,1333.1338802132,,,,,,
LULU.OQ,False,True,True,,,1,3288319000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,True,False,True,True,True,False,False,0.4,False,999,3,True,False,36192068.0,17030258.0,True,False,False,True,1679100.0,1,False,,,,42.8571428571429,,,11006.2521306479,,,,,,
PAYX.OQ,,,,,,1,4040500000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,False,False,False,False,True,True,True,False,True,1.44444444444444,True,999,1,True,False,16140610.0,8068717.0,True,False,False,True,1994091.0,1,False,,,,22.2222222222222,,,3994.70610073011,,,,,,
WSM.N,,,,,,1,5671593000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,False,True,True,True,,False,1.55555555555556,True,999,1,True,False,45286105.0,27254166.0,True,False,False,True,2696657.0,1,False,,,,57.1428571428571,,,7984.72404490238,,,,,,
AMD.OQ,False,True,False,,,1,6731000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,True,True,True,True,False,False,1.1,True,999,1,True,False,103912380.0,58534288.0,True,False,False,True,2251003.0,,False,,,,12.5,,,15437.8814440648,,,,,,
REG.OQ,,,,,,1,1133138000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,True,False,True,0.923076923076923,True,999,1,True,False,14017463.0,5619541.0,True,True,False,True,2377835.0,4,False,,,,33.3333333333333,,,12370.4817948035,0.0,,0.0,,100.0,
DHI.N,False,True,True,,,1,17592900000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,False,True,True,True,True,False,True,0.0,True,999,1,True,False,49399100.0,24611800.0,True,True,False,True,2337320.0,5,False,,,,0.0,,,2807.89977775125,,,,,,
TTD.OQ,,,,,,1,661058000,True,False,True,True,True,False,False,False,100.0,True,False,True,True,True,False,10,,,,True,False,True,True,True,True,True,,True,0.666666666666667,False,999,3,True,False,41949067.0,12135500.0,False,False,False,True,2080000.0,1,False,,,,40.0,,,63457.4681797966,,,,,,
TRV.N,,,,,,1,31585000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,2.0,True,999,1,True,False,38693605.0,16778809.0,True,False,True,True,2998248.0,1,False,,,,26.6666666666667,,,1225.0626879848,,,,,,
MOS.N,,,,,,1,8906300000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,False,True,True,True,False,False,1.0,True,999,1,True,False,23802790.0,9767104.0,True,False,True,True,2967236.0,1,False,,,7.14285714285714,22.2222222222222,,,2672.57896096022,,,,,,
WDC.OQ,,,,,,1,16569000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,1.27272727272727,True,999,1,True,False,33388221.0,12866469.0,True,False,True,True,3575720.0,1,False,,,,11.1111111111111,,,2015.10175629187,,,,,,
VTR.N,,,,,,1,3872750000,True,True,True,False,False,False,False,True,9.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,0.9,True,999,1,True,False,27706140.0,11348335.0,True,False,True,True,2693333.0,1,False,,,,25.0,,,7154.12562132851,,,,,,
IVZ.N,,,,,,1,6117400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,,False,False,2.72727272727273,True,999,1,True,False,29475681.0,11518949.0,True,False,False,True,8710217.0,0,False,,,60.0,0.0,,,4818.33475005721,,,,,,
ZBRA.OQ,,,,,,1,4485000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,8,False,,,True,False,True,True,True,True,True,False,False,0.75,False,999,3,True,False,18792610.0,10150109.0,True,False,False,True,2220637.0,0,False,,,,20.0,,,4190.10256410256,,,,,,
AMAT.OQ,False,True,True,,,1,14608000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,False,0.666666666666667,True,999,1,True,False,32541551.0,14072395.0,True,False,True,True,3312600.0,0,False,,,,0.0,,,2227.6527245345,,,,,,
STX.OQ,,,,,,1,10390000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,True,True,True,,True,True,1.0,True,999,1,True,False,28848592.0,10344579.0,True,False,False,True,3200108.0,1,False,,,,12.5,,,2776.57285851781,,,,,,
FDS.N,,,,,,1,1435351000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,True,True,True,True,,False,True,0.666666666666667,False,999,3,True,False,11366000.0,2884061.0,True,True,True,True,905737.0,3,False,,,,22.2222222222222,,,7918.6206022081,,,,,,
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,False,True,True,,,1,14351000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,True,True,,False,True,1.08333333333333,True,999,1,True,False,29391041.0,13317032.0,True,False,True,True,2720557.0,1,False,,,9.09090909090909,22.2222222222222,,,2048.01344854017,50.0,30.0,20.0,,50.0,
DELL.N,,,,,,1,90621000000,True,False,True,True,True,False,False,False,100.0,False,False,True,True,False,False,6,,,,True,False,False,False,True,True,True,False,True,1.33333333333333,True,999,1,True,False,34213084.0,13415879.0,True,True,True,True,1389958.0,4,False,,,16.6666666666667,30.7692307692308,,,377.540349367144,,,,,,
VRSN.OQ,,,,,,1,1231660000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,0.625,True,999,1,True,False,18286418.0,9024070.0,True,False,False,True,2307337.0,0,False,,,,0.0,,,14846.9691310914,,,,,,
TECH.OQ,,,,,,1,738691000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,True,True,True,False,False,0.888888888888889,True,999,1,True,False,21325559.0,,True,False,False,True,2146911.0,1,False,,,,16.6666666666667,,,28869.3905841549,,,,,,
NVR.N,,,,,,1,7428442000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,True,False,True,0.769230769230769,True,999,1,True,False,21037897.0,13737397.0,True,True,False,True,1079465.0,4,False,,,,0.0,,,2832.07393959595,,,,,,
JBL.N,,,,,,1,27266438000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,0.7,True,999,1,True,False,23332758.0,12718400.0,True,False,False,True,2536950.0,1,False,,,,7.69230769230769,,,855.731797457372,,,,,,
XYZ.N,,,,,,1,4713500000,True,False,True,True,True,False,False,False,100.0,False,False,True,True,False,False,10,,,,True,False,True,True,True,True,True,,True,0.583333333333333,False,999,3,True,False,31346605.75,13081526.0,False,False,False,True,3266486.0,1,False,,,,66.6666666666667,,,6650.38840564336,,,,,,
LOW.N,False,True,True,,,1,71309000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,0,False,,,,,,,,,,,True,1.66666666666667,False,999,1,True,False,49176965.0,14302791.0,True,False,False,True,3559585.0,,False,,,7.69230769230769,22.2222222222222,,,689.631953890813,,,,,,
BSX.N,,,,,,1,10735000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,True,False,False,True,True,True,True,False,True,2.2,True,999,1,True,False,30388417.0,15764140.0,True,False,True,True,2827657.0,1,False,,,,17.6470588235294,,,2830.77941313461,,,,,,
SYY.N,,,,,,1,52893310000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,1.14285714285714,True,999,1,True,False,57941600.0,25872400.0,True,False,False,True,3190055.0,1,False,,,7.69230769230769,30.7692307692308,,,1095.44288304135,,,,,,
FCX.N,,,,,,1,14402000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,True,True,True,,False,False,1.85714285714286,True,999,1,True,False,26578060.0,15742249.0,True,False,True,True,1425440.0,1,False,,,,33.3333333333333,,,1845.4422996806,,,,,,
MAS.N,,,,,,1,6707000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,,False,False,1.18181818181818,False,999,3,True,False,19067945.0,8659363.0,True,True,False,True,2961990.0,3,False,,,,10.0,,,2842.99165051439,,,,,,
BEN.N,,,,,,1,5669400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,,,,True,False,False,False,True,True,,False,True,1.8,True,999,1,True,False,32561300.0,10450300.0,True,False,True,True,2096000.0,0,False,,,,25.0,,,5743.34144706671,,,,,,
META.OQ,False,True,True,,,1,70697000000,True,False,True,True,True,False,False,False,100.0,False,False,True,True,True,False,9,,,,True,False,False,True,True,True,True,False,True,1.0,True,999,1,True,False,112843878.0,27144147.0,False,False,False,True,2291180.0,0,False,,,,28.5714285714286,,,1596.16218509979,,,,,,
PAYC.N,False,True,False,,,1,841434000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,10,,,,True,False,True,True,True,True,True,False,True,0.428571428571429,False,999,3,True,False,238029000.0,211131000.0,True,False,True,True,2039570.0,1,False,,,,0.0,,,282884.932151541,,,,,,
EXPE.OQ,,,,,,1,5199000000,True,False,True,True,True,False,False,False,100.0,True,False,True,True,False,False,7,,,,True,False,False,False,True,True,True,True,False,0.9375,True,999,1,True,False,16776538.0,5882508.0,False,False,False,True,2795310.0,1,False,,,,0.0,,,3226.87786112714,21.0,,,,79.0,21.0
RJF.N,,,,,,1,8023000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,True,False,True,0.733333333333333,True,12,1,True,False,28638563.0,13090394.0,True,False,False,True,2695761.0,1,False,,,,12.5,,,3569.55789604886,,,,,,
CL.N,True,True,True,,,1,15693000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,False,,,True,False,False,False,True,True,,False,True,1.61538461538462,True,999,1,True,False,33582127.0,10828665.0,True,True,False,True,2731112.0,3,False,,,9.09090909090909,25.0,,,2139.94309564774,,,,,,
VICI.N,False,True,True,,,1,894798000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,True,True,True,True,False,False,1.625,True,999,1,True,False,13654132.0,5555658.0,True,False,False,True,1945833.0,,False,,,,25.0,,,15259.4574417913,,,,,,
UNH.N,True,True,True,,,1,242155000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,True,True,True,False,True,0.454545454545454,True,999,1,True,False,76030173.0,18886989.0,True,False,False,True,10557200.0,0,False,,,9.09090909090909,33.3333333333333,,,313.973170077017,,,,,,
ARE.N,,,,,,1,1531296000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,0.625,True,999,1,True,False,51977924.0,11041490.0,True,True,True,True,1972246.0,3,False,,,,13.3333333333333,,,33943.7469960086,,,,,,
GEN.OQ,False,True,True,,,1,2456000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,False,,,True,False,False,False,True,True,,,False,1.1875,True,999,1,True,False,37801892.0,13299795.0,True,False,False,True,4046908.0,0,False,,,7.14285714285714,28.5714285714286,,,15391.6498371336,,,,,,
LLY.N,False,True,False,,,1,22319500000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,True,False,True,1.07142857142857,False,999,3,True,False,49965840.0,21283242.0,True,False,False,True,3937834.0,1,False,,,7.69230769230769,35.7142857142857,,,2238.66305248773,,,,,,
DAY.N,,,,,,1,824100000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,False,False,8,,,,True,False,True,True,True,True,True,,True,1.7,False,999,3,True,False,49292953.0,30180957.0,False,False,False,True,805105.0,0,False,,,12.5,11.1111111111111,,,59814.285887635,,,,,,
GRMN.N,False,False,False,,,1,3757505000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,False,False,True,True,True,True,True,True,True,0.142857142857143,False,999,3,True,False,9650512.0,3233412.0,True,False,True,True,960076.0,0,False,,,,0.0,,,2568.32978266163,,,,,,
PODD.OQ,,,,,,1,738200000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,,False,False,0.9,False,999,3,True,False,19253000.0,5883990.0,True,True,False,True,2221859.0,3,False,,,,25.0,,,26081.0078569493,,,,,,
ISRG.OQ,False,True,True,,,1,4358400000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,,,,True,False,False,True,True,True,True,False,True,0.909090909090909,True,999,1,True,False,19951699.0,6043362.0,True,False,True,True,2972304.0,1,False,,,,28.5714285714286,,,4577.7576633627,,,,,,
AVB.N,False,True,True,,,1,2324626000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,True,False,True,True,False,True,0.727272727272727,True,999,1,True,False,24160474.0,10921362.0,True,False,True,True,2396740.0,1,False,,,,20.0,,,10393.273584654,,,,,,
TPR.N,,,,,,1,6027100000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,True,True,True,True,False,True,0.909090909090909,True,999,1,True,False,27914535.0,12362240.0,True,False,True,True,2259468.0,1,False,,,11.1111111111111,44.4444444444444,,,4631.50354233379,,,,,,
CBRE.N,,,,,,1,23894091000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,False,False,True,True,False,False,1.16666666666667,True,12,1,True,False,40381814.0,13419419.0,True,False,True,True,3059840.0,1,False,,,,17.8571428571429,,,1690.03348986994,,,,,,
CINF.OQ,,,,,,1,7924000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,,,,False,False,False,True,True,True,True,False,True,0.25,True,999,1,True,False,20368755.0,5528654.0,True,True,False,True,2972032.0,3,False,,,,21.4285714285714,,,2570.51426047451,,,,,,
WMB.N,,,,,,1,8201000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,7,False,,,True,False,False,True,True,True,True,False,False,0.666666666666667,True,999,1,True,False,35698223.0,15590339.0,True,False,True,True,3422460.0,,False,,,,10.0,,,4352.91098646507,,,,,,
EA.OQ,True,True,True,,,1,4950000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,5,,,,True,False,False,False,True,True,,False,True,0.909090909090909,True,999,1,True,False,60039801.0,18320071.0,True,False,False,True,2894937.0,,False,,,,18.1818181818182,,,12129.2527272727,,,,,,
TMUS.OQ,False,True,False,,,1,44998000000,True,True,True,False,False,True,True,False,100.0,False,False,True,True,True,False,6,False,,,True,False,False,True,True,True,True,False,False,0.923076923076923,True,999,1,True,False,85493859.0,27756690.0,True,False,False,True,2107479.0,1,False,,,8.33333333333333,10.0,,,1899.94797546558,,,,,,
CB.N,,,,,,1,35994000000,True,True,True,False,False,False,False,True,10.0,False,True,True,True,False,False,8,False,,,True,False,False,True,True,True,True,False,True,0.75,True,999,1,True,False,47129300.0,20328200.0,True,False,True,True,4756200.0,0,False,,,21.4285714285714,0.0,,,1309.36544979719,,,,,,
TXN.OQ,False,True,True,,,1,14383000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,6,False,,,True,False,False,False,True,True,True,False,True,1.7,True,999,1,True,False,42670368.0,18633807.0,True,True,False,True,2802073.0,4,False,,,,28.5714285714286,,,2966.72238058819,,15.7,8.6,4.3,71.4,
MDLZ.OQ,False,True,True,,,1,25868000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,4,,,,True,False,False,,True,True,True,False,True,1.46153846153846,True,15,1,True,False,43704588.0,18115449.0,True,False,False,True,3677860.0,0,False,,,7.69230769230769,20.0,,,1689.52327199629,,,,,,
BRO.N,,,,,,1,2392171000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,3,False,,,False,False,False,False,True,True,True,False,True,0.285714285714286,True,999,1,True,False,14170455.0,5178025.0,True,False,False,True,3221246.0,0,False,,,,11.1111111111111,,,5923.67978710552,,,,,,
BALL.N,,,,,,1,11781000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,False,,,True,False,True,True,True,True,True,False,True,1.27272727272727,False,999,3,True,False,27233100.0,13875900.0,True,True,False,True,2845510.0,4,False,,,,12.5,,,2311.61191749427,,,,,,
PFG.OQ,,,,,,1,14741700000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,10,True,,,True,False,True,True,True,True,True,False,True,1.57142857142857,False,999,3,True,False,33646602.0,15614418.0,True,False,False,True,2912671.0,1,False,,,8.33333333333333,46.1538461538462,,,2282.40989845133,,,,,,
KEYS.N,,,,,,1,4303000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,False,False,8,,,,True,False,True,True,True,True,,,False,0.888888888888889,False,999,3,True,False,24210219.0,11124216.0,True,False,False,True,2542076.0,,False,,,,9.09090909090909,,,5626.3581222403,,,,,,
PCG.N,,,,,,1,17129000000,True,True,True,False,False,True,True,False,100.0,False,True,True,True,True,False,4,False,,,True,False,False,False,True,True,True,False,False,0.64,True,999,1,True,False,27316500.0,18529800.0,True,False,False,True,,1,False,,,,31.25,True,,1594.75159086929,,,,,,
