Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
FRES.L,B-,C+,54.8215716055158,47.513878586263,40.2061855670103,B+,C+,C,74.066764633874,46.0665218943651,38.9245832514127,C,C+,D-,A-,B,A-,B+,B-,D-,B+,41.395793499044,44.5179584120983,0.0,82.5663716814159,64.6103896103896,82.0353982300885,71.1089494163424,52.2445820433437,6.57894736842105,74.4075829383886
AAF.L,B,B,64.6166035870146,64.6166035870146,100.0,B,B,B,66.2321062647029,64.6283604123325,60.375207244966,B-,B+,B-,A-,A,B+,C,A-,D-,A,51.5706806282723,71.608040201005,57.6,77.122641509434,83.7142857142857,70.9905660377358,39.6551724137931,78.2574568288854,5.10204081632653,85.7723577235772
HWDN.L,C+,C+,49.7994109627237,49.7994109627237,100.0,C+,B-,B-,46.0993395608739,54.0912815407589,50.9570324639002,C+,B-,B-,C+,A,D-,D+,C+,A+,C,43.3544303797468,51.8181818181818,55.3191489361702,47.0414201183432,90.4929577464789,2.66272189349112,17.4698795180723,45.1334379905808,92.8571428571429,40.7317073170732
SGRO.L,B+,B+,72.8959545206787,72.8959545206787,100.0,A-,B+,B+,79.4837167156639,69.6335288085468,70.3907393646371,B+,B+,A-,A+,A,B,A-,B+,C+,A-,67.7718832891247,71.1586901763224,77.9863481228669,95.6683168316832,83.6601307189543,65.9653465346535,75.4452926208651,74.0712074303406,47.4458204334365,80.7266982622433
SJP.L,B,B,60.5910497904601,60.5910497904601,100.0,C,A-,C+,41.2634140084104,81.7169149085525,44.5752149314773,A-,B,D+,B,B,D+,C+,A+,C+,B+,81.3311688311688,59.7859327217125,23.7885462555066,58.9238845144357,61.0894941634241,22.4409448818898,42.6300578034682,95.2119309262166,43.4065934065934,71.7073170731707
TW.L,B+,C,73.0583216943546,41.0746153926318,9.09090909090909,A-,A-,B,79.6165381550745,80.5162665441411,59.4179494085231,A+,A,D,A,A,B+,B+,A-,A+,B,95.8860759493671,91.2121212121212,15.2482269503546,83.7278106508876,90.4929577464789,68.9349112426035,68.3734939759036,79.8273155416013,95.839874411303,60.9756097560976
AHT.L,B+,B+,72.0454398739831,72.0454398739831,100.0,A-,A-,C+,79.5705140265836,78.6733630287637,48.8407317552644,B,C+,C,A-,A+,B,A-,A-,A,A,62.2923588039867,42.2600619195046,38.5826771653543,79.9715909090909,91.8965517241379,66.3352272727273,76.9565217391304,75.5886970172684,84.2229199372057,85.7723577235772
HLMA.L,B-,B-,57.3838791024426,57.3838791024426,100.0,B+,B+,C,67.0769858360774,67.5920664701153,41.4538383364603,C,B-,C-,A-,B-,B,A-,B+,A-,C,35.3125,58.2317073170732,30.0,75.8720930232558,57.0469798657718,64.8255813953488,79.0909090909091,69.6232339089482,78.7284144427002,40.7317073170732
III.L,B+,B+,71.8446455894407,71.8446455894407,100.0,B,B+,A,64.2069865185331,73.4144214283587,88.1106553630096,A+,A,A,A,A,B-,C+,B+,B,A+,96.2662337662338,85.4740061162079,85.9030837004405,89.8950131233596,88.715953307393,50.262467191601,42.6300578034682,71.1930926216641,64.9921507064364,97.1544715447155
HIK.L,B+,C+,71.8517784562505,48.5632518654879,25.2747252747253,B+,A+,C+,69.1187058541569,96.3547459392837,44.0083116609264,B,C,D-,B,B+,B+,B+,A+,A,A+,64.7865853658537,35.5907780979827,0.0,60.250569476082,74.8214285714286,73.006833712984,67.3255813953488,98.9938080495356,89.5510835913313,93.3649289099526
