Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
SJP.L,B,B,60.5910497904601,60.5910497904601,100.0,C,A-,C+,41.2634140084104,81.7169149085525,44.5752149314773,A-,B,D+,B,B,D+,C+,A+,C+,B+,81.3311688311688,59.7859327217125,23.7885462555066,58.9238845144357,61.0894941634241,22.4409448818898,42.6300578034682,95.2119309262166,43.4065934065934,71.7073170731707
TW.L,B+,C,73.0583216943546,41.0746153926318,9.09090909090909,A-,A-,B,79.6165381550745,80.5162665441411,59.4179494085231,A+,A,D,A,A,B+,B+,A-,A+,B,95.8860759493671,91.2121212121212,15.2482269503546,83.7278106508876,90.4929577464789,68.9349112426035,68.3734939759036,79.8273155416013,95.839874411303,60.9756097560976
AHT.L,B+,B+,72.0454398739831,72.0454398739831,100.0,A-,A-,C+,79.5705140265836,78.6733630287637,48.8407317552644,B,C+,C,A-,A+,B,A-,A-,A,A,62.2923588039867,42.2600619195046,38.5826771653543,79.9715909090909,91.8965517241379,66.3352272727273,76.9565217391304,75.5886970172684,84.2229199372057,85.7723577235772
HLMA.L,B-,B-,57.0533699640087,57.0533699640087,100.0,B,B+,C+,58.6910854078484,69.507268775973,46.108684931093,C,B+,C-,B,B-,C+,A-,B+,A-,C+,35.9872611464968,70.8588957055215,30.6603773584906,62.7167630057804,57.1428571428571,47.6878612716763,81.5151515151515,70.6656346749226,83.1269349845201,43.2859399684044
III.L,B+,B+,69.0105620591464,69.0105620591464,100.0,B,B+,A,62.1751076396782,68.6200330302571,89.5528638546881,A+,A+,A,A,A,C+,C+,B,B+,A+,96.2903225806452,92.1779141104295,85.8078602620087,87.2093023255814,88.6973180076628,47.4160206718346,42.3512747875354,62.3065015479876,70.5882352941177,97.2353870458136
HIK.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNA.L,A-,C,78.4563945387287,41.0139115550786,3.57142857142857,A-,A-,A-,78.9780676876537,78.1171650649003,78.2294489611563,A,A,B-,A,A,B-,A-,B+,A,A-,85.5555555555556,90.0,57.3170731707317,90.0,86.25,56.6666666666667,78.0487804878049,73.3908948194662,90.5023547880691,83.1707317073171
MNG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKGH.L,B,B-,63.9454253442783,54.6999853994119,45.4545454545455,B-,B+,B+,52.4597986771478,74.4880090873122,69.6773981920763,A+,A,C,B+,C+,A-,D+,A,C+,B,94.620253164557,89.3939393939394,40.7801418439716,74.8520710059172,44.0140845070423,76.3313609467456,17.4698795180723,86.4207221350079,43.7205651491366,60.9756097560976
NG.L,B+,B+,69.8185033375075,69.8185033375075,100.0,B+,A,B-,74.3377765173001,90.5652722550731,54.6938401105068,B-,A,D+,B+,A,A-,B-,A+,B+,A+,51.1363636363636,87.5,21.7948717948718,71.5909090909091,85.0,80.6818181818182,54.8780487804878,96.2074303405573,69.8916408668731,93.3649289099526
RKT.L,A,C+,88.8616312402789,45.4308156201394,2.0,A+,A-,A,92.2447553245922,82.6432932147218,88.5016724352268,A+,A-,A+,A-,A,A+,A+,A+,C+,A+,96.1538461538462,76.063829787234,95.0819672131148,82.3232323232323,89.5348837209302,97.4747474747475,98.4536082474227,91.7582417582417,45.1334379905808,93.3333333333333
WEIR.L,B+,B+,68.5910608713221,68.5910608713221,100.0,B,A-,B,64.979949752351,80.6428252351597,62.493397161074,C,D+,A+,B-,A-,B,B+,A-,A+,C,40.88,19.3729903536978,92.0192307692307,52.5,75.0434782608696,59.0151515151515,69.1290824261275,83.1240188383046,98.9795918367347,40.7317073170732
IMI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRON.L,B+,B+,74.6504570081822,74.6504570081822,100.0,A,B,B,88.1727660050269,65.3785656851859,62.2981618787068,A+,A,D+,A,A-,A+,A+,B,A+,C,91.9811320754717,83.9130434782609,18.4210526315789,85.0806451612903,80.6930693069307,97.9838709677419,93.801652892562,61.6169544740973,94.3485086342229,40.7317073170732
HSX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPG.L,A-,A-,75.4316647795047,75.4316647795047,77.9220779220779,A-,B+,A-,80.1807378458581,67.3858066053188,76.4563854180113,B,A,A,B+,A+,B+,A,A-,D,A+,66.6051660516605,84.6830985915493,91.1290322580645,73.6245954692557,93.5344827586207,69.4174757281553,83.5034013605442,77.1585557299843,13.5007849293564,99.349593495935
AUTOA.L,B,B,59.4675699978688,59.4675699978688,100.0,C,B+,B,41.6413588163942,73.1894006459323,64.8959628955932,B+,A,B-,A+,C,C-,C-,A-,C+,B,68.361153262519,84.6866096866097,52.4017467248908,93.9553990610329,36.3934426229508,26.5845070422535,32.9341317365269,82.5851393188855,48.2198142414861,63.6650868878357
AV.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGE.L,A-,B-,76.350958410316,52.3421458718247,28.3333333333333,A,B,B+,84.0318100134948,63.9515088086517,74.9136391864617,A-,A+,D-,A+,B,A,A+,B,B-,A+,80.9734513274336,93.4210526315789,0.0,96.9827586206897,61.1650485436893,90.0862068965517,96.9298245614035,60.5180533751962,55.8084772370487,93.3333333333333
GAW.L,C,C,41.1639547997049,41.1639547997049,100.0,C-,B,C-,27.6348157006505,65.1640183277814,26.7509881422925,B-,C+,D-,B-,D+,D,C,B,A+,C,51.0869565217391,47.0,0.0,50.8928571428571,20.4081632653061,9.82142857142857,33.6363636363636,60.0470957613815,98.5086342229199,40.7317073170732
INF.L,B+,B+,74.5325800653127,74.5325800653127,100.0,A-,B+,A-,77.8575572638582,68.8033847685415,76.647741952244,A+,A,C,A+,A-,A+,C-,B+,B,A-,98.1727574750831,84.6749226006192,38.5826771653543,95.3125,82.2413793103448,95.5965909090909,25.0724637681159,67.7394034536892,65.6985871271586,78.780487804878
UU.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSHP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLN.L,B-,B-,56.2608173043503,56.2608173043503,100.0,B-,B+,C,54.5947261434867,70.8065585208442,39.8210074808912,C+,C+,D-,B+,B-,A,D,B+,C+,A+,46.9230769230769,45.203488372093,0.0,69.2941176470588,51.9503546099291,83.6470588235294,9.32203389830508,74.3328100470958,44.0345368916798,93.3333333333333
WTB.L,A-,A-,76.5464600762915,76.5464600762915,100.0,A-,B,A,79.0606991596996,66.5427882222307,83.471252552901,A+,A-,D-,A-,B+,A-,A,B-,A+,A-,96.4944649446495,83.2746478873239,0.0,77.5080906148867,71.3362068965517,78.6407766990291,83.5034013605442,55.0235478806907,96.7817896389325,78.780487804878
