Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
ARE.N,A-,A-,75.4578616680205,75.4578616680205,100.0,A-,A-,B+,77.9973425706221,76.2736314616341,72.7149529280677,C+,A+,A-,B-,D+,A+,A+,A,C,B+,47.0491803278689,97.6923076923077,81.712962962963,56.9672131147541,17.5609756097561,99.0437158469945,94.5266272189349,87.9039565086077,41.6037450921172,70.1268357810414
GEN.OQ,B+,B+,73.1254705352129,73.0381451036721,72.9508196721311,A-,B+,B+,76.7429202733735,69.4655217997969,74.9418791085457,A+,A+,B-,A-,A+,A+,C,B-,A+,A,92.5505050505051,92.8571428571429,52.7777777777778,77.8676470588235,96.5083798882682,99.4852941176471,34.2592592592593,56.8559347629115,98.1727574750831,89.452603471295
LLY.N,B+,B+,68.8152204997369,68.8152204997369,93.0,A,C-,A,87.0215776712152,28.6726676207224,86.4527162504564,A+,A-,B,A+,B,A+,A+,D+,C-,A-,97.0046082949309,82.4675324675325,63.2352941176471,97.7393617021277,63.8888888888889,97.4734042553192,97.316384180791,17.6834793113863,31.2141347025068,79.8064085447263
DAY.N,C+,C+,46.9433111420591,46.9433111420591,100.0,B+,C,D+,71.489811605145,33.5945884152796,20.981505939133,C,C,D-,A,B,A+,C,C-,C,C,38.0050505050505,37.409200968523,0.0,90.9558823529412,58.5195530726257,95.2205882352941,34.2592592592593,31.6973723950468,37.5264270613108,37.1829105473965
GRMN.N,B,C,63.9906723361089,39.4953361680544,15.0,B,B+,C+,65.374531835206,71.0114942528736,49.1860161022174,B+,C,C,B,B+,A-,B-,A,B-,D,75.0,36.5671641791045,39.3617021276596,60.5555555555556,72.2222222222222,79.4444444444444,51.875,87.9310344827586,51.4778325123153,15.7142857142857
PODD.OQ,B+,B+,72.6622121712868,72.6622121712868,80.4347826086956,B+,A,B-,67.8306399147197,87.8693225922089,53.7074829931973,B,B-,C+,A-,D+,A,A,A+,B+,B+,59.2261904761905,53.0,50.0,81.0104529616725,18.4049079754601,85.191637630662,86.3138686131387,95.5753548776805,74.0108728480822,70.1268357810414
ISRG.OQ,B,B,60.3492555470066,60.3492555470066,100.0,C+,A,B-,44.861990854342,85.1539661067329,50.8925154447543,B+,A,D-,A-,C-,A-,D,A+,A-,C,71.3930348258706,85.3846153846154,0.0,76.6881028938907,27.6041666666667,76.0450160771704,13.3663366336634,95.453233256351,83.1841801385681,36.612309310889
AVB.N,A-,A-,75.6096114654247,75.6096114654247,100.0,A-,A,B,79.5900981367196,87.9270740127076,61.848442389426,B-,B,A-,A,A,A+,C,A,A+,A,53.2786885245902,65.6923076923077,81.712962962963,85.9289617486339,90.4878048780488,97.1311475409836,40.9763313609467,86.9978858350951,93.1893687707641,84.6795727636849
TPR.N,B+,B+,67.958982945987,67.958982945987,100.0,A-,B-,B+,77.0546261245212,56.4397538272783,70.7849007866619,A+,A+,D-,A-,B,A+,B,B-,B-,A-,95.5882352941177,97.3053892215569,0.0,78.2110091743119,63.125,99.7706422018349,60.6796116504854,52.5672002416188,53.5034732709151,80.2069425901202
CBRE.N,A,A,84.5957035913445,84.5957035913445,100.0,A,A,A-,84.3552673116422,90.8655562361278,78.3832490357128,B+,A-,A+,A-,A+,A+,B+,A,A+,A+,68.9830508474576,75.2459016393443,98.0851063829787,77.8532608695652,93.6123348017621,96.0597826086956,70.2194357366771,87.4811235276351,99.3506493506494,95.0600801068091
CINF.OQ,B-,B-,53.18971084374,53.18971084374,97.5609756097561,B-,B,D+,52.2262939859135,65.0916185169608,20.8559468264697,C+,C+,D-,B+,D-,A-,C,A-,C,C,48.4210526315789,45.7746478873239,3.36134453781513,72.1789883268482,0.0,76.0700389105058,34.156378600823,79.3868921775899,36.046511627907,37.1829105473965
