Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
POOL.OQ,C+,C+,49.7099436062304,49.7099436062304,100.0,C,A,D,33.7846915233666,83.9540030792918,16.3986869923223,D+,C+,D-,C+,C,B-,D,A+,A,D-,17.1052631578947,43.0232558139535,0.0,45.9183673469388,38.75,57.1428571428571,14.8936170212766,98.9751732101617,89.8527713625866,0.0
CHRW.OQ,C+,C+,44.3362807486189,44.3362807486189,100.0,B-,C+,C,51.6410631011831,44.7978784513965,36.0381017810263,C+,B,D-,A-,D,B+,D+,C,C+,B,46.9594594594595,60.062893081761,0.0,76.4880952380952,15.702479338843,70.5357142857143,23.5849056603774,40.1125866050808,48.5132794457275,62.6512361914782
AJG.N,B-,B-,52.1916726706307,52.1916726706307,62.8205128205128,C+,B,C-,48.1445136183851,63.9083431839083,31.206717813657,D-,C,C,C+,C-,A-,C-,A-,C+,D,3.77777777777778,39.2276422764228,37.6760563380282,46.0884353741497,26.7015706806283,75.5102040816327,32.8467153284672,79.8643187066975,42.9994226327945,15.4918463966334
CNP.N,C,C,41.1840932485548,41.1840932485548,100.0,C-,A,C-,25.4762839731643,87.4749741738779,27.9750075278531,D,C+,C-,D,D-,C+,C+,A+,B+,A,8.75,45.1219512195122,29.1666666666667,15.8536585365854,2.85714285714286,47.5609756097561,47.4358974358974,91.7292147806005,70.7130484988453,91.3466596528143
AMCR.N,B+,B+,68.5304411570764,68.5304411570764,100.0,B+,B+,B+,67.0646764806418,72.3636363636363,67.6503074220465,A-,B+,C,C,B+,A+,B+,B,A+,A-,77.8409090909091,73.8888888888889,41.3333333333333,35.3260869565217,69.8795180722892,93.4782608695652,71.8390804597701,65.1515151515152,92.4242424242424,78.3333333333333
WM.N,A,A,85.9376871010157,85.9376871010157,100.0,A,A+,B+,90.3090669729431,92.3096009393379,68.8554501054501,A+,A+,D-,A+,A-,A+,A+,A+,A+,A,95.6293706293706,97.275641025641,0.0,95.9383753501401,77.1863117870722,95.9383753501401,97.1976401179941,93.6922632794457,92.3931870669746,85.2709100473435
BA.N,A-,C+,82.053930064423,44.4360559413024,6.81818181818182,A,B+,A,88.6665300876348,72.11792879563,83.3797317516887,A+,A,B+,A+,A+,B+,A-,B,A,A-,92.0212765957447,88.7096774193548,71.5686274509804,98.6111111111111,95.1219512195122,75.0,80.6930693069307,65.6033487297921,90.4301385681293,77.2225144660705
FOX.OQ,A-,B-,75.0138672486716,57.0721510156401,39.1304347826087,A-,A-,C+,79.5958224842693,77.9631392487551,48.0673280678097,B+,B,D-,A-,A,A,B+,A,A-,C,72.7011494252874,65.6424581005587,0.0,76.7699115044248,84.4,87.6106194690265,71.9512195121951,86.2025669642857,78.3063616071429,36.2511671335201
TKO.N,D+,D+,19.9179647014333,19.9179647014333,100.0,C,D,D-,33.6752160963449,8.44357193194403,0.0,D-,D-,D-,D+,D-,B+,C,D-,C-,D-,0.0,0.0,0.0,20.9239130434783,0.0,69.0217391304348,36.7647058823529,2.88432497734823,32.6034430685593,0.0
WY.N,A-,B,82.2849679369611,66.1424839684805,50.0,B+,A+,A-,73.7773555652426,94.306291092826,78.8275789977456,A-,A,B,B+,A,A+,C,A+,A+,A+,79.3333333333333,83.5427135678392,59.1228070175439,73.1143552311436,86.6666666666667,95.4987834549878,38.2731958762887,92.1735491071429,99.4559151785714,97.2455648926237
