Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
HSBA.L,0,0,0,0,1,,,,,,,,0.038480767648033,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,366000.0,,False,,,,0.615384615384615,,,,True,,No,,True,1,,,,,,,True,,,True,True,,,,False
CTEC.L,0,0,0,1,1,,,,,,,,2.68579216629983,,,,0,0,0,1,0,0,1,,,,,,,0.830783108574529,,,,,,,Reported,,,,False,2.82653799758745,13080.0,,,,,,,,37605.0,,False,,,,0.673017214066955,,,5858.0,False,,ISO 14000,,False,0,,,,,,,True,,,False,False,,,,False
WPP.L,0,0,0,1,1,,,,,,,,0.110539682018657,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,68059.0,,False,,,,0.6,,,,True,,No,,True,,,,,,,,False,,,False,True,,,,False
FRES.L,,,,,1,,,,,,,,16745.7072706696,,,,,,,,,,1,,,,,,,1364.07377284526,,,,,,,Reported,,,0,False,5257.24427509156,160245141.0,,,,,,,,896397.0,,False,,,,,,,14210857.0,False,,ISO 14000,62.5,False,0,260307000,0,,,,0.0,False,,,False,True,,,,False
AAF.L,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Median,,,,False,,,,,,,,,,87283.2,,False,,,,,,,,True,,No,,False,0,,,,,,,True,,,False,True,,,,False
HWDN.L,0,0,0,0,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,54755.0,,False,,,,,,,,False,,ISO 14000,100.0,False,0,,,,,,,False,,,False,False,,,,False
SGRO.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,4137.0,,False,,,,,,,,False,,No,,False,0,,0,,,,0.0,False,,,False,True,,,,False
SJP.L,0,0,0,0,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,2182.0,,False,,,,,,,,False,,No,,False,0,,,,,,,False,,,False,False,,,,False
TW.L,0,0,0,1,0,,,,,,,,18.9771652006982,,,,1,1,0,1,1,0,0,,,,,,,0.000432759315513,,,,,,,Reported,,,0,False,0.000362837031955,85070.06,,,,,,,,20254.0,,False,,,,0.98,,,1.94,False,,No,,True,0,,,,,,,False,,,False,True,,,,False
AHT.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,329820.0,,False,,,,,,,,False,,No,,False,0,,,,,,,False,,,False,False,,,,False
HLMA.L,0,0,0,1,1,,,,,,,,0.354625503318648,,,,0,0,0,0,1,0,1,,,,,,,0.004630583285989,,,,,,,Reported,,,0,False,0.033033321405001,4535.0,,,,,,,,14821.0,,False,,,,0.332535364526659,,,60.0,False,,ISO 14000,20.0,True,0,,,,,,,False,,,False,True,,,,False
III.L,,,,,1,,,,,,,,0.002696848127194,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,377.0,,False,,,,0.477973568281938,,,,True,,No,,True,0,,,,,,,False,,,False,True,,,,False
HIK.L,,,,,1,,,,,,,,1.1383139590764,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,127750.0,,False,,,,,,,,False,,ISO 14000,,False,0,,,,,,,False,,,False,False,,,,False
CNA.L,0,0,0,1,1,,,,,,,,1.56316919950258,,,0.005772164977292,1,0,1,0,1,0,1,,,,,,,0.443787466732377,,0.112348080644973,,,,,Reported,0.0,1343,0,False,0.130373838515631,13381.0,,,,,,,,2022700.0,,False,69,,,,,,5305.0,False,,ISO 14000,88.0,True,0,,0,,0.033005101814607,0.0,0.0,False,,,False,True,0.0,0.001695720048554,,False
MNG.L,,,,,1,,,,,,,,0.007200057974935,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,5931.0,,False,,,,0.66,,,,False,,ISO 14000,,True,1,,0,,,,,False,,,True,True,,,,False
BKGH.L,1,0,0,1,1,,,,,,,,112.135647815948,,,,0,0,1,1,1,0,1,,,,,,,0.865694775395756,,,,,,,Reported,,,0,False,1.92060713545698,728651.0,,,,,,,,7832.0,,False,,,,0.9,,,5669.0,False,,No,,False,0,,0,,,,0.0,True,,,False,True,,,,False
NG.L,1,1,0,1,1,,,,,,,,2.016217958666,,,0.001512304148455,1,0,1,0,1,0,0,,,,,,,0.306903955832619,,0.025955359571161,,,,,Reported,,2214,0,False,1.39035504454604,145805.0,,,,,,,,6943000.0,,False,129,,,0.79393,,,26179.0,True,,Both,,False,1,1713000000,0,,0.117584555125288,,0.0,True,,167000000,True,True,,0.006851132615701,,False
RKT.L,0,1,0,1,1,,,,,,,,1.28022333046491,0.033259410234759,,,0,0,0,1,1,0,1,,,,,,,0.212490676499846,,,,,,,Reported,,,0,False,0.736682205608907,64720.0,,,0.115306780008351,,,,,363435.0,,False,,,,0.661146907216495,,,12880.0,False,,ISO 14000,,False,1,65000000,0,,,,0.0,True,,,True,False,,,,False
WEIR.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,1,0,1,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,172833.0,,False,,,,,,,,False,,ISO 14000,74.0,False,0,,0,,,,0.0,False,,,False,False,,,,False
IMI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,44130.0,,False,,,,,,,,False,,ISO 14000,44.0,True,0,,,,,,,False,,,False,False,,,,False
MRON.L,0,0,0,1,1,,,,,,,,7.30774681375046,,,,0,0,1,0,0,0,1,,,,,,,2.55162231896817,,,,,,,Reported,,,0,False,4.93696042747215,32884.0,,,,,,,,775034.0,,False,,,,0.703637731069152,,,17642.0,False,,ISO 14000,77.0,True,0,119000000,,,,,,False,,,False,False,,,,False
HSX.L,0,0,0,0,1,,,,,,,,0.007040879938459,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,2181.0,,False,,,,,,,,False,,No,,True,0,,,,,,,False,,,False,True,,,,False
CPG.L,0,0,0,1,1,,,,,,,,,,,,0,0,1,1,1,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,184792.0,,False,,,,,,,,False,,ISO 14000,71.0,False,0,50000000,,,,,,False,,,False,True,,,,False
AUTOA.L,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,336.0,,False,,,,,,,,False,,No,,True,,,,,,,,True,,,False,False,,,,False
AV.L,,,,,,,,,,,,,0.028122455448673,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,20023.0,,False,,,,0.64,,,,False,,No,,True,1,,,,,,,False,,6500000000,True,True,,,,False
ENT.L,,,,,1,,,,,,,,0.229063306370389,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,28430.0,,False,,,,0.569,,,,False,,ISO 14000,,False,1,,,,,,,True,,,True,False,,,,False
DGE.L,0,0,0,1,1,,,,,,,,8.18634585823295,0.238272090002417,0.009026088180037,0.003102977779865,0,0,1,1,0,0,1,,,,,,,0.021953775766929,,0.005224316476556,,,,,Reported,1085.0,628,,False,0.140276758230163,981418.0,,,1.52247325093912,,,,,674000.0,,True,373,,,0.999829278182057,,,2639.0,False,,No,,False,1,,1215253,,0.033381509726617,,78.6469712658556,True,,18000000,True,True,0.057673468237866,0.019826915808962,,False
GAW.L,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,4649.0,,False,,,,,,,,False,,No,,False,0,,,,,,,False,,,False,False,,,,False
INF.L,0,0,0,0,0,,,,,,,,0.057206507157919,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,6441.0,,False,,,,0.521072796934866,,,,False,,No,,False,1,,,,,,,True,,,True,True,,,,False
UU.L,,,,,,,,,,,,,41.7350519207105,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,291693.0,,False,,,,0.98,,,,False,,ISO 14000,,False,1,,0,,,,0.0,True,,,True,True,,,,False
PSHP.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,,False,,,,,,,,,,1741.53,,False,,,,,,,,False,,No,,False,,,,,,,,False,,,False,False,,,,False
HLN.L,0,0,0,1,1,,,,,,,,0.0007015173675,,,0.000121580133016,0,0,0,0,0,0,1,,,,,,,0.000138803985193,,0.002208705749783,,,,,Reported,,109,0,False,0.000521510495996,27.77,,,,,,,,196000.0,,False,6,,,0.539283651068746,,,6.85,False,,No,,False,0,,,,0.008298488184468,0.0,,False,,,False,False,,0.000456797514741,,False
WTB.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,1,1,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,137384.0,,False,,,,,,,,False,,No,,False,1,146000000,,,,,,False,,404000000,True,True,,,,False
PRU.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,0,1,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,21525.0,,False,,,,,,,,False,,No,,False,0,,0,,,,,False,,,False,True,,,,False
MKS.L,,,,,,,,,,,,,6.06709472388332,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,298000.0,,False,,,,1.0,,,,False,,No,,False,0,,,,,,,True,,,False,True,,,,False
IMB.L,0,0,0,1,1,,,,,,,,,,,,0,0,1,1,0,0,1,,,,,,,,,,,,,,Reported,,,,False,,,,,,,,,,222243.0,,False,,,,,,,,False,,ISO 14000,83.0,False,0,,0,,,,0.0,True,,,False,True,,,,False
EXPN.L,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,Reported,,,0,False,,,,,,,,,,24400.0,,False,,,,,,,,False,,ISO 14000,,True,0,,,,,,,False,,,False,True,,,,False
