Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
ABBV.N,False,False,False,True,False,True,False,False,False,,50000,,False,True,True,True,True,True,True,True,False,True,True,True,False,True,,,,0.0,52000,24.0,10.0,0.198,99,False,False,56.0,,52.0,100,True,True,2.0,,0.9,0.9,,,94.0,,,,0,0,,0.25,,,,,,True,,,,,False,True,True,False,,,,,,,True,,,8.0,2.0,,,38.0,18.0,7.0,9.0,62.0,4.0,38.0,23.0,5.0,6.0,62.0,4.0,100.0
STLD.OQ,,,,,,,,,,,10640,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,301.560471102339,,10.5454545454545,,6.0,,0.0,,False,False,11.0,,,55,False,False,,,11.36364,,,11.36364,,,225.0,0.0,0,,0.000625263157895,,,3.05,,1663.2,,False,,,,,False,True,False,False,,,,,,,False,,,,,,,29.0,,,,71.0,29.0,,,,,,,
MA.N,False,False,False,False,False,True,False,False,False,,24000,,False,True,True,True,True,True,True,True,False,False,False,False,False,False,87.7,92.8664736021386,,14.2857142857143,24000,,13.0,0.0,,False,False,39.0,41.0,36.0,100,True,True,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,True,,93.0,11.0,2.0,,,42.0,23.0,6.0,8.0,58.0,5.0,37.0,,,,,,92.6
XOM.N,False,True,False,False,False,True,True,False,True,,62000,,True,True,True,True,True,True,True,True,False,True,True,True,False,True,,,,-1.58730158730159,62000,,,0.0,,False,True,28.0,38.0,,85,True,False,,,0.8,0.8,0.9,0.6,,,74.0,,0,3,,0.1,0.1,0.15,,,,True,,,31000000.0,500.0,False,True,True,True,3,,2,,,,False,,,,,,,,,,,,,,,,,,,
SWK.N,,,,,,,,,,,53100,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,,,,-10.663212086544,,,,0.0,,False,False,31.0,,,100,False,False,,,3.5,3.5,,3.5,547.0,,547.0,,,,0.000435781544256,1.1,,1.1,5785.0,5785.0,,False,,,,,False,True,False,False,,,,,,,True,,,,,,,33.0,,,,,,,,,,,,
SWK.N,,,,,,,,,,,71300,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,,,,34.2749529190207,71300,2.10379,,0.0,,False,False,33.0,37.0,,100,True,True,,,4.25,4.25,,4.25,726.0,,726.0,,0,,0.000257223001403,1.35,,1.35,4585.0,4585.0,,False,,,,,False,True,False,False,,,,,,,True,,,,,,,34.0,,,,,,,,,,,,
FICO.N,,,,,,,,,,,3650,,False,True,True,False,True,True,True,True,False,False,False,False,False,False,,,,-8.81838621034224,,0.0,,0.0,,False,False,,,,,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
HRL.N,,,,,,,,,,,20000,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,,,4.71204188481675,20000,20.0,,0.0,,False,False,38.0,,,95,True,False,,,11.5,11.5,,11.5,460.0,,460.0,,0,,2.4e-05,7.0,,7.0,120.0,120.0,,False,38.0,713000.0,,,True,True,False,False,,,,,,,True,,,,,,,57.0,14.0,27.0,50.0,4.0,5.0,20.0,,,,,,
INTC.OQ,False,False,False,True,True,True,False,True,False,,121100,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,9.49367088607596,121100,,5.6,0.0,,True,False,27.7,,18.6,100,True,True,,555000.0,4.64905,4.64905,,4.65,1126.0,,1126.0,,1,,,1.0,,1.0,,,,False,12.0,1500000.0,,,False,True,True,False,,,,,,,True,,100.0,5.6,,100.0,,55.9,36.3,4.9,9.3,44.1,5.4,46.8,36.2,2.5,4.5,53.2,3.6,100.0
TRMB.OQ,,,,,,,,,,,11931,,False,True,True,True,True,True,True,True,True,False,True,False,False,False,83.0,,,4.63953692334678,11815,,9.5,0.0,,False,False,29.0,34.9,24.2,,True,False,,,1.5,1.5,,,35.0,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,True,,,9.5,,,,23.1,11.7,4.2,4.7,76.9,2.5,18.0,9.5,3.2,4.1,82.0,1.2,
