Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
POOL.OQ,,,,,,,,,,,4500,,False,True,True,False,True,True,True,True,False,False,False,False,False,False,,,,12.5,,,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,15427,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,60.1851259703295,,1.08111649849298,15327,,20.0,0.0,,False,False,46.0,47.0,39.0,20,False,False,2.0,,0.95,0.95,,,20.0,,,0.65244,0,0,2.59285668e-06,0.05,,,10.0,,,False,10.0,153270.0,,,True,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,33300,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,89.3512540200629,,9.53947368421053,33000,,,0.0,,False,False,60.0,,47.0,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,14262,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,78.7890184279805,9429,37.0,12.0,0.0,,False,False,25.0,33.0,9.9,20,True,False,,,8.5,8.5,,8.5,154.0,,154.0,,1,,,3.1,,3.1,,,,False,12.661,119383.5,,,False,True,False,False,,,,,,,False,,,7.0,5.0,,,,,,,,,,,,,,,
AMCR.N,,,,,,,,,,,47000,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-6.00000000000001,45223,42.0,12.7,0.0,,False,False,20.0,23.86,32.0,,False,False,,,3.112,3.112,1.502,2.81,298.0,8,290.0,,0,,,0.961,0.0,0.88,,,0.0,False,18.7,845670.1,,,False,True,False,False,,,,,,,False,,,,,23.913,,,,,,,,,,,,,,
WM.N,,,,,,,,,,,44900,,False,True,True,True,True,True,True,True,True,True,True,False,True,True,,130.54161989192,,2.74599542334095,44900,19.15367,21.8,0.0,,False,False,18.0,,20.0,90,False,True,,,14.0,14.0,,14.0,1257.0,,1257.0,,,,,11.0,,11.0,,,,False,30.0,492770.0,26940000.0,600.0,False,True,True,False,,,,,,,False,,100.0,15.2,6.6,,,,,,,,,,,,,,,
BA.N,False,False,False,False,False,False,True,True,False,,161100,,True,True,True,False,True,True,True,True,False,True,True,False,False,True,,,,5.29411764705883,,35.0,,0.0,,False,False,,,,90,False,True,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,True,True,1,,1,,,,True,,,,,,,,,,,,,,,,,,,
FOX.OQ,,,,,,,,,,,9000,,True,True,True,False,True,True,True,True,False,True,True,False,False,False,,,,16.8831168831169,9000,,,0.0,,False,False,40.16835,45.0,47.0,100,True,True,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,True,,,,,,,33.68,8.22,10.17,12.05,66.32,3.24,29.3,10.11,5.89,10.32,70.65,3.03,
TKO.N,,,,,,,,,,,915,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,7.64705882352941,,0.0,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
WY.N,,,,,,,,,,,9372,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-0.297872340425531,9372,26.0,13.7,0.0,,False,False,18.0,,,95,True,False,2.73154,,7.8,7.8,,,,,,,0,1,0.00332138284251,3.96,,,7782.0,,,False,3.35211,31416.0,,,True,True,False,False,,,,,,,True,,,6.5,7.2,,11.0,25.0,1.0,16.0,4.0,75.0,4.0,12.52,1.36,5.46,3.36,87.48,2.34,
MCD.N,False,True,False,True,False,True,True,True,True,,205000,,True,True,True,True,True,True,True,True,True,True,False,True,False,False,,1321.41814450525,,-2.38095238095238,,,,0.0,,True,True,58.0,,68.0,100,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,True,5,4,2,,,,True,,,,,,,,,,,,,,,,,,,
HD.N,False,False,False,True,True,True,True,True,True,,413000,,True,True,True,True,True,True,True,True,False,True,True,False,False,False,,,,0.0,400000,,,0.0,,False,False,38.0,,30.0,90,False,True,,,22.4,22.4,,22.4,17920.0,,17920.0,,,,,4.35,,4.35,,,,False,15.0,6000000.0,,,True,True,False,False,,1,,,,,True,,,,,,,,,,,,,,,,,,,
SPG.N,False,False,False,False,False,False,False,False,False,,3000,1500,False,True,True,False,True,True,True,True,True,False,True,False,False,False,,,,-9.09090909090909,4539,0.0,,0.0,,False,False,51.02445,67.83479,,,True,False,,,,,,,,,,,,,,,,,,,,False,2.02071,9172.0,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,15664,,False,True,True,True,True,True,True,True,True,True,True,False,False,False,,70.9206540749698,,-0.184795768814117,15537,,,0.0,0,False,False,59.429,,36.419,100,False,False,,,,,,,,,,,,,,,,,,,,False,28.0,440219.0,,,True,True,False,False,,,,,,,True,,99.0,,,,,,,,,,,,,,,,,98.0
