Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
POOL.OQ,False,False,False,True,False,True,False,False,False,,6000,,False,True,True,True,True,True,True,True,False,False,True,False,True,False,,,,9.09090909090908,6000,0.0,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,14.67,88000.0,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CHRW.OQ,False,True,False,True,False,True,False,False,False,0.8,17399,,False,True,True,False,True,True,True,True,False,True,True,False,False,False,,106.332753792847,,3.09296675949517,17400,,19.0,0.0,,False,False,48.0,49.0,46.0,75,False,False,2.38,,1.0,1.0,,,23.0,,,0.66092,0,0,3.9542502443e-05,0.95,,,172.0,,,False,29.0,504600.0,,,True,False,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
AJG.N,False,False,False,False,False,False,False,False,False,,44000,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,135.521241130905,,12.8205128205128,,,,0.0,,False,False,58.0,,46.0,100,True,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,,,,,,26.0,,,,,,17.0,,,,,,
CNP.N,True,False,False,False,False,False,False,True,False,,8986,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-4.58696113824591,8988,39.0,17.0,0.0,,False,False,25.0,41.0,22.33,70,True,False,,,7.253,7.253,,7.25334,118.0,,118.0,,1,,,3.85,,3.85,,,,False,15.684,140964.0,,,False,True,False,False,,,,,,,True,,,14.0,3.0,,,40.0,4.0,18.0,16.0,60.0,2.0,,,,,,,
AMCR.N,False,True,False,True,False,True,True,True,False,,41000,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,10.8108108108108,41000,45.0,18.0,0.0,,False,False,22.0,26.0,26.0,,False,False,,,1.49,,,1.49,211.0,67,144.0,,0,,,,,0.46,,,,False,,,,,False,True,False,False,,,,,,,False,,,,,,,27.0,4.0,8.0,12.0,73.0,3.0,,,,,,,
WM.N,False,False,False,True,False,True,False,False,False,,49500,,False,True,True,True,True,True,True,True,True,True,True,False,True,True,,157.870423499032,,2.06185567010309,49317,17.37374,25.3,0.0,,False,False,18.9,,22.2,,False,True,,,15.1,15.1,,15.1,1489.0,,1489.0,,,,,13.0,,13.0,,,,False,30.0,520839.0,28209324.0,569.885333333333,False,True,True,False,,,,,,,True,,93.0,20.0,5.3,,,51.3,1.5,18.2,21.1,48.7,10.5,30.9,2.6,7.8,11.7,69.1,8.8,
BA.N,False,True,False,True,False,True,True,False,True,,156000,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,,,9.85915492957747,156354,31.0,4.1,0.10594567105988,150,False,True,23.05985,25.3,23.7,100,True,True,7.7,,2.51,2.51,,,3172.0,,,,0,,3.0769231e-08,,,,1.2,,,False,33.1,5800000.0,,,True,True,False,True,1,,,,,,True,,91.3,4.1,,,,,15.9,7.1,8.1,64.2,4.1,27.1,,,,,,
FOX.OQ,False,False,False,False,False,False,False,False,False,,10400,,True,True,True,False,True,True,True,True,False,True,True,False,False,False,,,,-1.88679245283019,10000,,,0.0,,False,False,,,,90,True,True,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,True,1,1,,,,,True,,,,,,,36.39,10.05,10.31,12.64,63.61,3.39,33.75,12.72,7.02,10.67,66.25,3.34,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,False,True,True,False,False,True,False,False,False,,9318,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,0.582901554404147,9318,25.40245,19.5,0.0,,False,False,18.0,,,70,True,False,1.58832,,9.45,,,9.45,,,176.0,,2,1,0.003942476926379,4.26,,,9184.0,,,False,5.0,50092.0,,,True,True,False,False,,,,,,,True,,,10.7,5.8,,12.0,25.0,2.0,16.0,5.0,75.0,2.0,,,,,,,
