Instrument,Employee Safety Initiative Participation,Risk Assessment Health and Safety,Safety Performance Monitoring,Communication of Supply Chain Policy,Findings from Supplier Monitoring,Social Supply Chain Policy,Social Supply Policy Integration,Social Supply Risk Assessment,Policy Local Sourcing,Temporary Staff Proportion,Number of Employees,Part Time Employees,UNGC Violation Flag,Health & Safety Policy,Policy Employee Health & Safety,Policy Supply Chain Health & Safety,Training and Development Policy,Policy Skills Training,Policy Career Development,Policy Diversity and Opportunity,Targets Diversity and Opportunity,Employees Health & Safety Team,Health & Safety Training,Supply Chain Health & Safety Training,Supply Chain Health & Safety Improvements,Employees Health & Safety OHSAS 18001,Employee Satisfaction,Salary Gap,Salaries and Wages from CSR reporting,Net Employment Creation,Number of Employees  from CSR reporting,Trade Union Representation,Turnover of Employees,Announced Layoffs To Total Employees,Announced Layoffs,Management Departures,Strikes,Women Employees,New Women Employees,Women Managers,HRC Corporate Equality Index,Flexible Working Hours,Day Care Services,Employees With Disabilities,Employee Health & Safety Training Hours,Injuries To Million Hours,Total Injury Rate Total,Total Injury Rate Contractors,Total Injury Rate Employees,Accidents Total,Contractor Accidents,Employee Accidents,Occupational Diseases,Employee Fatalities,Contractor Fatalities,Lost Days To Total Days,Lost Time Injury Rate Total,Lost Time Injury Rate Contractors,Lost Time Injury Rate Employees,Lost Working Days,Employee Lost Working Days,Contractor Lost Working Days,HIV-AIDS Program,Average Training Hours,Training Hours Total,Training Costs Total,Training Costs Per Employee,Internal Promotion,Management Training,Supplier ESG training,Wages Working Condition Controversies,Wages Working Condition Controversies Count,Diversity and Opportunity Controversies,Employees Health & Safety Controversies,Recent Wages Working Condition Controversies,Recent Diversity Opportunity Controversies,Recent Employee Health & Safety Controversies,Employee Resource Groups,BBBEE Level,Gender Pay Gap Percentage,Voluntary Turnover of Employees,Involuntary Turnover of Employees,OHSMS Certified Percentage,Average Employee Length of Service,Ethnic Minorities Employees Percentage,Asian - Ethnic Minorities Employees Percentage,Black or African American - Ethnic Minorities Employees Percentage,Hispanic or Latino - Ethnic Minorities Employees Percentage,White - Ethnic Minorities Employees Percentage,Other - Ethnic Minorities Employees Percentage,Ethnic Minorities Managers Percentage,Asian - Ethnic Minorities Managers Percentage,Black or African American - Ethnic Minorities Managers Percentage,Hispanic or Latino - Ethnic Minorities Managers Percentage,White - Ethnic Minorities Managers Percentage,Other - Ethnic Minorities Managers Percentage,Ethnic Minorities Salary Gap
POOL.OQ,,,,,,,,,,,4500,,False,True,True,True,True,True,True,True,False,False,True,False,True,False,,,,0.0,,,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,14888,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,65.0766260267591,,-3.49387437609386,14888,,17.0,0.0,,False,False,47.0,47.0,38.0,20,False,False,1.0,,1.1,1.1,,,28.0,,,0.94035,0,0,3.492745836e-06,0.7,,,13.0,,,False,10.0,148880.0,,,True,False,False,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,32401,,False,True,True,False,True,True,True,True,False,False,True,False,False,False,,106.621773338829,,-2.6996996996997,35000,,,0.0,,False,False,59.8,,47.3,100,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,9541,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-33.1019492357313,9541,36.0,9.0,0.0,,False,False,24.0,31.0,21.64,20,True,False,,,6.2,6.2,,6.2,112.0,,112.0,,1,,,3.3,,3.3,,,,False,20.241,193120.0,,,False,True,False,False,,,,,,,False,,,6.0,3.0,,,35.0,,,,,,,,,,,,
AMCR.N,,,,,,,,,,,46000,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,6652.50789473684,,-2.12765957446809,42938,45.0,15.0,0.0,,False,False,21.0,25.0,28.0,,False,False,,,2.49794,2.49794,2.09677,2.5269,230.0,13.0,217.0,,0,,,0.69508,,0.74526,,,,False,19.0,815822.0,,,False,True,False,False,,,,,,,False,,,,,,,,,,,,,,,,,,,
WM.N,,,,,,,,,,,48250,,False,True,True,True,True,True,True,True,True,True,True,False,True,True,,156.99202603208,,7.46102449888641,48250,18.13472,16.6,0.0,,False,False,18.4,,21.0,90,False,True,20.0,,14.0,14.0,,14.0,1351.0,,1351.0,,,,,11.5,,11.5,,,,False,30.0,332578.0,28950000.0,600.0,False,True,True,False,,,,,,,False,,97.0,12.4,4.2,,,41.2,1.5,18.0,20.8,51.5,8.2,20.3,1.8,7.1,11.0,73.6,6.5,
BA.N,False,True,False,False,False,True,True,False,False,,141000,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,,,-12.4767225325885,141000,33.0,,0.0,0,False,False,23.2,22.0,22.2,90,True,True,,,,,,,,,,,0,,,,,,,,,False,,,,,True,True,True,False,,,,,,,True,,,,,,,31.2,,,,,,23.0,,,,,,
FOX.OQ,,,,,,,,,,,9000,,True,True,True,False,True,True,True,True,False,True,True,False,False,False,,,,0.0,9000,,,0.0,,False,False,39.85198,,41.7,100,True,True,,,,,,,,,,,,,,,,,,,,False,,,,,True,True,False,False,,,,,,,True,,,,,,,34.93,9.37,10.02,12.26,65.07,3.28,30.6,11.782,5.596,10.015,69.404,3.203,
TKO.N,,,,,,,,,,,960,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,4.91803278688525,,0.0,,0.0,,False,False,,,,,False,False,,,,,,,,,,,,,,,,,,,,False,,,,,False,False,False,False,,1,,,,,False,,,,,,,,,,,,,,,,,,,
WY.N,,,,,,,,,,,9214,,False,True,True,True,True,True,True,True,False,True,True,False,False,True,,,,-1.68587281263337,9214,26.0,20.4,0.0,,False,,18.0,,19.63,85,True,False,2.15976,,8.8,8.8,,,,,,,0,0,0.003153896244845,4.8,,,7265.0,,,False,3.33579,30736.0,,,True,True,False,False,,,,,,,True,,,12.2,8.2,,11.0,25.0,1.0,15.0,5.0,75.0,4.0,13.19,1.72,5.69,3.54,86.8,2.25,
