Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
POOL.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,169.402439320715,2593468,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1716.88008989952,12986481,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AMCR.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WM.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1061.14526043352,16400000,33000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BA.N,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,2829.58805913839,240000000,0.0,,True,True,False,False,True,,True,True,,5,,7,,,,,,,,,,,,
FOX.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,True,,True,False,,1,,,,,,,,,,,,,,
TKO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
WY.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,703.664365374402,5300000,2375212.1,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
