Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
POOL.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,485.458338208144,3000000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CHRW.OQ,False,False,False,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,163.542427355965,4038946,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
AJG.N,True,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CNP.N,False,False,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,28.3051174766656,263832,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AMCR.N,False,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WM.N,False,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,807.188547060615,15900000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BA.N,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
FOX.OQ,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,True,,True,True,,6,,1,,,,,,,,,,,,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,True,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,807.922856398228,6200000,2212000.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
MCD.N,False,False,False,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,,,539300.0,,True,False,False,False,True,,True,False,,,1,,,,,,,,,,,,,
HD.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,2847000.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
SPG.N,False,False,False,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,548.054246787315,2900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HBAN.OQ,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,2108.40226082162,15294350,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LVS.N,True,False,True,False,True,True,True,False,0,,,True,True,True,True,True,True,False,False,713.459313536444,7400000,9771000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CTRA.N,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,2310987.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ON.OQ,False,False,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AIG.N,False,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,750.100013335111,22500000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AIZ.N,True,True,True,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,333.411783164666,3400000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CARR.N,False,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,True,False,561.082832022212,9700000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EVRG.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1262.99260978649,7400000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMCI.OQ,False,False,False,False,False,False,False,False,,,,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
COST.OQ,False,False,False,False,False,False,True,True,,,,False,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
MCO.N,False,True,False,False,False,False,True,False,0,,,True,True,True,True,True,True,False,False,1152.1580102414,6300000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DIS.N,True,True,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,4516.33181015933,373600000,35500.0,,True,True,False,False,True,,False,True,,,,1,,,,,,,,,,,,
LULU.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,2023.13806326966,12658000,,,True,False,False,False,False,2,False,False,,,,,,,,,,,,,,,,
PAYX.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,407.521319725989,2040500,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WSM.N,False,False,False,False,False,False,False,True,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
AMD.OQ,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,258.660649972459,6104650,36500.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
REG.OQ,False,False,False,False,False,False,True,False,0,,,True,True,True,True,True,True,True,False,650.806359373213,796600,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DHI.N,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,,,36500.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
TTD.OQ,False,False,False,False,False,True,False,False,,,,True,False,True,True,True,True,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TRV.N,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,641.893721900222,23700000,703950.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
