Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
POOL.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,210.059525741363,3404457.0,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AMCR.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WM.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1011.95952161914,15400000.0,20500.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
BA.N,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,3989.36170212766,234000000.0,0.0,,True,True,False,False,True,,True,True,,1,,4,,,,,,,,,,,,
FOX.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,True,,True,True,,1,,1,,,,,,,,,,,,
TKO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
WY.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,578.374669150083,5900000.0,2393000.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
MCD.N,False,False,False,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,1041.24366142921,20000000.0,57960.0,,True,False,False,False,True,,False,False,,1,,,,,,,,,,,,,,
HD.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,2282468.0,,True,True,False,False,True,,False,False,,1,,,,,,,,,,,,,,
SPG.N,False,False,True,False,True,False,True,False,,,,True,True,True,True,True,True,False,False,166.467607291846,767000.0,25000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,2128.85835929387,10250453.0,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
LVS.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1842.22957014643,7800000.0,70087387.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CTRA.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,185000.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
ON.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,69.1857278782112,363571.0,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AIG.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,503.018108651911,22000000.0,144000.0,,True,True,False,False,True,,True,False,,1,1,,,,,,,,,,,,,
AIZ.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,465.544736868172,4700000.0,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CARR.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,401.008249312557,7000000.0,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,1322.91285057191,6500000.0,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SMCI.OQ,,,,,,,,,,,,True,True,True,False,True,True,True,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
COST.OQ,False,False,False,False,False,False,True,True,,,,False,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
MCO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1285.5334202197,6904600.0,230000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DIS.N,True,True,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,5094.20688811403,333100000.0,46250.0,,True,True,False,False,True,,True,True,,1,,2,,,,,,,,,,,,
LULU.OQ,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
PAYX.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WSM.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
AMD.OQ,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,856.898904025402,8365904.0,30600.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
REG.OQ,,,,,,,,,,,,True,True,True,True,True,True,True,False,1442.66489531823,1466000.0,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DHI.N,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,,,26000.0,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
TTD.OQ,,,,,,,,,,,,True,False,True,False,True,True,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TRV.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,771.395117992259,24712414.0,801500.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
