Instrument,Corruption Due Diligence,Corruption Intermediaries Procedures,Corruption Oversight,Corruption Procedures for High Risk Operations,Corruption Risk Assessment,Corruption Training,Principles for Community Investments,Supplier Policy Animal Welfare,Corruption Fines,Lobbying Controversies,Recent Lobbying Controversies,Policy Fair Competition,Policy Bribery and Corruption,Policy Business Ethics,Policy Community Involvement,Improvement Tools Business Ethics,Whistleblower Protection,OECD Guidelines for Multinational Enterprises,Extractive Industries Transparency Initiative,Total Donations To Revenues in million,Donations Total,Political Contributions,Lobbying Contribution Amount,Employee Engagement Voluntary Work,Corporate Responsibility Awards,Product Sales at Discount to Emerging Markets,Diseases of the Developing World,"Bribery, Corruption and Fraud Controversies",Intellectual Property Controversies,Crisis Management Systems,Anti-competition Controversies,Public Health Controversies,Business Ethics Controversies,Tax Fraud Controversies,Anti-Competition Controversies Count,Critical Countries Controversies,Critical Country 1,Critical Country 2,Critical Country 3,Critical Country 4,Critical Country 5,Recent Public Health Controversies,Recent Business Ethics Controversies,Recent Tax Fraud Controversies,Recent Anti-Competition Controversy,Recent Critical Countries Controversies,Recent Intellectual Property Controversies
MOS.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,1213.84757311409,15000000,325229.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WDC.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
VTR.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
IVZ.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ZBRA.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
AMAT.OQ,True,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,594.025061787278,13700000,24600.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
STX.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,1,True,False,,,,,,,,,,,,,,,,
FDS.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,False,False,False,False,True,False,True,False,0,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
DELL.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,575.747086650513,49900000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
VRSN.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,1431.17552237907,1900000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TECH.OQ,True,True,False,False,False,True,False,False,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
NVR.N,,,,,,,,,,,,True,True,True,False,True,True,False,False,,,,,False,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
JBL.N,False,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,True,False,5.97407252524046,200000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
XYZ.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,True,2,True,True,,,,1,,,,,,,,,,,,
LOW.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1674.16319742849,150000000,505700.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
BSX.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,708.277254374159,8420000,220000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
SYY.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
FCX.N,,,,,,,,,,,,True,True,True,True,True,True,False,True,7178.81374480193,164000000,33100.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MAS.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,680.597014925373,5700000,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BEN.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,True,,True,False,,,1,,,,,,,,,,,,,
META.OQ,False,True,True,True,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,20836200.0,,True,False,False,False,True,2,False,True,,7,,39,4,,,,,,,,,,,
PAYC.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1519.75904911076,2090000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EXPE.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RJF.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CL.N,False,False,False,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,2765.05367085701,48170000,0.0,,True,True,True,False,False,,True,False,,,,,,,,,,,,,,,,
VICI.N,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,43.0586193419318,65000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
UNH.N,True,False,False,True,False,False,True,False,,,,True,True,True,True,True,True,False,False,424.204703108864,122000000,,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
ARE.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,851.406002412317,1800000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GEN.OQ,False,False,False,False,True,False,True,False,0,,,True,True,True,True,True,True,False,False,2502.23441787534,6383200,0.0,,True,True,False,False,True,,True,True,,,,1,,,,,,,,,,,,
LLY.N,True,True,False,False,True,True,True,True,,,,False,True,True,True,True,True,False,False,110546.499802249,3130500000,8015000.0,,True,True,True,True,False,,False,False,,,,,,,,,,,,,,,,
DAY.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1074.00898262058,1100000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
GRMN.N,False,False,False,False,False,False,False,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PODD.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,227.520931925737,250000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
ISRG.OQ,True,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,557.793063546656,3470700,,,True,False,False,False,False,,False,False,,,,,,,,,,,,,,,,
AVB.N,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1089.39582107763,2500000,65177.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
TPR.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,27844.0039677706,160000000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CBRE.N,,,,,,,,,,,,True,True,True,True,True,True,True,False,681.179269083832,18900000,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CINF.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
WMB.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,1206.36115554719,12820000,230275.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
EA.OQ,True,False,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,1421.2115828744,8000000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
TMUS.OQ,False,True,False,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,24160.6130956839,1935700000,1682328.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
CB.N,False,False,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
TXN.OQ,False,True,False,True,True,True,True,False,,,,True,True,True,True,True,True,True,False,3325.33798517226,61000000,97500.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
MDLZ.OQ,False,False,False,False,False,False,True,False,,,,True,True,True,True,True,True,False,False,1740.94707520891,50000000,63500.0,,True,True,False,False,True,,True,True,,1,,1,,,,,,,,,,,,
BRO.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
BALL.N,True,True,False,False,False,True,True,False,0,,,True,True,True,True,True,True,False,False,598.265031408914,8000000,364500.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
PFG.OQ,True,False,True,False,False,False,True,False,0,,,True,True,True,True,True,True,False,False,1224.49273587692,17000000,950000.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
KEYS.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PCG.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,905.919968995252,18700000,1713900.0,,True,True,False,False,False,,True,False,5,,,,,,,,,,,,,,,
RL.N,False,False,True,False,False,False,True,True,,,,True,True,True,True,True,True,True,False,4544.6282494092,20000000,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
JPM.N,True,True,True,False,True,True,True,False,,,,True,True,True,True,True,True,False,False,,,529260.0,,True,True,False,False,True,,True,True,,3,1,3,,,,,,,,,,,,
TTWO.OQ,True,True,True,True,False,True,True,False,,,,True,True,True,True,True,True,False,False,5929.84049915025,20000000,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CDW.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,100.860677783755,2100000,,,True,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
RMD.N,False,False,False,False,False,False,True,False,0,,,True,True,True,True,True,True,False,False,417.816360347187,1495000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
LNT.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,2825.65358408286,10367323,633812.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
COO.OQ,False,False,False,False,False,True,False,False,0,,,True,True,True,True,True,True,False,False,,,,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
CMG.N,False,False,False,False,False,False,True,True,,,,True,True,True,True,True,True,False,False,,,,,False,True,False,False,False,,True,False,,,,,,,,,,,,,,,,
PCAR.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,272.08223685609,6400000,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
GNRC.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
CHTR.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,,,True,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
PWR.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,0.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
CCL.N,,,,,,,,,,,,True,True,True,True,True,True,False,False,,,75000.0,,True,True,False,False,False,,True,False,,,,,,CU,,,,,,,,,,
PM.N,False,True,False,False,False,True,True,False,,,,True,True,True,True,True,True,False,False,1413.63893961337,44900000,71378.0,,True,True,False,False,False,,False,False,,,,,,,,,,,,,,,,
SNA.N,,,,,,,,,,,,True,True,True,False,True,True,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
SNA.N,,,,,,,,,,,,True,True,True,False,True,True,False,False,,,,,False,False,False,False,False,,True,False,,,,,,,,,,,,,,,,
UAL.OQ,,,,,,,,,,,,True,True,True,True,True,True,False,False,418.457700738816,10308287,132345.0,,True,False,False,False,True,1,True,False,,1,,,,,,,,,,,,,,
