Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
STAN.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,4.1145220398191,2.48601849549647,,,True,True,False,True,False,False,True,True,False,False,36.2519201228879,0.141242937853107,,637200.0,637200.0,597600.0,,,90000.0,,True,False,21.9036240541617,385000.0,385000.0,,True,,False,False,False,,,90000.0,141242.937853107,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42795.0,,,True,True,,,,,,,,,,,,,74.8631807593867,617.720513383759,,,True,True,True,True,True,True,False,True,True,False,194.533753590681,0.043574584575271,,3043632.0,3000837.0,937404.0,42795.0,,132625.0,42795.0,True,False,1605.1614280821,25114000.0,25114000.0,674145.0,True,True,True,False,False,,,175420.0,57635.0886046671,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,154.67318969859,167.360668564841,,,True,True,True,True,True,True,True,True,True,True,1233.48844383524,0.258189176615645,,3153339.0,3147630.0,619247.0,5710.0,,814158.0,5710.0,True,False,1334.66860694833,3412000.0,3412000.0,,True,True,True,False,False,,,819868.0,259999.955602617,,
ANTO.L,False,True,False,False,False,True,False,False,True,False,False,False,False,False,,,,72766000.0,100.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,1160.75169217593,2942.96326618533,,,True,True,False,True,True,True,True,True,False,False,4895.95223473217,0.37378000306062,,28700072.0,28700072.0,11870767.0,,,10727513.0,,True,False,12413.1695667008,72766000.0,39705000.0,384960000.0,True,,False,True,True,3,,10727513.0,373780.003060619,,
EZJ.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,12749.4816199943,,,,True,False,True,True,False,False,False,True,False,False,14490.3896638876,0.000125288661285,,93292084.6956,93292084.6956,11688.4404,,,11688.4404,,True,False,,,,,False,,False,False,False,,,11688.4404,125.288661285015,,
BNZL.L,False,True,False,False,False,False,False,False,True,True,True,True,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,101.717877663604,,,,True,False,True,True,False,False,True,False,False,False,121.841258776083,0.023501862112817,,1695386.0,1695386.0,284605.2,,,39844.728,,True,False,,,,,True,True,False,False,False,,,39844.728,23501.8621128168,,
SGE.L,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,210.0,1.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,5.24342612829934,2.25875297327712,,,True,True,False,True,False,False,True,False,True,False,22.4354903141125,0.397546616340848,,48749.0,48749.0,42755.0,,,19380.0,,True,False,9.66471715514909,21000.0,21000.0,,True,True,False,False,False,,,19380.0,397546.616340848,,
SVT.L,False,True,False,False,True,True,False,True,True,True,False,False,True,False,,,,0.0,0.0,,,,,43200,,,,,,,,662400.0,,False,False,,,,,,,,,,,,,475.577308649213,44605.9276432959,,,True,True,False,True,True,True,True,True,False,False,3155.73878318602,,0.537834164023561,7945200.0,3628800.0,2822400.0,705600.0,,,4273200.0,True,False,295986.905312521,745205900.0,745205900.0,,True,True,False,False,False,,,4273200.0,537834.164023561,,
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,True,False,False,False,True,False,,,,,3891.6,3049.2,,,,,True,False,,,,,True,True,False,False,False,,,,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4769.03697673647,17.130773520236,,,True,False,False,True,True,False,True,True,False,False,15777.7046750143,0.005,,151560000.0,151560000.0,680400.0,,,757800.0,,True,False,56.6748143860687,544416.0,544416.0,,True,True,False,False,False,,,757800.0,5000.0,,
