Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
STAN.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,3.22566781356899,2.03546475711723,,,True,True,False,True,False,False,True,True,False,False,32.464553794829,0.104046242774566,,622800.0,622800.0,568800.0,,,64800.0,,True,False,20.4858215179316,393000.0,393000.0,,True,,False,False,False,,,64800.0,104046.242774566,,
CCEPC.L,True,True,True,True,False,True,False,True,True,True,True,False,True,False,,,,13036000.0,49.04808,,,,,,,,,,,,61872.0,,,True,True,,,,,,,,,,,,,191.502595703808,699.093907319576,,,True,True,True,True,True,True,True,True,True,False,392.779316896153,0.342499228075419,,7280504.0,7218632.0,3273936.0,61872.0,,2493567.0,61872.0,True,False,1433.86895803724,26578000.0,26578000.0,,True,True,True,False,False,,,2555439.0,350997.540829591,,
CRDA.L,False,True,True,False,False,False,False,True,True,True,True,False,True,False,,,,978000.0,30.08305,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,267.188285781882,272.758653446688,,,True,True,True,True,True,True,True,True,True,True,1260.01977323801,0.317648614099008,,3184607.0,3177119.0,600236.0,7488.0,,1011586.0,7488.0,True,False,1286.28878941633,3251000.0,3251000.0,,True,True,True,False,False,,,1019074.0,319999.924637483,,
ANTO.L,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,81910000.0,100.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,1200.70315778647,3266.68718208757,,,True,True,False,True,True,True,True,True,False,False,4760.34943473792,0.406236857218113,,30106830.0,30106830.0,12224157.0,,,12230504.0,,True,False,12951.2214404301,81910000.0,33066000.0,388646000,True,,False,True,False,,,12230504.0,406236.857218113,,
EZJ.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,13914.872459489,,,,True,False,True,True,False,False,True,True,False,False,10427.1743674979,,,103918978.8108,103918978.8108,21905.028,,,,,True,False,,,,,False,,False,False,False,,,,,,
BNZL.L,False,True,False,False,False,False,False,False,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,122.060321735642,15.2750982782914,,,True,False,True,True,False,False,True,False,False,False,126.192109854098,0.031042795387089,,1837885.0,1837885.0,335606.4,,,57053.088,,True,False,15.7921661401244,230000.0,,,True,True,False,False,False,,,57053.088,31042.795387089,,
SGE.L,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,570.0,1.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,3.40725931164683,4.09474553581845,,,True,True,False,True,False,False,True,True,True,False,17.8052250283127,0.576280834914611,,47430.0,47430.0,40371.0,,,27333.0,,True,False,21.3978036393384,57000.0,57000.0,,True,True,False,False,False,,,27333.0,576280.834914611,,
SVT.L,False,True,False,False,True,True,False,True,True,False,False,False,True,False,,,,0.0,0.0,,,,,154800,,,,,,,,612000.0,,False,False,,,,,,,,,,,,,417.39325972052,39323.0126122253,,,True,True,False,True,True,True,True,True,False,False,3100.46186451302,,0.496360327570519,7912800.0,3830400.0,2707200.0,766800.0,,,3927600.0,True,False,292097.436081274,745472350.0,745472350.0,,True,True,False,False,True,1,,3927600.0,496360.327570519,,
LMPL.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.191,,,,,,,,,,,,,,,,,,1191289.734,False,False,,,,,,,,,,,,,,1.13571838745448,,,True,False,False,True,True,False,False,False,True,False,,,,,1191289.734,861242.472,,,83576.38863,,True,False,32.4984239550599,5685.0,5685.0,,True,True,False,False,False,,,83576.38863,,,
LMPL.L,,,,,,,,,,,,,,,6.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
