Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
STAN.L,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,2.7135851190288,2.19727480589478,,,True,True,False,True,False,False,True,True,False,False,26.2110973636623,0.104575163398693,,550800.0,550800.0,500400.0,,,57600.0,,True,False,21.2239459408014,446000.0,446000.0,,True,,False,False,False,,,57600.0,104575.163398693,,
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,False,True,False,False,False,True,False,False,False,False,False,False,True,False,,,,102650000.0,100.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,1107.75381370676,3533.74997255933,,,True,True,False,True,True,True,True,True,False,False,4865.65820909063,0.442511848889123,,32178544.0,32178544.0,14230504.0,,,14239387.0,,True,False,15521.5169201923,102650000.0,42809000.0,418675000,True,,False,True,False,,,14239387.0,442511.848889123,,
EZJ.L,False,True,False,False,False,False,False,False,True,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,11608.1234605434,,,,True,False,True,True,False,False,True,True,False,False,9005.24540918854,,,112080482.0604,112080482.0604,13912.8192,,,,,True,False,,,,,False,,False,False,False,,,,,,
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,28.857,0.06012,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,3.37380592044725,3.1110516805907,,,True,True,False,True,False,False,True,True,True,False,16.695297195149,0.409497829177393,,52054.0,52054.0,39299.0,,,21316.0,,True,True,15.3950563908086,48000.0,48000.0,,True,True,False,False,False,,,21316.0,409497.829177393,,
SVT.L,False,True,False,False,True,True,False,True,True,False,True,True,False,False,,,,,,,,,,172800,,,,,,,,550800.0,,False,False,,,,,,,,,,,,,433.252226723624,41103.5508064127,,,True,True,False,True,True,True,True,True,False,False,2910.77376260348,,0.461324687355257,7772400.0,4014000.0,2790000.0,723600.0,,,3585600.0,True,False,276151.234448165,737383950.0,737383950.0,,True,True,False,False,False,,,3585600.0,461324.687355257,,
LMPL.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,215210.0,,,,,,,,,,,,,,,,,,1219224.762,False,False,,,,,,,,,,,,,,0.315514280462467,,,True,False,False,True,True,False,False,False,True,False,,,,,1219224.762,855699.7572,,,101035.46894,,True,False,5.95826637883487,1078.0,1078.0,,True,True,False,False,False,,,101035.46894,,,
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,True,True,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,3.48448864321068,1.45293260552668,,,True,True,False,True,True,True,True,True,True,False,27.373155634066,0.862577302356677,,323082.0,323082.0,278683.2,,,278683.2,,True,False,11.4138269368112,134716.0,134716.0,,True,True,True,False,False,,,278683.2,862577.302356677,,
SMIN.L,False,True,False,False,False,True,True,True,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,87.9733830511259,27.230025504806,,,True,True,True,True,True,True,True,True,True,True,192.250677710305,,,774097.2,,,,,,,True,False,59.5065311325531,239603.0,,,True,True,False,False,False,,,565090.956,730000.0,,
BAB.L,False,False,False,False,False,True,False,False,True,True,False,False,True,False,,,,34500.0,0.82041,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,544.173872459859,1340.02100566412,,,True,True,False,True,True,True,True,True,True,False,311.959341713141,0.105786448832733,,1707704.55,1707704.55,590691.0,,,180652.0,,True,True,768.195777057631,4205200.0,1287900.0,,True,True,False,False,False,,,180652.0,105786.448832733,,
AZN.L,True,True,True,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,25.8469049572763,14.7357003058583,,,True,True,True,True,True,True,True,False,False,True,111.587550163668,0.61120856094831,,6033873.6,5981250.0,,52624.8,,3687955.2,,True,True,63.6177019954506,3440000.0,3440000.0,,True,,False,False,False,,,3687955.2,611208.56094831,,
