Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
SBRY.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.64431587406,197.789153590233,,,True,True,True,True,True,True,True,False,True,False,523.498425024802,0.087317140922838,,19802462.4,19715058.0,5495907.6,87404.4,,1729094.4,87404.4,True,False,80.1011609457796,3030000.0,3030000.0,,False,,False,False,False,,,1816498.8,91730.955641153,,
PHNX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2980521084969,,,,True,True,False,True,False,False,True,True,False,False,10.7970241853649,0.42424345847554,,316440.0,316440.0,150840.0,,,134247.6,,True,False,,,,,True,,False,False,False,,,,,,
IHG.L,False,True,False,False,False,True,False,True,True,True,True,False,True,False,,,,39447427,99.234,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,2958.33597975328,2619.79086151983,,,True,True,True,True,True,True,True,True,True,False,15441.5752321981,0.000757393974467,,44888659.2,44745782.4,24407632.8,55112.4,,33998.4,142876.8,True,True,13674.477124183,39751705.0,,,True,True,True,False,False,,,176875.2,3940.30927081021,,
BT.L,False,True,False,False,False,False,False,False,True,True,True,False,True,False,,,,,,,,,,,,,,,,,72,,,True,True,,,,,,,,,,,,,268.473868423378,38.2573546631596,,,True,True,True,True,False,False,True,False,False,False,441.635297901235,0.715559390278976,,12517200.0,12517128.0,723600.0,72.0,,8956800.0,72.0,True,False,62.9327476927227,1783693.0,,,True,True,True,False,False,,,8956872.0,715565.142364107,,
MNDI.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7103.18615630895,20614.5719228762,,,True,True,False,True,True,True,True,True,True,False,13414.6226650228,0.162525057331472,,106351708.0,43763133.0,6256701.0,62588575.0,,17284817.44,62588575.0,True,False,38931.3608936944,308649511.0,308649511.0,,True,True,True,False,False,,,79873392.44,751030.650490352,,
BATS.L,True,False,True,False,False,True,False,True,True,True,True,True,True,False,,17,,601600,16.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,64.5563032100364,27.1876904199974,,,True,True,True,True,True,True,True,True,True,False,256.936511667145,0.285483870967742,,8928000.0,8928000.0,,,,2548800.0,,True,False,108.208029107131,3760000.0,3760000.0,627920.0,True,True,True,False,False,,,2548800.0,285483.870967742,,
PSON.L,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,40.6945753017449,18.654031921036,,,True,True,True,True,True,False,True,True,True,False,71.8293638290985,0.617279948127736,,333126.0,332586.0,208490.4,540.0,,205632.0,540.0,True,True,32.9259424825171,152702.0,152702.0,,True,True,True,False,False,,,206172.0,618900.956394878,,
PCT.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
SPX.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9709393007182,13.5323828393193,,,True,True,False,True,True,True,True,True,True,False,332.537653062001,,,542613.6,539319.6,,,,,,False,False,100.065217664953,163280.0,,,True,True,False,False,False,,,,,,
PSN.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,31.4100128836081,,,,True,False,False,True,False,False,True,True,True,False,79.3870515208018,,,387777.6,387777.6,40348.8,,,,,True,False,,,,,True,,False,False,False,,,,,,
RIO.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087.09207695067,8746.76088469357,,,True,True,False,True,True,True,False,True,True,False,6236.71155209072,,,396000000.0,,,,,,,True,True,17670.6827309237,1122000000.0,574000000.0,325000000.0,True,,True,True,True,1,,147000000.0,371212.121212121,,
