Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
HD.N,False,True,False,False,False,False,False,False,True,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,54.8656741444566,,,,True,True,True,True,False,False,False,True,True,False,153.479362517118,,,23199480.0,22117320.0,10567800.0,1082160.0,,,1082160.0,True,True,,,,,True,True,True,False,False,,,1082160.0,46645.8730971556,,
SPG.N,True,False,False,False,False,True,False,True,True,False,False,False,False,False,10826560.29,,,,,,,,,,,,,,,,,,10671912.0,False,False,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,True,False,False,,,,,10658678.28804,10163779.08804,13230.11196,,551593.89864,13230.11196,True,False,,,,,True,,False,False,False,,,564824.0106,,,
SPG.N,,,,,,,,,,,,,,,10826560.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,4392.0,,,,,True,True,,,,,,,,,,,,,22.0204851947104,14.3041108964111,,,True,True,False,True,True,True,True,True,False,True,104.002481389578,,,754434.0,750042.0,384566.4,4392.0,,,4392.0,True,True,67.5581402564103,490066.74942,490066.749,,True,True,False,False,False,,,4392.0,5821.58280247179,,
LVS.N,True,True,False,False,True,False,False,True,True,True,True,False,True,False,1310000.0,,,,0.0,,,,,,,,,,4177.0,,,,,True,True,,,,,,,,,,,,,93.7455360132959,157.096328813936,,,True,True,True,True,True,True,True,True,True,False,461.707674508292,,,4788832.0,4784654.0,2969854.0,4177.0,,,4177.0,True,True,773.717701504049,8025000.0,8025000.0,,True,True,False,False,False,,,4177.0,872.237739807953,,
CTRA.N,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0,0.0,0.0,0.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,257.394677868473,,,True,True,False,True,False,False,True,True,False,False,,,,,,,,,,,False,False,613.74433764225,5555000.0,5555000.0,1188770.0,False,True,False,True,True,1,,,,,
ON.OQ,False,False,False,False,False,True,False,False,True,True,True,True,True,False,,,,515000.0,3.76132,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,208.746799768173,453.085554599631,,,True,True,True,True,False,False,True,True,True,True,757.634359011314,,,6308215.2,6308215.2,5353466.4,,,0.0,,False,False,1644.44764718599,13692000.0,13692000.0,5776000.0,True,True,False,False,False,,,0.0,0.0,,
AIG.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,False,False,False,,,,,,,,,,,True,True,,,,,False,,False,False,False,,,,,,
AIZ.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,17.7573110272694,,,,True,True,False,True,True,False,True,True,True,False,15.2139326900447,,,155145.6,155145.6,127382.4,,,,,False,True,,,,,True,True,False,False,False,,,0.0,0.0,,
CARR.N,False,False,False,False,False,True,True,False,False,False,True,False,True,False,,14,,270340.0,8.94277,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,95.8054645240058,69.2462597412265,,,True,True,True,True,True,True,False,True,True,True,241.928678852383,0.002287169067604,,4182463.0,4181173.0,2090670.0,1290.0,,9566.0,1290.0,True,True,174.861175381768,3023000.0,3023000.0,,True,True,True,False,False,,,10856.0,2595.59976980071,,
