Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,True,True,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7910334050945,,,,False,False,False,False,False,False,False,False,False,False,15.1061591803343,0.155364142768723,,348984.0,348984.0,226296.0,,,54219.6,,False,True,,,,,False,,False,False,False,,,54219.6,155364.142768723,,
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,True,False,,,,,False,,False,False,False,,,,,,
CNP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9851.83916804307,,,True,True,False,False,False,False,True,True,False,False,,,0.04800701199751,,1341259.2,743778.0,,,670629.6,408715.2,True,False,40630.1579801245,339343079.45,339343079.45,,False,,False,False,False,,,1079344.8,,,
AMCR.N,False,True,True,False,True,True,False,False,True,False,True,False,False,False,,,,809235.0,11.5715,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,792.593657631109,277.201516514127,,,True,True,True,True,True,False,True,True,True,False,1374.85299779978,0.01573015456898,,19995862.0,19995862.0,,,,314538.0,,True,False,480.840759075908,6993348.0,6993348.0,,True,True,True,False,False,,,314538.0,15730.1545689803,,
WM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.855637882243,44.3381716901428,,,True,True,False,True,True,True,True,True,True,False,1976.54395181529,0.198321028405146,,35441409.6,35441409.6,2488089.6,,,7028776.8,,True,True,205.788857286264,3690000.0,3690000.0,,True,True,False,True,False,,,7028776.8,198321.028405146,,
BA.N,False,True,False,False,False,False,False,True,True,False,False,False,False,False,,,12.0,497380.0,12.0,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,97.0693832677668,23.7976187143122,,,True,True,False,True,True,True,True,False,False,True,275.175801945863,0.121403066582651,,17139600.0,17139600.0,7401600.0,,,2080800.0,,True,True,67.4623510901326,4201960.0,4129660.0,48040.0,True,,False,True,False,,,2080800.0,121403.066582651,,
FOX.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,,33.4509680235585,1.80634968555241,,,True,True,False,True,False,False,True,True,False,False,59.203950193216,,,827316.0,821134.8,546660.0,6181.2,,,6181.2,True,True,3.1970087304995,44675.0,,,False,,False,False,False,,,6181.2,7471.38940864192,,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
WY.N,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2492000.0,,,,,,,,,,,21933642.34,,,,,,,,False,False,,,,,,,,,,,,,1158.97375657217,89.394526780638,,,True,True,False,True,True,False,False,True,True,True,3172.43198350354,,,32308047.32,10374404.98,4681301.22,21933642.34,,,21933642.34,True,False,244.697564807541,2492000.0,2492000.0,,True,True,True,False,False,,,21933642.34,678890.993403435,,
